Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
23/01/23,UPI-354190452832-santoshiye654@oksbi-OK,354190452832,23/01/23,850.0,,236175.0
23/01/23,NWD-416021XXXXXX7700-S12596-MYSURU,671969989208,23/01/23,1680.0,,234495.0
25/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX9656 IB595326655191,595326655191,25/01/23,3499.0,,230996.0
25/01/23,NWD-416021XXXXXX6165-S10381-JAYANAGAR,158940304380,25/01/23,699.0,,230297.0
25/01/23,UPI-500977835667-naveenkuma397@okhdfcbank-OK,500977835667,25/01/23,999.0,,229298.0
26/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX9085 IB784843150382,784843150382,26/01/23,49.0,,229249.0
27/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6873 IB313887441993,313887441993,27/01/23,999.0,,228250.0
29/01/23,NWD-416021XXXXXX5402-S10833-INDIRANAGAR,218181055774,29/01/23,5200.0,,223050.0
02/02/23,POS 416021XXXXXX1043 APOLLO PHARMACY POS DEBIT,089931795163,02/02/23,5200.0,,217850.0
03/02/23,IB BILLPAY DR-HDFCPE-545964XXXXXX2257 IB685255140032,685255140032,03/02/23,1680.0,,216170.0
04/02/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1888 IB043805823719,043805823719,04/02/23,249.0,,215921.0
06/02/23,POS 416021XXXXXX8032 IOCL POS DEBIT,387259922973,06/02/23,3499.0,,212422.0
08/02/23,POS 416021XXXXXX5435 BESCOM POS DEBIT,660647881961,08/02/23,2380.0,,210042.0
11/02/23,NWD-416021XXXXXX2678-S18074-MYSURU,201673915097,11/02/23,1250.0,,208792.0
12/02/23,POS 416021XXXXXX0792 JIO POS DEBIT,184449249108,12/02/23,310.0,,208482.0
13/02/23,NWD-416021XXXXXX1612-S19452-JAYANAGAR,719765757778,13/02/23,2380.0,,206102.0
14/02/23,POS 416021XXXXXX5601 BPCL POS DEBIT,750824277306,14/02/23,3499.0,,202603.0
15/02/23,UPI-910977095859-ayeshakhan901@oksbi-OK,910977095859,15/02/23,1680.0,,200923.0
16/02/23,IMPS-184579094967-ARJUNMEHTA-HDFC-XXXXXXXXXX0488-PERSONAL,0000184579094967,16/02/23,,18500.0,219423.0
17/02/23,UPI-296729326507-farhankhan897@paytm-OK,296729326507,17/02/23,999.0,,218424.0
19/02/23,UPI-017575681337-tarageorge884@oksbi-OK,017575681337,19/02/23,249.0,,218175.0
19/02/23,NWD-416021XXXXXX1864-S14237-SECUNDERABAD,159387574872,19/02/23,3499.0,,214676.0
19/02/23,IMPS-991235034558-SANJANAHEGDE-HDFC-XXXXXXXXXX3649-PERSONAL,0000991235034558,19/02/23,,7500.0,222176.0
21/02/23,IMPS-728823480554-VINAYPATIL-HDFC-XXXXXXXXXX9923-PERSONAL,0000728823480554,21/02/23,,4800.0,226976.0
21/02/23,UPI-834204230587-arjunmehta375@ybl-OK,834204230587,21/02/23,49.0,,226927.0
24/02/23,IMPS-925269213356-PADMARAO-HDFC-XXXXXXXXXX3628-PERSONAL,0000925269213356,24/02/23,,18500.0,245427.0
24/02/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3862 IB707538540138,707538540138,24/02/23,850.0,,244577.0
25/02/23,UPI-769175615780-gopalnaik13@okaxis-OK,769175615780,25/02/23,999.0,,243578.0
25/02/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3492 IB157543505610,157543505610,25/02/23,1250.0,,242328.0
25/02/23,IMPS-228362484276-SURESHBABU-HDFC-XXXXXXXXXX4505-PERSONAL,0000228362484276,25/02/23,,1200.0,243528.0
26/02/23,IMPS-189433618665-PRIYANAIR-HDFC-XXXXXXXXXX0215-PERSONAL,0000189433618665,26/02/23,,2500.0,246028.0
26/02/23,UPI-133624296918-smitharao652@ybl-OK,133624296918,26/02/23,699.0,,245329.0
27/02/23,POS 416021XXXXXX4294 UBER POS DEBIT,847247884453,27/02/23,449.0,,244880.0
27/02/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3420 IB779990423744,779990423744,27/02/23,120.0,,244760.0
01/03/23,NWD-416021XXXXXX4932-S14541-KORAMANGALA,837470575937,01/03/23,850.0,,243910.0
02/03/23,NWD-416021XXXXXX9014-S17951-HYDERABAD,922956173052,02/03/23,249.0,,243661.0
02/03/23,IMPS-728925133860-RAMESHPILLAI-HDFC-XXXXXXXXXX0281-PERSONAL,0000728925133860,02/03/23,,4800.0,248461.0
03/03/23,UPI-907665565249-kavyareddy979@okhdfcbank-OK,907665565249,03/03/23,2380.0,,246081.0
05/03/23,UPI-647765125943-smitharao645@okaxis-OK,647765125943,05/03/23,2380.0,,243701.0
06/03/23,POS 416021XXXXXX0792 IOCL POS DEBIT,721352916924,06/03/23,5200.0,,238501.0
06/03/23,NWD-416021XXXXXX2083-S15113-MARATHAHALLI,862859360349,06/03/23,1680.0,,236821.0
06/03/23,IMPS-261128590412-GEETADEVI-HDFC-XXXXXXXXXX7750-PERSONAL,0000261128590412,06/03/23,,24000.0,260821.0
07/03/23,IB BILLPAY DR-HDFCPE-545964XXXXXX5163 IB654147957869,654147957869,07/03/23,49.0,,260772.0
08/03/23,NWD-416021XXXXXX2727-S10346-MARATHAHALLI,169993541056,08/03/23,699.0,,260073.0
08/03/23,IMPS-556380028876-SURESHBABU-HDFC-XXXXXXXXXX8684-PERSONAL,0000556380028876,08/03/23,,18500.0,278573.0
13/03/23,IMPS-587360884662-SANTOSHKUMAR-HDFC-XXXXXXXXXX2997-PERSONAL,0000587360884662,13/03/23,,850.0,279423.0
13/03/23,NWD-416021XXXXXX6015-S19222-BANJARA HILLS,095564252220,13/03/23,850.0,,278573.0
14/03/23,IB BILLPAY DR-HDFCPE-545964XXXXXX2263 IB604819891968,604819891968,14/03/23,5200.0,,273373.0
14/03/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3400 IB063195784048,063195784048,14/03/23,310.0,,273063.0
18/03/23,POS 416021XXXXXX1338 AMAZON POS DEBIT,122045281845,18/03/23,310.0,,272753.0
21/03/23,NWD-416021XXXXXX2639-S19726-BTM LAYOUT,888846059367,21/03/23,120.0,,272633.0
22/03/23,POS 416021XXXXXX2665 ZOMATO POS DEBIT,142502201378,22/03/23,449.0,,272184.0
22/03/23,IMPS-168795860194-FATIMASHEIKH-HDFC-XXXXXXXXXX9551-PERSONAL,0000168795860194,22/03/23,,850.0,273034.0
23/03/23,POS 416021XXXXXX5696 MEDPLUS POS DEBIT,981438003219,23/03/23,249.0,,272785.0
23/03/23,UPI-417723109912-kiranreddy888@paytm-OK,417723109912,23/03/23,699.0,,272086.0
25/03/23,CREDIT INTEREST CAPITALISED,170406126490,25/03/23,,164.21,272250.21
25/03/23,GST ON BANK CHARGES,238532423511,25/03/23,17.7,,272232.51
27/03/23,POS 416021XXXXXX6921 BPCL POS DEBIT,780818449990,27/03/23,249.0,,271983.51
28/03/23,IMPS-193578590649-LALITHADEVI-HDFC-XXXXXXXXXX7770-PERSONAL,0000193578590649,28/03/23,,1200.0,273183.51
28/03/23,POS 416021XXXXXX7114 AIRTEL POS DEBIT,482937812321,28/03/23,5200.0,,267983.51
29/03/23,IB BILLPAY DR-HDFCPE-545964XXXXXX2668 IB603798032695,603798032695,29/03/23,1680.0,,266303.51
01/04/23,IMPS-601884567779-RANJITSINGH-HDFC-XXXXXXXXXX7133-PERSONAL,0000601884567779,01/04/23,,24000.0,290303.51
02/04/23,IMPS-750299330238-RAHULSINGH-HDFC-XXXXXXXXXX7655-PERSONAL,0000750299330238,02/04/23,,18500.0,308803.51
03/04/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6577 IB510719229686,510719229686,03/04/23,7800.0,,301003.51
04/04/23,POS 416021XXXXXX4008 HPCL POS DEBIT,533613417848,04/04/23,310.0,,300693.51
04/04/23,NWD-416021XXXXXX9189-S17654-MANGALURU,283012838872,04/04/23,7800.0,,292893.51
05/04/23,IMPS-025960002548-NADIAHUSSAIN-HDFC-XXXXXXXXXX5735-PERSONAL,0000025960002548,05/04/23,,2500.0,295393.51
06/04/23,NWD-416021XXXXXX0013-S18821-HYDERABAD,890345751202,06/04/23,120.0,,295273.51
06/04/23,NWD-416021XXXXXX2114-S11316-KUKATPALLY,183504101163,06/04/23,850.0,,294423.51
07/04/23,NWD-416021XXXXXX3583-S18382-WHITEFIELD,555435251525,07/04/23,49.0,,294374.51
08/04/23,POS 416021XXXXXX1152 JIO POS DEBIT,728252355783,08/04/23,3499.0,,290875.51
08/04/23,UPI-067875020922-tarageorge533@okhdfcbank-OK,067875020922,08/04/23,449.0,,290426.51
09/04/23,IMPS-859582542213-PRIYANAIR-HDFC-XXXXXXXXXX7302-PERSONAL,0000859582542213,09/04/23,,4800.0,295226.51
09/04/23,POS 416021XXXXXX2943 BPCL POS DEBIT,604375494025,09/04/23,249.0,,294977.51
09/04/23,IMPS-476746279759-LAKSHMIVENKAT-HDFC-XXXXXXXXXX0481-PERSONAL,0000476746279759,09/04/23,,4800.0,299777.51
10/04/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3257 IB036343261782,036343261782,10/04/23,249.0,,299528.51
10/04/23,UPI-329433024759-harishmeno997@ybl-OK,329433024759,10/04/23,310.0,,299218.51
10/04/23,POS 416021XXXXXX2225 UBER POS DEBIT,984995172599,10/04/23,1680.0,,297538.51
11/04/23,UPI-728658964574-arjunmehta672@oksbi-OK,728658964574,11/04/23,310.0,,297228.51
12/04/23,NWD-416021XXXXXX8493-S17286-HSR LAYOUT,697478019664,12/04/23,699.0,,296529.51
14/04/23,UPI-106865140992-kavyareddy569@okhdfcbank-OK,106865140992,14/04/23,449.0,,296080.51
14/04/23,IMPS-670765760146-MEENAIYER-HDFC-XXXXXXXXXX2337-PERSONAL,0000670765760146,14/04/23,,4800.0,300880.51
15/04/23,POS 416021XXXXXX7661 JIO POS DEBIT,267439724495,15/04/23,7800.0,,293080.51
15/04/23,NWD-416021XXXXXX8909-S14140-MARATHAHALLI,179353119881,15/04/23,1250.0,,291830.51
16/04/23,IMPS-635128605656-KARTHIKMENON-HDFC-XXXXXXXXXX3697-PERSONAL,0000635128605656,16/04/23,,11200.0,303030.51
16/04/23,IMPS-886454635919-MALLIKADAS-HDFC-XXXXXXXXXX9023-PERSONAL,0000886454635919,16/04/23,,24000.0,327030.51
16/04/23,NWD-416021XXXXXX4946-S15973-MUMBAI,194744419557,16/04/23,449.0,,326581.51
17/04/23,NWD-416021XXXXXX7346-S19992-MYSURU,433444634019,17/04/23,999.0,,325582.51
19/04/23,IMPS-489790307064-SURESHBABU-HDFC-XXXXXXXXXX3875-PERSONAL,0000489790307064,19/04/23,,1200.0,326782.51
19/04/23,IMPS-932083395606-KIRANREDDY-HDFC-XXXXXXXXXX4569-PERSONAL,0000932083395606,19/04/23,,500.0,327282.51
20/04/23,POS 416021XXXXXX1702 UBER POS DEBIT,125465104298,20/04/23,5200.0,,322082.51
20/04/23,UPI-651862685424-anjalirao652@okhdfcbank-OK,651862685424,20/04/23,249.0,,321833.51
20/04/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6602 IB505555168057,505555168057,20/04/23,3499.0,,318334.51
21/04/23,UPI-513132993312-anjalirao900@paytm-OK,513132993312,21/04/23,5200.0,,313134.51
23/04/23,IMPS-006953233132-PRIYANAIR-HDFC-XXXXXXXXXX4896-PERSONAL,0000006953233132,23/04/23,,24000.0,337134.51
24/04/23,UPI-490365907299-arjunmehta321@paytm-OK,490365907299,24/04/23,79.0,,337055.51
24/04/23,UPI-680774438218-meerapilla487@oksbi-OK,680774438218,24/04/23,249.0,,336806.51
25/04/23,IMPS-755484836736-PRIYANAIR-HDFC-XXXXXXXXXX7129-PERSONAL,0000755484836736,25/04/23,,500.0,337306.51
26/04/23,UPI-059935625389-harishmeno644@ybl-OK,059935625389,26/04/23,79.0,,337227.51
26/04/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1495 IB661713611107,661713611107,26/04/23,3499.0,,333728.51
27/04/23,POS 416021XXXXXX1318 AIRTEL POS DEBIT,457766397608,27/04/23,999.0,,332729.51
27/04/23,UPI-349651480463-kavyareddy162@okhdfcbank-OK,349651480463,27/04/23,3499.0,,329230.51
27/04/23,IMPS-866659330114-SUNILYADAV-HDFC-XXXXXXXXXX7093-PERSONAL,0000866659330114,27/04/23,,1200.0,330430.51
28/04/23,UPI-645119741804-lathadevi647@okhdfcbank-OK,645119741804,28/04/23,999.0,,329431.51
30/04/23,POS 416021XXXXXX9188 AMAZON POS DEBIT,227648108966,30/04/23,5200.0,,324231.51
05/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1324 IB369773324924,369773324924,05/05/23,79.0,,324152.51
07/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX0207 IB186888168683,186888168683,07/05/23,1250.0,,322902.51
08/05/23,IMPS-620207506583-MOHAMMEDIRFAN-HDFC-XXXXXXXXXX9103-PERSONAL,0000620207506583,08/05/23,,24000.0,346902.51
09/05/23,UPI-809910822807-vikramnair443@oksbi-OK,809910822807,09/05/23,49.0,,346853.51
09/05/23,IMPS-323694408214-ANANDKUMAR-HDFC-XXXXXXXXXX2419-PERSONAL,0000323694408214,09/05/23,,1200.0,348053.51
11/05/23,POS 416021XXXXXX7598 AMAZON POS DEBIT,539740360997,11/05/23,1250.0,,346803.51
12/05/23,POS 416021XXXXXX8982 PVR CINEMAS POS DEBIT,013824353274,12/05/23,850.0,,345953.51
13/05/23,IMPS-605967067046-LAKSHMIVENKAT-HDFC-XXXXXXXXXX5587-PERSONAL,0000605967067046,13/05/23,,18500.0,364453.51
13/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6263 IB527458734432,527458734432,13/05/23,249.0,,364204.51
14/05/23,IMPS-737665779809-DEEPANAIR-HDFC-XXXXXXXXXX7447-PERSONAL,0000737665779809,14/05/23,,1200.0,365404.51
14/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6930 IB380279870577,380279870577,14/05/23,1680.0,,363724.51
15/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6933 IB478592096200,478592096200,15/05/23,1250.0,,362474.51
15/05/23,POS 416021XXXXXX0362 RELIANCE FRESH POS DEBIT,241610489154,15/05/23,449.0,,362025.51
16/05/23,UPI-066158857357-harishmeno504@ybl-OK,066158857357,16/05/23,699.0,,361326.51
18/05/23,IMPS-170997301149-SANJANAHEGDE-HDFC-XXXXXXXXXX1738-PERSONAL,0000170997301149,18/05/23,,11200.0,372526.51
19/05/23,IMPS-717448792325-PRIYANAIR-HDFC-XXXXXXXXXX3504-PERSONAL,0000717448792325,19/05/23,,2500.0,375026.51
21/05/23,IMPS-369747921228-AYESHAKHAN-HDFC-XXXXXXXXXX6920-PERSONAL,0000369747921228,21/05/23,,4800.0,379826.51
21/05/23,UPI-612267942674-divyamenon716@okhdfcbank-OK,612267942674,21/05/23,5200.0,,374626.51
21/05/23,NWD-416021XXXXXX2375-S17213-HSR LAYOUT,071122445708,21/05/23,310.0,,374316.51
22/05/23,IMPS-407339379600-MEENAIYER-HDFC-XXXXXXXXXX1902-PERSONAL,0000407339379600,22/05/23,,7500.0,381816.51
23/05/23,NWD-416021XXXXXX1004-S14550-MANGALURU,208546059304,23/05/23,5200.0,,376616.51
23/05/23,POS 416021XXXXXX5888 BPCL POS DEBIT,868123032716,23/05/23,49.0,,376567.51
24/05/23,UPI-902379220203-sunilshett136@okhdfcbank-OK,902379220203,24/05/23,120.0,,376447.51
24/05/23,NWD-416021XXXXXX6442-S15654-MARATHAHALLI,421081931340,24/05/23,120.0,,376327.51
26/05/23,NWD-416021XXXXXX2847-S14684-BTM LAYOUT,434442294089,26/05/23,2380.0,,373947.51
26/05/23,IMPS-784935105417-AYESHAKHAN-HDFC-XXXXXXXXXX2309-PERSONAL,0000784935105417,26/05/23,,2500.0,376447.51
26/05/23,IB BILLPAY DR-HDFCPE-545964XXXXXX0233 IB245010553371,245010553371,26/05/23,699.0,,375748.51
28/05/23,POS 416021XXXXXX4504 MEDPLUS POS DEBIT,346128189153,28/05/23,79.0,,375669.51
29/05/23,IMPS-589928386941-SANJANAHEGDE-HDFC-XXXXXXXXXX0033-PERSONAL,0000589928386941,29/05/23,,2500.0,378169.51
02/06/23,NWD-416021XXXXXX7470-S16481-WHITEFIELD,186994757896,02/06/23,699.0,,377470.51
03/06/23,UPI-059712327053-tarageorge118@paytm-OK,059712327053,03/06/23,1680.0,,375790.51
05/06/23,IB BILLPAY DR-HDFCPE-545964XXXXXX7348 IB525460748149,525460748149,05/06/23,449.0,,375341.51
05/06/23,UPI-581177079451-arjunmehta696@paytm-OK,581177079451,05/06/23,310.0,,375031.51
06/06/23,UPI-002520052067-rahulsingh818@paytm-OK,002520052067,06/06/23,1680.0,,373351.51
09/06/23,UPI-651959823434-gopalnaik984@oksbi-OK,651959823434,09/06/23,1680.0,,371671.51
10/06/23,POS 416021XXXXXX8439 FLIPKART POS DEBIT,712818981865,10/06/23,2380.0,,369291.51
11/06/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3492 IB260766029998,260766029998,11/06/23,449.0,,368842.51
11/06/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6849 IB492653664285,492653664285,11/06/23,310.0,,368532.51
11/06/23,NWD-416021XXXXXX8779-S12396-HYDERABAD,012217794152,11/06/23,2380.0,,366152.51
13/06/23,IMPS-826385899450-KAVITHARAO-HDFC-XXXXXXXXXX1324-PERSONAL,0000826385899450,13/06/23,,500.0,366652.51
14/06/23,UPI-565319040600-mohandas813@paytm-OK,565319040600,14/06/23,449.0,,366203.51
15/06/23,IMPS-743218358653-RAHULSINGH-HDFC-XXXXXXXXXX5800-PERSONAL,0000743218358653,15/06/23,,11200.0,377403.51
17/06/23,IMPS-945758115760-SURESHNAIR-HDFC-XXXXXXXXXX8666-PERSONAL,0000945758115760,17/06/23,,1200.0,378603.51
18/06/23,POS 416021XXXXXX9503 AMAZON POS DEBIT,830675688075,18/06/23,850.0,,377753.51
19/06/23,POS 416021XXXXXX3196 IRCTC POS DEBIT,341005965705,19/06/23,1680.0,,376073.51
19/06/23,IMPS-662887753310-LATHAMURTHY-HDFC-XXXXXXXXXX7934-PERSONAL,0000662887753310,19/06/23,,850.0,376923.51
21/06/23,UPI-940737380669-smitharao719@okhdfcbank-OK,940737380669,21/06/23,2380.0,,374543.51
25/06/23,CREDIT INTEREST CAPITALISED,775085473545,25/06/23,,227.35,374770.86
25/06/23,GST ON BANK CHARGES,948835035326,25/06/23,17.7,,374753.16
25/06/23,IB BILLPAY DR-HDFCPE-545964XXXXXX0960 IB547131083578,547131083578,25/06/23,79.0,,374674.16
26/06/23,POS 416021XXXXXX1090 OLA POS DEBIT,612879603805,26/06/23,2380.0,,372294.16
28/06/23,NWD-416021XXXXXX0835-S19909-BANJARA HILLS,761017357167,28/06/23,7800.0,,364494.16
28/06/23,IMPS-122579704165-SMITHAPILLAI-HDFC-XXXXXXXXXX4488-PERSONAL,0000122579704165,28/06/23,,4800.0,369294.16
01/07/23,NWD-416021XXXXXX3906-S17785-KUKATPALLY,512824585147,01/07/23,49.0,,369245.16
01/07/23,POS 416021XXXXXX2209 SWIGGY POS DEBIT,577138822447,01/07/23,699.0,,368546.16
03/07/23,UPI-776825758547-smitharao231@oksbi-OK,776825758547,03/07/23,120.0,,368426.16
05/07/23,UPI-781317370193-vinaypatil961@okhdfcbank-OK,781317370193,05/07/23,449.0,,367977.16
05/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX5603 IB879032589290,879032589290,05/07/23,449.0,,367528.16
06/07/23,UPI-204104140361-gopalnaik720@okaxis-OK,204104140361,06/07/23,2380.0,,365148.16
07/07/23,UPI-410333518748-anjalirao772@oksbi-OK,410333518748,07/07/23,249.0,,364899.16
08/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX9758 IB531265707957,531265707957,08/07/23,699.0,,364200.16
09/07/23,UPI-601451803048-tarageorge648@paytm-OK,601451803048,09/07/23,2380.0,,361820.16
10/07/23,UPI-914141685155-divyamenon816@paytm-OK,914141685155,10/07/23,1250.0,,360570.16
10/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX0438 IB741649909184,741649909184,10/07/23,49.0,,360521.16
11/07/23,IMPS-764119580386-IMRANKHAN-HDFC-XXXXXXXXXX0704-PERSONAL,0000764119580386,11/07/23,,1200.0,361721.16
13/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX6253 IB297823631129,297823631129,13/07/23,850.0,,360871.16
13/07/23,UPI-382990889152-meerapilla60@okhdfcbank-OK,382990889152,13/07/23,449.0,,360422.16
13/07/23,UPI-725999261521-kavyareddy16@oksbi-OK,725999261521,13/07/23,999.0,,359423.16
14/07/23,IMPS-864974408913-KAVERIMENON-HDFC-XXXXXXXXXX1291-PERSONAL,0000864974408913,14/07/23,,24000.0,383423.16
14/07/23,NWD-416021XXXXXX0994-S14936-MARATHAHALLI,840694987536,14/07/23,1250.0,,382173.16
15/07/23,UPI-932185417655-vinaypatil977@oksbi-OK,932185417655,15/07/23,120.0,,382053.16
16/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1635 IB734804964278,734804964278,16/07/23,120.0,,381933.16
16/07/23,NWD-416021XXXXXX7401-S13975-INDIRANAGAR,442532165306,16/07/23,79.0,,381854.16
17/07/23,UPI-396859812787-vikramnair119@paytm-OK,396859812787,17/07/23,449.0,,381405.16
17/07/23,IB BILLPAY DR-HDFCPE-545964XXXXXX7098 IB019821639529,019821639529,17/07/23,3499.0,,377906.16
20/07/23,NWD-416021XXXXXX5103-S12541-MUMBAI,303878600565,20/07/23,3499.0,,374407.16
21/07/23,IMPS-096887264547-SANTOSHIYER-HDFC-XXXXXXXXXX2124-PERSONAL,0000096887264547,21/07/23,,4800.0,379207.16
22/07/23,UPI-934540559855-smitharao966@paytm-OK,934540559855,22/07/23,1250.0,,377957.16
23/07/23,IMPS-490480222003-BABULAL-HDFC-XXXXXXXXXX7829-PERSONAL,0000490480222003,23/07/23,,24000.0,401957.16
26/07/23,IMPS-110028982251-FARHANKHAN-HDFC-XXXXXXXXXX5426-PERSONAL,0000110028982251,26/07/23,,4800.0,406757.16
28/07/23,IMPS-083001163694-DEEPAKJOSHI-HDFC-XXXXXXXXXX1108-PERSONAL,0000083001163694,28/07/23,,18500.0,425257.16
29/07/23,IMPS-782903707967-SANJANAHEGDE-HDFC-XXXXXXXXXX4198-PERSONAL,0000782903707967,29/07/23,,1200.0,426457.16
30/07/23,IMPS-405510779577-SHEELADEVI-HDFC-XXXXXXXXXX4799-PERSONAL,0000405510779577,30/07/23,,500.0,426957.16
31/07/23,IMPS-552120498681-LATHAMURTHY-HDFC-XXXXXXXXXX4349-PERSONAL,0000552120498681,31/07/23,,7500.0,434457.16
01/08/23,IMPS-289188068883-ANITHAKRISHNAN-HDFC-XXXXXXXXXX6640-PERSONAL,0000289188068883,01/08/23,,11200.0,445657.16
01/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX7553 IB003566292497,003566292497,01/08/23,7800.0,,437857.16
01/08/23,IMPS-597457273472-SUSHMARAO-HDFC-XXXXXXXXXX8169-PERSONAL,0000597457273472,01/08/23,,2500.0,440357.16
01/08/23,IMPS-921171722910-NAVEENKUMAR-HDFC-XXXXXXXXXX9242-PERSONAL,0000921171722910,01/08/23,,850.0,441207.16
02/08/23,UPI-144475947417-kiranreddy968@paytm-OK,144475947417,02/08/23,1250.0,,439957.16
03/08/23,UPI-253129975678-priyanair593@oksbi-OK,253129975678,03/08/23,79.0,,439878.16
04/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX9007 IB125691530294,125691530294,04/08/23,999.0,,438879.16
05/08/23,IMPS-086480007907-SANJANAHEGDE-HDFC-XXXXXXXXXX7550-PERSONAL,0000086480007907,05/08/23,,7500.0,446379.16
05/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX5768 IB337029699326,337029699326,05/08/23,1250.0,,445129.16
06/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1144 IB452129046876,452129046876,06/08/23,249.0,,444880.16
08/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3701 IB442374304718,442374304718,08/08/23,2380.0,,442500.16
08/08/23,NWD-416021XXXXXX1558-S18197-MUMBAI,318107505800,08/08/23,249.0,,442251.16
09/08/23,POS 416021XXXXXX2536 DMART POS DEBIT,966540514564,09/08/23,3499.0,,438752.16
10/08/23,NWD-416021XXXXXX0542-S17778-WHITEFIELD,587976285413,10/08/23,7800.0,,430952.16
10/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX8953 IB272056246672,272056246672,10/08/23,850.0,,430102.16
10/08/23,UPI-509497466640-gopalnaik668@ybl-OK,509497466640,10/08/23,1250.0,,428852.16
11/08/23,POS 416021XXXXXX9674 IRCTC POS DEBIT,842912389785,11/08/23,850.0,,428002.16
13/08/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1000 IB599588247153,599588247153,13/08/23,999.0,,427003.16
13/08/23,UPI-004551765166-kavyareddy504@oksbi-OK,004551765166,13/08/23,310.0,,426693.16
13/08/23,IMPS-041843110117-NILESHKULKARNI-HDFC-XXXXXXXXXX9057-PERSONAL,0000041843110117,13/08/23,,2500.0,429193.16
15/08/23,NWD-416021XXXXXX8228-S16585-MUMBAI,614743194932,15/08/23,999.0,,428194.16
15/08/23,UPI-124078776531-kavyareddy800@okhdfcbank-OK,124078776531,15/08/23,79.0,,428115.16
16/08/23,NWD-416021XXXXXX2830-S18973-KUKATPALLY,490051857893,16/08/23,49.0,,428066.16
