DATE,MODE**,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
10-01-2023,OTHER ATMS,NFS/54364415/CASH WDL/10-01-23,,5200.0,167184.0
10-01-2023,MOBILE BANKING,MMT/IMPS/803929423058/LALITHA DEVI/HDFC BANK LTD,11200.0,,178384.0
11-01-2023,DEBIT CARD,VPS/PVR CINEMA/084005486961/KUKATPALLY,,1680.0,176704.0
12-01-2023,BILL,BIL/INFT/815824909962/MEDPLUS/PAYMENT,,2380.0,174324.0
13-01-2023,BILL,BIL/INFT/249174855838/IRCTC/PAYMENT,,120.0,174204.0
14-01-2023,OTHER ATMS,NFS/62030612/CASH WDL/14-01-23,,1680.0,172524.0
16-01-2023,UPI,UPI/105166339263/UPI/smitharao181@okaxis/State Bank Of I/,,120.0,172404.0
17-01-2023,OTHER ATMS,NFS/66668059/CASH WDL/17-01-23,,999.0,171405.0
19-01-2023,UPI,UPI/974255487421/UPI/harishmeno623@okaxis/State Bank Of I/,,850.0,170555.0
19-01-2023,OTHER ATMS,NFS/42332966/CASH WDL/19-01-23,,5200.0,165355.0
20-01-2023,MOBILE BANKING,MMT/IMPS/748491919772/SMITHA PILLAI/HDFC BANK LTD,500.0,,165855.0
20-01-2023,BILL,BIL/INFT/715659742374/IOCL/PAYMENT,,249.0,165606.0
23-01-2023,OTHER ATMS,NFS/38005710/CASH WDL/23-01-23,,449.0,165157.0
23-01-2023,MOBILE BANKING,MMT/IMPS/977227081203/RAJESH VERMA/HDFC BANK LTD,7500.0,,172657.0
26-01-2023,BILL,BIL/INFT/041847123008/APOLLO PHARMACY/PAYMENT,,120.0,172537.0
27-01-2023,BILL,BIL/INFT/349679977258/AMAZON/PAYMENT,,49.0,172488.0
27-01-2023,DEBIT CARD,VPS/ZOMATO/815762312221/KORAMANGALA,,79.0,172409.0
30-01-2023,UPI,UPI/823315372425/UPI/mohandas10@okaxis/State Bank Of I/,,120.0,172289.0
03-02-2023,SALARY,NEFT-061163725786-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0445469,62500.0,,234789.0
06-02-2023,DEBIT CARD,VPS/UBER/782753070272/SECUNDERABAD,,79.0,234710.0
06-02-2023,NEFT,NEFT DR-HDFC0454278-RAJESH VERMA-026278803096-RENT,,26500.0,208210.0
06-02-2023,MOBILE BANKING,MMT/IMPS/699941432390/GEETA DEVI/HDFC BANK LTD,18500.0,,226710.0
06-02-2023,OTHER ATMS,NFS/06014076/CASH WDL/06-02-23,,1250.0,225460.0
09-02-2023,MOBILE BANKING,MMT/IMPS/214455657161/KIRAN REDDY/HDFC BANK LTD,500.0,,225960.0
09-02-2023,BILL,BIL/INFT/916185805090/SWIGGY/PAYMENT,,120.0,225840.0
09-02-2023,NEFT,NEFT-883952093485-SOUTHERN RETAILS-REIMB-652740-HDFC0987095,12000.0,,237840.0
11-02-2023,BILL,BIL/INFT/805798996027/RELIANCE FRESH/PAYMENT,,999.0,236841.0
12-02-2023,UPI,UPI/263973124591/UPI/divyamenon340@oksbi/State Bank Of I/,,5200.0,231641.0
12-02-2023,MOBILE BANKING,MMT/IMPS/026606514068/RANJIT SINGH/HDFC BANK LTD,850.0,,232491.0
12-02-2023,DEBIT CARD,VPS/OLA/227887650913/MYSURU,,3499.0,228992.0
14-02-2023,DEBIT CARD,VPS/BPCL/329726373411/INDIRANAGAR,,850.0,228142.0
15-02-2023,UPI,UPI/561797344599/UPI/mohandas285@okhdfcbank/State Bank Of I/,,1250.0,226892.0
15-02-2023,MOBILE BANKING,MMT/IMPS/889869595232/POOJA SHARMA/HDFC BANK LTD,11200.0,,238092.0
16-02-2023,BILL,BIL/INFT/215694781100/AIRTEL/PAYMENT,,79.0,238013.0
16-02-2023,UPI,UPI/920183464061/UPI/meerapilla810@paytm/State Bank Of I/,,2380.0,235633.0
18-02-2023,DEBIT CARD,VPS/PVR CINEMA/081696328935/KUKATPALLY,,5200.0,230433.0
18-02-2023,MOBILE BANKING,MMT/IMPS/263606888523/POOJA SHARMA/HDFC BANK LTD,11200.0,,241633.0
19-02-2023,OTHER ATMS,NFS/05434315/CASH WDL/19-02-23,,49.0,241584.0
19-02-2023,UPI,UPI/699543279887/UPI/mohandas179@ybl/State Bank Of I/,,310.0,241274.0
21-02-2023,DEBIT CARD,VPS/ZOMATO/478476418463/MANGALURU,,2380.0,238894.0
22-02-2023,MOBILE BANKING,MMT/IMPS/070017386670/NAVEEN KUMAR/HDFC BANK LTD,24000.0,,262894.0
22-02-2023,BILL,BIL/INFT/405962070159/SWIGGY/PAYMENT,,120.0,262774.0
28-02-2023,BILL,BIL/INFT/979889228471/SWIGGY/PAYMENT,,3499.0,259275.0
28-02-2023,UPI,UPI/761372763244/UPI/priyanair887@paytm/State Bank Of I/,,1250.0,258025.0
28-02-2023,OTHER ATMS,NFS/11070002/CASH WDL/28-02-23,,120.0,257905.0
01-03-2023,SALARY,NEFT-177679947068-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0161987,62500.0,,320405.0
01-03-2023,BILL,BIL/INFT/304507183127/DMART/PAYMENT,,850.0,319555.0
01-03-2023,DEBIT CARD,VPS/ZOMATO/155005217062/HSR LAYOUT,,699.0,318856.0
02-03-2023,UPI,UPI/047398047918/UPI/meerapilla437@okaxis/State Bank Of I/,,79.0,318777.0
02-03-2023,BILL,BIL/INFT/707054277205/AMAZON/PAYMENT,,249.0,318528.0
02-03-2023,UPI,UPI/625356536275/UPI/lathadevi626@paytm/State Bank Of I/,,5200.0,313328.0
02-03-2023,OTHER ATMS,NFS/94561513/CASH WDL/02-03-23,,5200.0,308128.0
04-03-2023,NEFT,NEFT DR-HDFC0713987-SANTOSH IYER-872735380299-RENT,,26500.0,281628.0
05-03-2023,UPI,UPI/363560990173/UPI/reshmakhan319@okaxis/State Bank Of I/,,249.0,281379.0
07-03-2023,UPI,UPI/979200454462/UPI/tarageorge62@oksbi/State Bank Of I/,,79.0,281300.0
09-03-2023,MOBILE BANKING,MMT/IMPS/086494545632/PRIYA NAIR/HDFC BANK LTD,24000.0,,305300.0
13-03-2023,UPI,UPI/208432971348/UPI/mohandas410@okhdfcbank/State Bank Of I/,,120.0,305180.0
15-03-2023,DEBIT CARD,VPS/PVR CINEMA/379492657615/KORAMANGALA,,120.0,305060.0
16-03-2023,OTHER ATMS,NFS/01940789/CASH WDL/16-03-23,,699.0,304361.0
16-03-2023,MOBILE BANKING,MMT/IMPS/767217803555/MEERA PILLAI/HDFC BANK LTD,850.0,,305211.0
16-03-2023,BILL,BIL/INFT/809115750039/ZOMATO/PAYMENT,,3499.0,301712.0
17-03-2023,DEBIT CARD,VPS/ZOMATO/024241928864/KUKATPALLY,,2380.0,299332.0
21-03-2023,UPI,UPI/087178010737/UPI/rajeshverm878@ybl/State Bank Of I/,,850.0,298482.0
22-03-2023,BILL,BIL/INFT/198177477212/IRCTC/PAYMENT,,699.0,297783.0
23-03-2023,UPI,UPI/304144775306/UPI/vikramnair41@ybl/State Bank Of I/,,999.0,296784.0
24-03-2023,UPI,UPI/670195939656/UPI/reshmakhan471@okaxis/State Bank Of I/,,7800.0,288984.0
24-03-2023,BILL,BIL/INFT/309359650435/IRCTC/PAYMENT,,249.0,288735.0
25-03-2023,INTEREST,CREDIT INTEREST CAPITALISED,227.31,,288962.31
25-03-2023,CHARGES,GST ON BANK CHARGES,,17.7,288944.61
25-03-2023,UPI,UPI/832591926180/UPI/lathadevi714@paytm/State Bank Of I/,,7800.0,281144.61
28-03-2023,BILL,BIL/INFT/014764731796/OLA/PAYMENT,,120.0,281024.61
01-04-2023,UPI,UPI/395099243328/UPI/priyanair89@paytm/State Bank Of I/,,310.0,280714.61
01-04-2023,DEBIT CARD,VPS/OLA/269054050022/MYSURU,,1250.0,279464.61
02-04-2023,SALARY,NEFT-531329910574-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0217754,62000.0,,341464.61
02-04-2023,UPI,UPI/724859200904/UPI/rajeshverm637@oksbi/State Bank Of I/,,249.0,341215.61
06-04-2023,MOBILE BANKING,MMT/IMPS/916139442761/SURESH NAIR/HDFC BANK LTD,2500.0,,343715.61
06-04-2023,NEFT,NEFT DR-HDFC0689156-SUNIL SHETTY-802293957420-RENT,,18000.0,325715.61
06-04-2023,BILL,BIL/INFT/685602837078/HPCL/PAYMENT,,79.0,325636.61
07-04-2023,BILL,BIL/INFT/716212970387/SWIGGY/PAYMENT,,5200.0,320436.61
07-04-2023,MOBILE BANKING,MMT/IMPS/962260711283/USHA RANI/HDFC BANK LTD,850.0,,321286.61
07-04-2023,OTHER ATMS,NFS/97284755/CASH WDL/07-04-23,,120.0,321166.61
07-04-2023,DEBIT CARD,VPS/SWIGGY/471482260393/SECUNDERABAD,,79.0,321087.61
09-04-2023,DEBIT CARD,VPS/JIO/536006167786/KORAMANGALA,,5200.0,315887.61
09-04-2023,UPI,UPI/149899182142/UPI/lathadevi585@oksbi/State Bank Of I/,,999.0,314888.61
10-04-2023,BILL,BIL/INFT/677140163130/AIRTEL/PAYMENT,,310.0,314578.61
10-04-2023,MOBILE BANKING,MMT/IMPS/322877208384/MALLIKA DAS/HDFC BANK LTD,24000.0,,338578.61
11-04-2023,BILL,BIL/INFT/164518163113/BESCOM/PAYMENT,,999.0,337579.61
13-04-2023,OTHER ATMS,NFS/15886762/CASH WDL/13-04-23,,2380.0,335199.61
14-04-2023,DEBIT CARD,VPS/OLA/541919924911/MANGALURU,,5200.0,329999.61
14-04-2023,OTHER ATMS,NFS/31959984/CASH WDL/14-04-23,,249.0,329750.61
15-04-2023,MOBILE BANKING,MMT/IMPS/870806576177/PRIYA NAIR/HDFC BANK LTD,4800.0,,334550.61
16-04-2023,UPI,UPI/484242902170/UPI/rahulsingh64@okhdfcbank/State Bank Of I/,,449.0,334101.61
16-04-2023,BILL,BIL/INFT/887340789379/MEDPLUS/PAYMENT,,999.0,333102.61
17-04-2023,BILL,BIL/INFT/268435096754/JIO/PAYMENT,,79.0,333023.61
18-04-2023,OTHER ATMS,NFS/54146853/CASH WDL/18-04-23,,850.0,332173.61
19-04-2023,UPI,UPI/800326031756/UPI/kiranreddy662@ybl/State Bank Of I/,,310.0,331863.61
21-04-2023,MOBILE BANKING,MMT/IMPS/059210137194/KIRAN REDDY/HDFC BANK LTD,1200.0,,333063.61
21-04-2023,UPI,UPI/330806037816/UPI/vinaypatil157@ybl/State Bank Of I/,,2380.0,330683.61
22-04-2023,UPI,UPI/988427740447/UPI/mohandas175@okaxis/State Bank Of I/,,79.0,330604.61
22-04-2023,DEBIT CARD,VPS/RELIANCE F/294461393755/MARATHAHALLI,,120.0,330484.61
22-04-2023,MOBILE BANKING,MMT/IMPS/791168621749/MALLIKA DAS/HDFC BANK LTD,500.0,,330984.61
24-04-2023,DEBIT CARD,VPS/BPCL/210737906520/PUNE,,120.0,330864.61
26-04-2023,MOBILE BANKING,MMT/IMPS/356083633969/LATHA MURTHY/HDFC BANK LTD,4800.0,,335664.61
28-04-2023,MOBILE BANKING,MMT/IMPS/233635611599/RAJENDRA PRASAD/HDFC BANK LTD,11200.0,,346864.61
29-04-2023,DEBIT CARD,VPS/FLIPKART/025278269029/MUMBAI,,699.0,346165.61
30-04-2023,UPI,UPI/331661893409/UPI/tarageorge986@ybl/State Bank Of I/,,249.0,345916.61
30-04-2023,UPI,UPI/758594016470/UPI/kavyareddy987@paytm/State Bank Of I/,,1250.0,344666.61
01-05-2023,MOBILE BANKING,MMT/IMPS/069526283482/ADITYA KUMAR/HDFC BANK LTD,850.0,,345516.61
01-05-2023,MOBILE BANKING,MMT/IMPS/249574152555/LATHA MURTHY/HDFC BANK LTD,11200.0,,356716.61
01-05-2023,MOBILE BANKING,MMT/IMPS/523433684675/CHANDAN SHARMA/HDFC BANK LTD,850.0,,357566.61
03-05-2023,SALARY,NEFT-358087941608-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0959116,62500.0,,420066.61
04-05-2023,MOBILE BANKING,MMT/IMPS/299535954944/RAMESH PILLAI/HDFC BANK LTD,7500.0,,427566.61
04-05-2023,NEFT,NEFT DR-HDFC0084012-VIKRAM NAIR-391003688620-RENT,,26500.0,401066.61
05-05-2023,UPI,UPI/926857517145/UPI/sunilshett495@paytm/State Bank Of I/,,120.0,400946.61
05-05-2023,BILL,BIL/INFT/962640125647/IRCTC/PAYMENT,,699.0,400247.61
05-05-2023,UPI,UPI/098900714010/UPI/lathadevi260@okhdfcbank/State Bank Of I/,,449.0,399798.61
08-05-2023,MOBILE BANKING,MMT/IMPS/906963669710/NILESH KULKARNI/HDFC BANK LTD,18500.0,,418298.61
09-05-2023,DEBIT CARD,VPS/BPCL/676579271729/BANJARA HILLS,,1680.0,416618.61
10-05-2023,UPI,UPI/704130482738/UPI/reshmakhan198@okaxis/State Bank Of I/,,1250.0,415368.61
11-05-2023,DEBIT CARD,VPS/IOCL/772881504413/BTM LAYOUT,,850.0,414518.61
11-05-2023,DEBIT CARD,VPS/MEDPLUS/745812091534/HSR LAYOUT,,2380.0,412138.61
12-05-2023,OTHER ATMS,NFS/28773572/CASH WDL/12-05-23,,310.0,411828.61
12-05-2023,DEBIT CARD,VPS/BESCOM/829985594725/SECUNDERABAD,,999.0,410829.61
12-05-2023,UPI,UPI/940449576287/UPI/ayeshakhan288@ybl/State Bank Of I/,,2380.0,408449.61
14-05-2023,MOBILE BANKING,MMT/IMPS/857434500644/PRIYA NAIR/HDFC BANK LTD,1200.0,,409649.61
16-05-2023,BILL,BIL/INFT/390349971506/BESCOM/PAYMENT,,49.0,409600.61
16-05-2023,OTHER ATMS,NFS/41041365/CASH WDL/16-05-23,,699.0,408901.61
16-05-2023,UPI,UPI/784275461526/UPI/tarageorge244@paytm/State Bank Of I/,,1250.0,407651.61
16-05-2023,OTHER ATMS,NFS/09546171/CASH WDL/16-05-23,,1680.0,405971.61
16-05-2023,BILL,BIL/INFT/954815257894/PVR CINEMAS/PAYMENT,,79.0,405892.61
16-05-2023,OTHER ATMS,NFS/68371766/CASH WDL/16-05-23,,850.0,405042.61
17-05-2023,MOBILE BANKING,MMT/IMPS/857063555060/DEEPA NAIR/HDFC BANK LTD,24000.0,,429042.61
18-05-2023,MOBILE BANKING,MMT/IMPS/692990188063/RAJENDRA PRASAD/HDFC BANK LTD,2500.0,,431542.61
19-05-2023,UPI,UPI/084340400203/UPI/farhankhan638@okaxis/State Bank Of I/,,850.0,430692.61
20-05-2023,UPI,UPI/799141391567/UPI/anjalirao934@okaxis/State Bank Of I/,,449.0,430243.61
20-05-2023,OTHER ATMS,NFS/30201229/CASH WDL/20-05-23,,699.0,429544.61
21-05-2023,UPI,UPI/989450471755/UPI/reshmakhan106@okaxis/State Bank Of I/,,1250.0,428294.61
21-05-2023,OTHER ATMS,NFS/69108508/CASH WDL/21-05-23,,2380.0,425914.61
21-05-2023,BILL,BIL/INFT/133234490112/OLA/PAYMENT,,449.0,425465.61
23-05-2023,MOBILE BANKING,MMT/IMPS/900469910820/NIKHIL GUPTA/HDFC BANK LTD,7500.0,,432965.61
24-05-2023,MOBILE BANKING,MMT/IMPS/844063258453/GANESH KUMAR/HDFC BANK LTD,11200.0,,444165.61
25-05-2023,MOBILE BANKING,MMT/IMPS/120986598659/HARISH MENON/HDFC BANK LTD,4800.0,,448965.61
25-05-2023,OTHER ATMS,NFS/56730426/CASH WDL/25-05-23,,699.0,448266.61
25-05-2023,BILL,BIL/INFT/149027884820/IRCTC/PAYMENT,,310.0,447956.61
25-05-2023,DEBIT CARD,VPS/BESCOM/429825806164/INDIRANAGAR,,1680.0,446276.61
27-05-2023,DEBIT CARD,VPS/BOOKMYSHOW/309708130137/MUMBAI,,5200.0,441076.61
28-05-2023,BILL,BIL/INFT/181861766344/UBER/PAYMENT,,5200.0,435876.61
28-05-2023,OTHER ATMS,NFS/91841339/CASH WDL/28-05-23,,1250.0,434626.61
29-05-2023,UPI,UPI/731847327376/UPI/ayeshakhan541@ybl/State Bank Of I/,,7800.0,426826.61
01-06-2023,BILL,BIL/INFT/516968536435/BPCL/PAYMENT,,850.0,425976.61
01-06-2023,SALARY,NEFT-583306388529-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0685956,61250.0,,487226.61
02-06-2023,DEBIT CARD,VPS/SWIGGY/031875579714/HYDERABAD,,1680.0,485546.61
02-06-2023,UPI,UPI/662443438285/UPI/reshmakhan603@okaxis/State Bank Of I/,,1250.0,484296.61
03-06-2023,OTHER ATMS,NFS/15211937/CASH WDL/03-06-23,,2380.0,481916.61
04-06-2023,BILL,BIL/INFT/126166764707/SWIGGY/PAYMENT,,1680.0,480236.61
04-06-2023,UPI,UPI/748910449770/UPI/rajeshverm409@ybl/State Bank Of I/,,3499.0,476737.61
04-06-2023,UPI,UPI/560017149990/UPI/santoshiye151@paytm/State Bank Of I/,,7800.0,468937.61
07-06-2023,DEBIT CARD,VPS/DMART/535415445674/MARATHAHALLI,,1680.0,467257.61
07-06-2023,NEFT,NEFT DR-HDFC0331353-ROHIT SHARMA-038713750898-RENT,,26500.0,440757.61
07-06-2023,OTHER ATMS,NFS/40033866/CASH WDL/07-06-23,,449.0,440308.61
11-06-2023,OTHER ATMS,NFS/01274810/CASH WDL/11-06-23,,449.0,439859.61
11-06-2023,BILL,BIL/INFT/512857432067/RELIANCE FRESH/PAYMENT,,3499.0,436360.61
13-06-2023,UPI,UPI/250477217921/UPI/naveenkuma48@okhdfcbank/State Bank Of I/,,999.0,435361.61
13-06-2023,UPI,UPI/439896507550/UPI/gopalnaik569@ybl/State Bank Of I/,,5200.0,430161.61
14-06-2023,OTHER ATMS,NFS/63182122/CASH WDL/14-06-23,,999.0,429162.61
15-06-2023,OTHER ATMS,NFS/57131260/CASH WDL/15-06-23,,120.0,429042.61
15-06-2023,BILL,BIL/INFT/068581632366/JIO/PAYMENT,,699.0,428343.61
15-06-2023,MOBILE BANKING,MMT/IMPS/431819396019/PRIYA NAIR/HDFC BANK LTD,18500.0,,446843.61
15-06-2023,DEBIT CARD,VPS/ZOMATO/972471220076/MANGALURU,,5200.0,441643.61
18-06-2023,OTHER ATMS,NFS/23534306/CASH WDL/18-06-23,,449.0,441194.61
18-06-2023,UPI,UPI/622472242499/UPI/mohandas286@ybl/State Bank Of I/,,249.0,440945.61
18-06-2023,DEBIT CARD,VPS/AMAZON/599125500734/KUKATPALLY,,3499.0,437446.61
19-06-2023,UPI,UPI/346882377258/UPI/ayeshakhan18@paytm/State Bank Of I/,,1250.0,436196.61
22-06-2023,UPI,UPI/700897167816/UPI/priyanair727@ybl/State Bank Of I/,,5200.0,430996.61
23-06-2023,UPI,UPI/380545900657/UPI/reshmakhan47@oksbi/State Bank Of I/,,3499.0,427497.61
23-06-2023,MOBILE BANKING,MMT/IMPS/008308970087/VINAY PATIL/HDFC BANK LTD,24000.0,,451497.61
25-06-2023,INTEREST,CREDIT INTEREST CAPITALISED,190.1,,451687.71
25-06-2023,CHARGES,GST ON BANK CHARGES,,17.7,451670.01
26-06-2023,DEBIT CARD,VPS/DMART/749786860134/BTM LAYOUT,,7800.0,443870.01
26-06-2023,MOBILE BANKING,MMT/IMPS/202622388012/SURESH BABU/HDFC BANK LTD,7500.0,,451370.01
26-06-2023,OTHER ATMS,NFS/00679247/CASH WDL/26-06-23,,1680.0,449690.01
26-06-2023,UPI,UPI/961410642532/UPI/farhankhan890@ybl/State Bank Of I/,,2380.0,447310.01
26-06-2023,UPI,UPI/306661155463/UPI/arjunmehta719@okaxis/State Bank Of I/,,699.0,446611.01
27-06-2023,UPI,UPI/184231289437/UPI/priyanair23@okaxis/State Bank Of I/,,7800.0,438811.01
27-06-2023,OTHER ATMS,NFS/69323148/CASH WDL/27-06-23,,449.0,438362.01
01-07-2023,SALARY,NEFT-891147335133-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0075132,62000.0,,500362.01
01-07-2023,BILL,BIL/INFT/782248957043/RELIANCE FRESH/PAYMENT,,999.0,499363.01
02-07-2023,MOBILE BANKING,MMT/IMPS/853454555971/MEERA PILLAI/HDFC BANK LTD,4800.0,,504163.01
02-07-2023,BILL,BIL/INFT/122188165633/PVR CINEMAS/PAYMENT,,999.0,503164.01
03-07-2023,BILL,BIL/INFT/516791067932/HPCL/PAYMENT,,49.0,503115.01
03-07-2023,OTHER ATMS,NFS/64263349/CASH WDL/03-07-23,,310.0,502805.01
03-07-2023,UPI,UPI/319417957323/UPI/smitharao832@okhdfcbank/State Bank Of I/,,2380.0,500425.01
04-07-2023,OTHER ATMS,NFS/71252901/CASH WDL/04-07-23,,3499.0,496926.01
04-07-2023,DEBIT CARD,VPS/FLIPKART/725144512709/MUMBAI,,310.0,496616.01
05-07-2023,NEFT,NEFT DR-HDFC0035787-KIRAN REDDY-198928714476-RENT,,26500.0,470116.01
05-07-2023,OTHER ATMS,NFS/79753683/CASH WDL/05-07-23,,699.0,469417.01
05-07-2023,DEBIT CARD,VPS/RELIANCE F/838804006840/KORAMANGALA,,1680.0,467737.01
07-07-2023,MOBILE BANKING,MMT/IMPS/503735088264/SNEHA PATIL/HDFC BANK LTD,11200.0,,478937.01
12-07-2023,DEBIT CARD,VPS/MEDPLUS/441479128985/WHITEFIELD,,249.0,478688.01
13-07-2023,OTHER ATMS,NFS/39056618/CASH WDL/13-07-23,,1250.0,477438.01
14-07-2023,DEBIT CARD,VPS/IOCL/845809028027/HYDERABAD,,1250.0,476188.01
15-07-2023,MOBILE BANKING,MMT/IMPS/371802237894/KIRAN REDDY/HDFC BANK LTD,4800.0,,480988.01
16-07-2023,OTHER ATMS,NFS/73905550/CASH WDL/16-07-23,,5200.0,475788.01
16-07-2023,OTHER ATMS,NFS/46890648/CASH WDL/16-07-23,,79.0,475709.01
17-07-2023,BILL,BIL/INFT/163955875836/SWIGGY/PAYMENT,,999.0,474710.01
17-07-2023,OTHER ATMS,NFS/58307139/CASH WDL/17-07-23,,850.0,473860.01
18-07-2023,OTHER ATMS,NFS/92179060/CASH WDL/18-07-23,,999.0,472861.01
20-07-2023,MOBILE BANKING,MMT/IMPS/885872121144/USHA RANI/HDFC BANK LTD,500.0,,473361.01
20-07-2023,OTHER ATMS,NFS/52801861/CASH WDL/20-07-23,,2380.0,470981.01
22-07-2023,UPI,UPI/370780101497/UPI/ayeshakhan290@ybl/State Bank Of I/,,310.0,470671.01
22-07-2023,UPI,UPI/041186674694/UPI/rohitsharm111@paytm/State Bank Of I/,,1250.0,469421.01
22-07-2023,UPI,UPI/994263988745/UPI/ayeshakhan413@paytm/State Bank Of I/,,850.0,468571.01
23-07-2023,OTHER ATMS,NFS/60104435/CASH WDL/23-07-23,,310.0,468261.01
24-07-2023,UPI,UPI/137546272780/UPI/santoshiye830@ybl/State Bank Of I/,,2380.0,465881.01
25-07-2023,OTHER ATMS,NFS/88947796/CASH WDL/25-07-23,,1680.0,464201.01
25-07-2023,OTHER ATMS,NFS/87456737/CASH WDL/25-07-23,,310.0,463891.01
25-07-2023,DEBIT CARD,VPS/IOCL/147734930394/JAYANAGAR,,999.0,462892.01
26-07-2023,OTHER ATMS,NFS/22889644/CASH WDL/26-07-23,,3499.0,459393.01
27-07-2023,UPI,UPI/217056691598/UPI/farhankhan967@paytm/State Bank Of I/,,850.0,458543.01
29-07-2023,OTHER ATMS,NFS/45192159/CASH WDL/29-07-23,,49.0,458494.01
29-07-2023,OTHER ATMS,NFS/97344228/CASH WDL/29-07-23,,5200.0,453294.01
30-07-2023,MOBILE BANKING,MMT/IMPS/004686648873/IMRAN KHAN/HDFC BANK LTD,11200.0,,464494.01
31-07-2023,OTHER ATMS,NFS/29444319/CASH WDL/31-07-23,,249.0,464245.01
02-08-2023,SALARY,NEFT-081612339256-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0493751,62000.0,,526245.01
02-08-2023,BILL,BIL/INFT/198000087396/AIRTEL/PAYMENT,,1250.0,524995.01
03-08-2023,DEBIT CARD,VPS/IOCL/914762210986/SECUNDERABAD,,449.0,524546.01
06-08-2023,NEFT,NEFT DR-HDFC0119951-MOHAN DAS-704945946292-RENT,,22000.0,502546.01
07-08-2023,DEBIT CARD,VPS/JIO/154046045360/INDIRANAGAR,,1250.0,501296.01
07-08-2023,UPI,UPI/342196524259/UPI/naveenkuma40@paytm/State Bank Of I/,,1250.0,500046.01
10-08-2023,DEBIT CARD,VPS/OLA/723037258342/KORAMANGALA,,3499.0,496547.01
11-08-2023,OTHER ATMS,NFS/98019840/CASH WDL/11-08-23,,120.0,496427.01
12-08-2023,BILL,BIL/INFT/929625586575/FLIPKART/PAYMENT,,249.0,496178.01
14-08-2023,DEBIT CARD,VPS/SWIGGY/737215963517/JAYANAGAR,,3499.0,492679.01
15-08-2023,UPI,UPI/016284324302/UPI/priyanair257@ybl/State Bank Of I/,,1250.0,491429.01
16-08-2023,DEBIT CARD,VPS/BESCOM/929912820095/HYDERABAD,,1680.0,489749.01
17-08-2023,DEBIT CARD,VPS/IOCL/536717996743/BTM LAYOUT,,249.0,489500.01
18-08-2023,OTHER ATMS,NFS/55481479/CASH WDL/18-08-23,,1680.0,487820.01
19-08-2023,OTHER ATMS,NFS/92543964/CASH WDL/19-08-23,,249.0,487571.01
22-08-2023,OTHER ATMS,NFS/91519793/CASH WDL/22-08-23,,249.0,487322.01
23-08-2023,OTHER ATMS,NFS/39843346/CASH WDL/23-08-23,,7800.0,479522.01
23-08-2023,BILL,BIL/INFT/056971501880/IOCL/PAYMENT,,310.0,479212.01
24-08-2023,DEBIT CARD,VPS/AMAZON/562975200037/MARATHAHALLI,,1680.0,477532.01
24-08-2023,UPI,UPI/234517872863/UPI/rahulsingh519@okhdfcbank/State Bank Of I/,,449.0,477083.01
24-08-2023,OTHER ATMS,NFS/75866914/CASH WDL/24-08-23,,1250.0,475833.01
