Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
31 Jan 2023,31 Jan 2023,NEFT-994124267307-SOUTHERN RETAILS-REIMB-051322-HDFC0779366,852886893879,,24000.0,294820.0
31 Jan 2023,31 Jan 2023,TO CLEARING-CIT SWIGGY 009384,078623184414,310.0,,294510.0
3 Feb 2023,3 Feb 2023,BY TRANSFER-9975115755387 SALARY RAJENDRA PRA,042302463179,,78500.0,373010.0
3 Feb 2023,3 Feb 2023,POS/2006/JIO/MUMBAI,866697665101,2380.0,,370630.0
4 Feb 2023,4 Feb 2023,ATM WDL/9781/MUMBAI,976356656480,3499.0,,367131.0
6 Feb 2023,6 Feb 2023,TO CLEARING-CIT APOLLO PHARMACY 579311,464266390591,1250.0,,365881.0
6 Feb 2023,6 Feb 2023,NEFT DR-HDFC0005913-DIVYA MENON-791328585604-RENT,101584339157,31000.0,,334881.0
6 Feb 2023,6 Feb 2023,TO TRANSFER-UPI/030633603142/arjunmehta982@okhdfcbank,030633603142,5200.0,,329681.0
8 Feb 2023,8 Feb 2023,BY TRANSFER-INB IMPS485648977914/9993993606/XX8211/Remitly Tr-,MAC9200492267,,2500.0,332181.0
9 Feb 2023,9 Feb 2023,BY TRANSFER-INB IMPS802366642785/0209144218/XX8134/Remitly Tr-,MAC3604044496,,850.0,333031.0
12 Feb 2023,12 Feb 2023,ATM WDL/4120/HYDERABAD,830067750738,2380.0,,330651.0
13 Feb 2023,13 Feb 2023,TO TRANSFER-UPI/518700817628/rajeshverm934@ybl,518700817628,3499.0,,327152.0
14 Feb 2023,14 Feb 2023,TO CLEARING-CIT BESCOM 773279,190107942733,310.0,,326842.0
15 Feb 2023,15 Feb 2023,POS/4943/JIO/KORAMANGALA,082436520287,49.0,,326793.0
17 Feb 2023,17 Feb 2023,BY TRANSFER-INB IMPS442944836460/4665991116/XX3317/Remitly Tr-,MAC4432628014,,1200.0,327993.0
17 Feb 2023,17 Feb 2023,BY TRANSFER-INB IMPS099855245313/6501096667/XX4199/Remitly Tr-,MAC6406013720,,18500.0,346493.0
18 Feb 2023,18 Feb 2023,BY TRANSFER-INB IMPS029517463510/6642513176/XX9224/Remitly Tr-,MAC2015388835,,850.0,347343.0
18 Feb 2023,18 Feb 2023,BY TRANSFER-INB IMPS946500801517/2127792121/XX1288/Remitly Tr-,MAC0743277614,,7500.0,354843.0
18 Feb 2023,18 Feb 2023,TO TRANSFER-UPI/921081422115/tarageorge984@paytm,921081422115,1250.0,,353593.0
21 Feb 2023,21 Feb 2023,TO CLEARING-CIT ZOMATO 246080,710905826553,2380.0,,351213.0
21 Feb 2023,21 Feb 2023,POS/9263/SWIGGY/MARATHAHALLI,846920000383,249.0,,350964.0
21 Feb 2023,21 Feb 2023,POS/4725/ZOMATO/HSR LAYOUT,017613808742,310.0,,350654.0
21 Feb 2023,21 Feb 2023,ATM WDL/0012/MARATHAHALLI,903101709327,999.0,,349655.0
22 Feb 2023,22 Feb 2023,ATM WDL/9024/HYDERABAD,229894305813,3499.0,,346156.0
22 Feb 2023,22 Feb 2023,ATM WDL/8114/PUNE,535138686566,249.0,,345907.0
23 Feb 2023,23 Feb 2023,TO TRANSFER-UPI/170616552639/meerapilla737@okaxis,170616552639,3499.0,,342408.0
23 Feb 2023,23 Feb 2023,TO CLEARING-CIT PVR CINEMAS 681980,762253996098,120.0,,342288.0
24 Feb 2023,24 Feb 2023,BY TRANSFER-INB IMPS030269604635/6506860751/XX6593/Remitly Tr-,MAC8396677940,,4800.0,347088.0
25 Feb 2023,25 Feb 2023,POS/3245/AIRTEL/INDIRANAGAR,823288602023,2380.0,,344708.0
26 Feb 2023,26 Feb 2023,TO CLEARING-CIT MEDPLUS 888713,043332804031,5200.0,,339508.0
26 Feb 2023,26 Feb 2023,BY TRANSFER-INB IMPS415781314958/5793210790/XX6170/Remitly Tr-,MAC6396880058,,7500.0,347008.0
26 Feb 2023,26 Feb 2023,ATM WDL/9059/MARATHAHALLI,474641178537,79.0,,346929.0
27 Feb 2023,27 Feb 2023,POS/9241/IRCTC/MANGALURU,358031650039,999.0,,345930.0
27 Feb 2023,27 Feb 2023,TO CLEARING-CIT BOOKMYSHOW 205878,119310844831,2380.0,,343550.0
28 Feb 2023,28 Feb 2023,POS/1225/MEDPLUS/KORAMANGALA,610821058967,120.0,,343430.0
28 Feb 2023,28 Feb 2023,TO CLEARING-CIT DMART 348839,428980481453,249.0,,343181.0
1 Mar 2023,1 Mar 2023,POS/4588/JIO/SECUNDERABAD,125244107177,1680.0,,341501.0
2 Mar 2023,2 Mar 2023,BY TRANSFER-7818864840999 SALARY RAJENDRA PRA,631509180117,,77250.0,418751.0
3 Mar 2023,3 Mar 2023,ATM WDL/5160/BANJARA HILLS,661151399125,310.0,,418441.0
4 Mar 2023,4 Mar 2023,TO CLEARING-CIT HPCL 463487,304341857343,449.0,,417992.0
6 Mar 2023,6 Mar 2023,POS/8409/RELIANCE FRESH/HYDERABAD,050167065275,699.0,,417293.0
7 Mar 2023,7 Mar 2023,NEFT DR-HDFC0653866-DIVYA MENON-416662680532-RENT,349596114277,31000.0,,386293.0
7 Mar 2023,7 Mar 2023,TO CLEARING-CIT MEDPLUS 633530,638359510860,3499.0,,382794.0
7 Mar 2023,7 Mar 2023,POS/6232/RELIANCE FRESH/KORAMANGALA,798275913285,1680.0,,381114.0
8 Mar 2023,8 Mar 2023,POS/2552/DMART/WHITEFIELD,965590029474,5200.0,,375914.0
8 Mar 2023,8 Mar 2023,TO TRANSFER-UPI/366624339638/ayeshakhan141@ybl,366624339638,3499.0,,372415.0
9 Mar 2023,9 Mar 2023,TO CLEARING-CIT RELIANCE FRESH 446467,407124915716,3499.0,,368916.0
10 Mar 2023,10 Mar 2023,POS/7737/HPCL/PUNE,107438675770,5200.0,,363716.0
10 Mar 2023,10 Mar 2023,POS/9631/BESCOM/SECUNDERABAD,881218157304,2380.0,,361336.0
13 Mar 2023,13 Mar 2023,BY TRANSFER-INB IMPS293077629709/7347133394/XX9198/Remitly Tr-,MAC8901742715,,18500.0,379836.0
13 Mar 2023,13 Mar 2023,ATM WDL/6834/INDIRANAGAR,316340370113,3499.0,,376337.0
14 Mar 2023,14 Mar 2023,TO CLEARING-CIT RELIANCE FRESH 661953,083026999650,5200.0,,371137.0
14 Mar 2023,14 Mar 2023,ATM WDL/0529/MYSURU,823252923635,850.0,,370287.0
14 Mar 2023,14 Mar 2023,ATM WDL/4268/MARATHAHALLI,857404558979,249.0,,370038.0
15 Mar 2023,15 Mar 2023,TO TRANSFER-UPI/558148198303/arjunmehta314@paytm,558148198303,79.0,,369959.0
15 Mar 2023,15 Mar 2023,TO TRANSFER-UPI/092234525692/farhankhan956@okhdfcbank,092234525692,120.0,,369839.0
15 Mar 2023,15 Mar 2023,TO TRANSFER-UPI/886901562062/rohitsharm954@paytm,886901562062,79.0,,369760.0
16 Mar 2023,16 Mar 2023,TO CLEARING-CIT IRCTC 438942,145157795338,120.0,,369640.0
17 Mar 2023,17 Mar 2023,BY TRANSFER-INB IMPS258597598624/6889098141/XX4032/Remitly Tr-,MAC7228431430,,850.0,370490.0
17 Mar 2023,17 Mar 2023,ATM WDL/8689/BTM LAYOUT,688178394724,449.0,,370041.0
17 Mar 2023,17 Mar 2023,TO TRANSFER-UPI/162528946236/harishmeno195@oksbi,162528946236,1680.0,,368361.0
18 Mar 2023,18 Mar 2023,BY TRANSFER-INB IMPS240533777179/1606585092/XX2991/Remitly Tr-,MAC8059613095,,2500.0,370861.0
19 Mar 2023,19 Mar 2023,TO TRANSFER-UPI/788807549445/arjunmehta661@okhdfcbank,788807549445,3499.0,,367362.0
22 Mar 2023,22 Mar 2023,TO CLEARING-CIT DMART 389340,573481349747,120.0,,367242.0
23 Mar 2023,23 Mar 2023,POS/3692/BPCL/SECUNDERABAD,823753010114,449.0,,366793.0
24 Mar 2023,24 Mar 2023,TO CLEARING-CIT JIO 398724,097275421265,310.0,,366483.0
24 Mar 2023,24 Mar 2023,TO TRANSFER-UPI/360702503678/meerapilla404@paytm,360702503678,3499.0,,362984.0
25 Mar 2023,25 Mar 2023,CREDIT INTEREST CAPITALISED,069493246966,,45.93,363029.93
25 Mar 2023,25 Mar 2023,GST ON BANK CHARGES,916368900846,17.7,,363012.23
25 Mar 2023,25 Mar 2023,TO TRANSFER-UPI/814102571464/naveenkuma265@ybl,814102571464,249.0,,362763.23
25 Mar 2023,25 Mar 2023,POS/1880/IRCTC/MUMBAI,710997436362,5200.0,,357563.23
28 Mar 2023,28 Mar 2023,POS/6442/RELIANCE FRESH/MYSURU,253672739348,1680.0,,355883.23
30 Mar 2023,30 Mar 2023,POS/2019/MEDPLUS/MANGALURU,274645988083,49.0,,355834.23
1 Apr 2023,1 Apr 2023,BY TRANSFER-0986417032638 SALARY RAJENDRA PRA,983075080886,,77250.0,433084.23
1 Apr 2023,1 Apr 2023,ATM WDL/5291/WHITEFIELD,097724350701,1680.0,,431404.23
3 Apr 2023,3 Apr 2023,NEFT DR-HDFC0735842-MEERA PILLAI-947328932522-RENT,428916969972,22000.0,,409404.23
3 Apr 2023,3 Apr 2023,TO TRANSFER-UPI/918432143088/tarageorge593@oksbi,918432143088,1680.0,,407724.23
4 Apr 2023,4 Apr 2023,BY TRANSFER-INB IMPS586223513931/8941613181/XX2248/Remitly Tr-,MAC7996127628,,24000.0,431724.23
7 Apr 2023,7 Apr 2023,TO CLEARING-CIT JIO 528774,894771523634,699.0,,431025.23
7 Apr 2023,7 Apr 2023,TO TRANSFER-UPI/979864942332/sunilshett406@oksbi,979864942332,249.0,,430776.23
9 Apr 2023,9 Apr 2023,BY TRANSFER-INB IMPS422921318560/6942301208/XX7758/Remitly Tr-,MAC3756962889,,18500.0,449276.23
10 Apr 2023,10 Apr 2023,TO CLEARING-CIT ZOMATO 977987,024518362987,2380.0,,446896.23
12 Apr 2023,12 Apr 2023,BY TRANSFER-INB IMPS410840784026/3675166200/XX8217/Remitly Tr-,MAC2833204717,,1200.0,448096.23
14 Apr 2023,14 Apr 2023,BY TRANSFER-INB IMPS247908375621/0549271317/XX4884/Remitly Tr-,MAC6799677546,,4800.0,452896.23
15 Apr 2023,15 Apr 2023,TO TRANSFER-UPI/355426442686/farhankhan821@okaxis,355426442686,120.0,,452776.23
15 Apr 2023,15 Apr 2023,TO CLEARING-CIT DMART 678267,827766537351,999.0,,451777.23
15 Apr 2023,15 Apr 2023,ATM WDL/6065/JAYANAGAR,221673310769,1680.0,,450097.23
15 Apr 2023,15 Apr 2023,POS/0424/MEDPLUS/INDIRANAGAR,892220366969,449.0,,449648.23
16 Apr 2023,16 Apr 2023,BY TRANSFER-INB IMPS770524587191/4967677334/XX5049/Remitly Tr-,MAC6463091506,,24000.0,473648.23
16 Apr 2023,16 Apr 2023,TO CLEARING-CIT JIO 366987,195087341197,850.0,,472798.23
17 Apr 2023,17 Apr 2023,POS/8808/IRCTC/MUMBAI,118603905593,310.0,,472488.23
17 Apr 2023,17 Apr 2023,POS/4798/HPCL/HYDERABAD,972938684102,1680.0,,470808.23
19 Apr 2023,19 Apr 2023,BY TRANSFER-INB IMPS680352166301/5539927986/XX5297/Remitly Tr-,MAC7473500865,,850.0,471658.23
20 Apr 2023,20 Apr 2023,TO CLEARING-CIT HPCL 144716,279661210280,249.0,,471409.23
21 Apr 2023,21 Apr 2023,POS/0070/ZOMATO/KUKATPALLY,619125047752,120.0,,471289.23
21 Apr 2023,21 Apr 2023,BY TRANSFER-INB IMPS107055688569/6582373849/XX3581/Remitly Tr-,MAC9512430217,,24000.0,495289.23
24 Apr 2023,24 Apr 2023,BY TRANSFER-INB IMPS528575577919/3566302388/XX0979/Remitly Tr-,MAC5564314559,,18500.0,513789.23
24 Apr 2023,24 Apr 2023,NEFT-997206922812-SOUTHERN RETAILS-REIMB-051322-HDFC0857843,620350718362,,18500.0,532289.23
25 Apr 2023,25 Apr 2023,ATM WDL/5543/KORAMANGALA,370269596923,449.0,,531840.23
25 Apr 2023,25 Apr 2023,ATM WDL/8251/KUKATPALLY,097889592367,1250.0,,530590.23
28 Apr 2023,28 Apr 2023,BY TRANSFER-INB IMPS371099638048/1351472096/XX0299/Remitly Tr-,MAC5913483662,,4800.0,535390.23
29 Apr 2023,29 Apr 2023,BY TRANSFER-INB IMPS801628243497/6217867359/XX4578/Remitly Tr-,MAC8531703986,,18500.0,553890.23
1 May 2023,1 May 2023,BY TRANSFER-INB IMPS254054646852/2487283466/XX4700/Remitly Tr-,MAC4889871707,,24000.0,577890.23
1 May 2023,1 May 2023,POS/6195/ZOMATO/WHITEFIELD,435702690627,79.0,,577811.23
2 May 2023,2 May 2023,BY TRANSFER-8294252751475 SALARY RAJENDRA PRA,353766851302,,78500.0,656311.23
2 May 2023,2 May 2023,ATM WDL/0099/MYSURU,444467600839,850.0,,655461.23
4 May 2023,4 May 2023,NEFT DR-HDFC0399364-HARISH MENON-190043187559-RENT,595652940516,18000.0,,637461.23
5 May 2023,5 May 2023,ATM WDL/5752/MARATHAHALLI,127015778056,79.0,,637382.23
5 May 2023,5 May 2023,POS/4028/APOLLO PHARMACY/KORAMANGALA,566107267848,1250.0,,636132.23
6 May 2023,6 May 2023,TO TRANSFER-UPI/237563678555/priyanair559@ybl,237563678555,1680.0,,634452.23
10 May 2023,10 May 2023,TO CLEARING-CIT AMAZON 676906,414842380195,5200.0,,629252.23
11 May 2023,11 May 2023,TO TRANSFER-UPI/175088008127/rohitsharm832@oksbi,175088008127,1250.0,,628002.23
15 May 2023,15 May 2023,POS/6274/RELIANCE FRESH/MARATHAHALLI,851604957054,3499.0,,624503.23
15 May 2023,15 May 2023,POS/8262/AMAZON/MYSURU,832014530985,5200.0,,619303.23
16 May 2023,16 May 2023,ATM WDL/4813/SECUNDERABAD,229400400090,999.0,,618304.23
16 May 2023,16 May 2023,BY TRANSFER-INB IMPS372952054833/1961470028/XX6496/Remitly Tr-,MAC1537036395,,4800.0,623104.23
16 May 2023,16 May 2023,TO TRANSFER-UPI/307290375293/rahulsingh665@okaxis,307290375293,449.0,,622655.23
17 May 2023,17 May 2023,BY TRANSFER-INB IMPS605466422844/8473105204/XX7953/Remitly Tr-,MAC3734781754,,7500.0,630155.23
18 May 2023,18 May 2023,TO TRANSFER-UPI/751124086641/vikramnair643@ybl,751124086641,1680.0,,628475.23
18 May 2023,18 May 2023,BY TRANSFER-INB IMPS733940251823/3480612360/XX8491/Remitly Tr-,MAC6044924086,,1200.0,629675.23
18 May 2023,18 May 2023,TO TRANSFER-UPI/740597052773/ayeshakhan423@paytm,740597052773,1250.0,,628425.23
19 May 2023,19 May 2023,TO CLEARING-CIT AMAZON 981281,521347764943,79.0,,628346.23
21 May 2023,21 May 2023,ATM WDL/8436/SECUNDERABAD,575081759601,5200.0,,623146.23
21 May 2023,21 May 2023,TO TRANSFER-UPI/679265699386/rohitsharm210@oksbi,679265699386,999.0,,622147.23
22 May 2023,22 May 2023,BY TRANSFER-INB IMPS311764933641/4274460030/XX7623/Remitly Tr-,MAC1674411233,,11200.0,633347.23
22 May 2023,22 May 2023,ATM WDL/9545/WHITEFIELD,487338500602,120.0,,633227.23
22 May 2023,22 May 2023,POS/6308/BPCL/MUMBAI,312497300326,5200.0,,628027.23
22 May 2023,22 May 2023,TO TRANSFER-UPI/504666096584/kiranreddy262@ybl,504666096584,850.0,,627177.23
22 May 2023,22 May 2023,TO CLEARING-CIT MEDPLUS 228093,826591483818,120.0,,627057.23
23 May 2023,23 May 2023,ATM WDL/2448/PUNE,683175938174,249.0,,626808.23
23 May 2023,23 May 2023,TO CLEARING-CIT JIO 693061,764606981675,2380.0,,624428.23
25 May 2023,25 May 2023,POS/2834/AIRTEL/HSR LAYOUT,248386883295,310.0,,624118.23
25 May 2023,25 May 2023,TO CLEARING-CIT PVR CINEMAS 625376,889721689196,49.0,,624069.23
27 May 2023,27 May 2023,TO CLEARING-CIT BOOKMYSHOW 476616,106774205999,449.0,,623620.23
28 May 2023,28 May 2023,POS/1658/BESCOM/KORAMANGALA,731853697595,310.0,,623310.23
29 May 2023,29 May 2023,POS/8094/APOLLO PHARMACY/MUMBAI,376834104063,1680.0,,621630.23
29 May 2023,29 May 2023,BY TRANSFER-INB IMPS867618853356/0296795810/XX7871/Remitly Tr-,MAC2120591323,,850.0,622480.23
29 May 2023,29 May 2023,NEFT-390936003832-SOUTHERN RETAILS-REIMB-051322-HDFC0727050,965141324834,,24000.0,646480.23
30 May 2023,30 May 2023,TO TRANSFER-UPI/644295401565/harishmeno165@oksbi,644295401565,49.0,,646431.23
1 Jun 2023,1 Jun 2023,BY TRANSFER-4081214490263 SALARY RAJENDRA PRA,497333849383,,78000.0,724431.23
2 Jun 2023,2 Jun 2023,BY TRANSFER-INB IMPS314602789951/4055390458/XX7174/Remitly Tr-,MAC8850161461,,1200.0,725631.23
2 Jun 2023,2 Jun 2023,TO CLEARING-CIT OLA 120530,738981497581,249.0,,725382.23
2 Jun 2023,2 Jun 2023,ATM WDL/2249/JAYANAGAR,420515483565,449.0,,724933.23
2 Jun 2023,2 Jun 2023,POS/8752/JIO/BANJARA HILLS,792381062623,7800.0,,717133.23
3 Jun 2023,3 Jun 2023,TO TRANSFER-UPI/304337772018/naveenkuma602@paytm,304337772018,1250.0,,715883.23
3 Jun 2023,3 Jun 2023,TO CLEARING-CIT DMART 044787,704735378170,3499.0,,712384.23
4 Jun 2023,4 Jun 2023,NEFT DR-HDFC0032380-ANJALI RAO-083860679802-RENT,583257498777,22000.0,,690384.23
4 Jun 2023,4 Jun 2023,TO TRANSFER-UPI/330660476506/kavyareddy794@okhdfcbank,330660476506,120.0,,690264.23
6 Jun 2023,6 Jun 2023,POS/7933/BESCOM/BTM LAYOUT,657690290038,79.0,,690185.23
6 Jun 2023,6 Jun 2023,TO TRANSFER-UPI/570964501217/santoshiye990@okaxis,570964501217,3499.0,,686686.23
7 Jun 2023,7 Jun 2023,ATM WDL/4185/INDIRANAGAR,074870222214,310.0,,686376.23
7 Jun 2023,7 Jun 2023,TO CLEARING-CIT ZOMATO 084473,874811992839,5200.0,,681176.23
9 Jun 2023,9 Jun 2023,TO TRANSFER-UPI/470923645946/santoshiye396@paytm,470923645946,310.0,,680866.23
10 Jun 2023,10 Jun 2023,TO CLEARING-CIT IOCL 187466,398545285839,7800.0,,673066.23
10 Jun 2023,10 Jun 2023,TO CLEARING-CIT HPCL 638633,618435134475,2380.0,,670686.23
10 Jun 2023,10 Jun 2023,TO CLEARING-CIT SWIGGY 359684,894889634995,5200.0,,665486.23
10 Jun 2023,10 Jun 2023,ATM WDL/8995/KORAMANGALA,551659870052,310.0,,665176.23
11 Jun 2023,11 Jun 2023,TO TRANSFER-UPI/321375998620/kavyareddy632@oksbi,321375998620,2380.0,,662796.23
12 Jun 2023,12 Jun 2023,TO CLEARING-CIT APOLLO PHARMACY 773139,730135881459,2380.0,,660416.23
12 Jun 2023,12 Jun 2023,TO CLEARING-CIT APOLLO PHARMACY 606722,044148060634,1250.0,,659166.23
13 Jun 2023,13 Jun 2023,BY TRANSFER-INB IMPS576261673951/7857968003/XX5231/Remitly Tr-,MAC1490367346,,500.0,659666.23
15 Jun 2023,15 Jun 2023,TO TRANSFER-UPI/127484908000/vinaypatil582@okhdfcbank,127484908000,2380.0,,657286.23
15 Jun 2023,15 Jun 2023,POS/9712/MEDPLUS/BTM LAYOUT,316153817446,5200.0,,652086.23
16 Jun 2023,16 Jun 2023,TO CLEARING-CIT SWIGGY 722560,578018104028,7800.0,,644286.23
18 Jun 2023,18 Jun 2023,TO TRANSFER-UPI/983650511883/sunilshett447@oksbi,983650511883,1250.0,,643036.23
18 Jun 2023,18 Jun 2023,BY TRANSFER-INB IMPS523638831385/6437727102/XX1655/Remitly Tr-,MAC7958354143,,850.0,643886.23
20 Jun 2023,20 Jun 2023,BY TRANSFER-INB IMPS551566361420/4182133000/XX8805/Remitly Tr-,MAC3015689443,,1200.0,645086.23
21 Jun 2023,21 Jun 2023,ATM WDL/4327/BANJARA HILLS,391931939507,310.0,,644776.23
22 Jun 2023,22 Jun 2023,TO CLEARING-CIT ZOMATO 306179,283415054459,999.0,,643777.23
25 Jun 2023,25 Jun 2023,CREDIT INTEREST CAPITALISED,760577540273,,71.09,643848.32
25 Jun 2023,25 Jun 2023,GST ON BANK CHARGES,812462328107,17.7,,643830.62
25 Jun 2023,25 Jun 2023,TO CLEARING-CIT IOCL 133264,657988575775,850.0,,642980.62
26 Jun 2023,26 Jun 2023,ATM WDL/7764/SECUNDERABAD,635438268090,2380.0,,640600.62
28 Jun 2023,28 Jun 2023,TO TRANSFER-UPI/407242563377/kavyareddy155@oksbi,407242563377,310.0,,640290.62
28 Jun 2023,28 Jun 2023,ATM WDL/3304/INDIRANAGAR,638308039795,850.0,,639440.62
1 Jul 2023,1 Jul 2023,BY TRANSFER-8943084168259 SALARY RAJENDRA PRA,916081101586,,78500.0,717940.62
1 Jul 2023,1 Jul 2023,TO CLEARING-CIT BPCL 340420,143259499785,249.0,,717691.62
2 Jul 2023,2 Jul 2023,TO TRANSFER-UPI/637242962837/naveenkuma275@ybl,637242962837,49.0,,717642.62
3 Jul 2023,3 Jul 2023,BY TRANSFER-INB IMPS465322580142/4272884667/XX2291/Remitly Tr-,MAC2268448417,,500.0,718142.62
3 Jul 2023,3 Jul 2023,ATM WDL/7897/HYDERABAD,290503263749,999.0,,717143.62
4 Jul 2023,4 Jul 2023,NEFT DR-HDFC0600365-SUNIL SHETTY-505943529921-RENT,333364378113,22000.0,,695143.62
5 Jul 2023,5 Jul 2023,ATM WDL/5051/HSR LAYOUT,746042548086,2380.0,,692763.62
5 Jul 2023,5 Jul 2023,BY TRANSFER-INB IMPS313996136709/5851596636/XX4404/Remitly Tr-,MAC0015257169,,7500.0,700263.62
6 Jul 2023,6 Jul 2023,POS/4295/AIRTEL/MANGALURU,172115199007,310.0,,699953.62
8 Jul 2023,8 Jul 2023,TO CLEARING-CIT IOCL 930864,013398866993,5200.0,,694753.62
8 Jul 2023,8 Jul 2023,ATM WDL/9148/HSR LAYOUT,746760470210,1680.0,,693073.62
8 Jul 2023,8 Jul 2023,NEFT-471617293701-SOUTHERN RETAILS-REIMB-051322-HDFC0897410,590421250976,,18500.0,711573.62
9 Jul 2023,9 Jul 2023,BY TRANSFER-INB IMPS944033499656/7287118528/XX6574/Remitly Tr-,MAC7804445695,,18500.0,730073.62
9 Jul 2023,9 Jul 2023,ATM WDL/6794/INDIRANAGAR,652365522740,1250.0,,728823.62
9 Jul 2023,9 Jul 2023,TO CLEARING-CIT RELIANCE FRESH 623033,000625748732,79.0,,728744.62
11 Jul 2023,11 Jul 2023,POS/9047/IOCL/BTM LAYOUT,202373302004,1680.0,,727064.62
12 Jul 2023,12 Jul 2023,ATM WDL/6935/MARATHAHALLI,410627630869,3499.0,,723565.62
13 Jul 2023,13 Jul 2023,TO TRANSFER-UPI/718227513079/meerapilla185@okhdfcbank,718227513079,7800.0,,715765.62
14 Jul 2023,14 Jul 2023,TO TRANSFER-UPI/199933063817/rohitsharm374@okhdfcbank,199933063817,3499.0,,712266.62
14 Jul 2023,14 Jul 2023,BY TRANSFER-INB IMPS536676186953/1109096629/XX3426/Remitly Tr-,MAC0584759217,,11200.0,723466.62
16 Jul 2023,16 Jul 2023,BY TRANSFER-INB IMPS183495711337/1967034363/XX7205/Remitly Tr-,MAC2644757151,,7500.0,730966.62
16 Jul 2023,16 Jul 2023,TO CLEARING-CIT APOLLO PHARMACY 821067,267040080151,310.0,,730656.62
17 Jul 2023,17 Jul 2023,TO CLEARING-CIT HPCL 413943,761450193687,3499.0,,727157.62
18 Jul 2023,18 Jul 2023,POS/0480/PVR CINEMAS/MARATHAHALLI,417922733735,120.0,,727037.62
