Date,Narration,Ref,Withdrawal,Deposit,Balance
07/08/2022,NEFT/7990288361/BABU LAL/KKBK0045457/94920745962796,TXN0254547,3499.00,,223723.51
07/08/2022,CHQ NO 373894 CLEARING,TXN0254548,5200.00,,218523.51
08/08/2022,NEFT/486263137257/ANITHA KRISHNAN/KKBK0045457/94578022016413,TXN0254549,3499.00,,215024.51
08/08/2022,UPI/CR/78079673/RAJENDRA PRASAD/KKBK0045457/rajendra994@ybl,TXN0254550,,850.00,215874.51
08/08/2022,UPI/DR/257940399999/SANTOSH KUMAR/KKBK0045457/santosh507@ybl,TXN0254551,699.00,,215175.51
08/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254552,,4800.00,219975.51
08/08/2022,NEFT/529427396582/SURESH NAIR/KKBK0045457/93848957052352,TXN0254553,449.00,,219526.51
09/08/2022,UPI/DR/460873739862/USHA RANI/KKBK0045457/usha628@paytm,TXN0254554,999.00,,218527.51
09/08/2022,UPI/DR/1248057014/GEETA DEVI/KKBK0045457/geeta405@ybl,TXN0254555,850.00,,217677.51
09/08/2022,ATM/WDL/615465823164/HDFC ATM KORAMANGALA,TXN0254556,49.00,,217628.51
09/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254557,,32000.00,249628.51
09/08/2022,CHQ NO 027558 CLEARING,TXN0254558,5200.00,,244428.51
09/08/2022,CHQ NO 063293 CLEARING,TXN0254559,999.00,,243429.51
09/08/2022,UPI/DR/78993626/ARUN SHARMA/KKBK0045457/arun62@oksbi,TXN0254560,1680.00,,241749.51
10/08/2022,UPI/DR/96227214/VENKAT RAO/KKBK0045457/venkat201@okaxis,TXN0254561,120.00,,241629.51
10/08/2022,NEFT/89618601/SUNITA DEVI/KKBK0045457/90500461537023,TXN0254562,49.00,,241580.51
10/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254563,,32000.00,273580.51
11/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254564,,32000.00,305580.51
11/08/2022,UPI/CR/310326737600/IMRAN KHAN/KKBK0045457/imran99@okaxis,TXN0254565,,11200.00,316780.51
11/08/2022,UPI/DR/5708434529/LATHA MURTHY/KKBK0045457/latha887@okaxis,TXN0254566,3499.00,,313281.51
11/08/2022,IMPS/P2P/06171933/PRIYA NAIR/8359712922,TXN0254567,,2500.00,315781.51
11/08/2022,UPI/DR/6254594479/RAMESH GOWDA/KKBK0045457/ramesh123@okaxis,TXN0254568,3499.00,,312282.51
11/08/2022,CHQ NO 112056 CLEARING,TXN0254569,249.00,,312033.51
11/08/2022,UPI/DR/4497127518/HARISH MENON/KKBK0045457/harish362@okhdfc,TXN0254570,5200.00,,306833.51
12/08/2022,UPI/CR/51201062/LATHA MURTHY/KKBK0045457/latha651@ybl,TXN0254571,,7600.00,314433.51
12/08/2022,UPI/DR/8342764979/MALLIKA DAS/KKBK0045457/mallika562@oksbi,TXN0254572,310.00,,314123.51
12/08/2022,ATM/WDL/69827056/SBI ATM JAYANAGAR BLR,TXN0254573,2380.00,,311743.51
13/08/2022,UPI/DR/983662137876/KIRAN REDDY/KKBK0045457/kiran176@okaxis,TXN0254574,1680.00,,310063.51
13/08/2022,UPI/DR/8019716419/GOPAL VERMA/KKBK0045457/gopal389@oksbi,TXN0254575,449.00,,309614.51
14/08/2022,NEFT/2401027083/KARTHIK MENON/KKBK0045457/38232597656979,TXN0254576,,850.00,310464.51
14/08/2022,UPI/DR/303618316562/KIRAN REDDY/KKBK0045457/kiran691@ybl,TXN0254577,999.00,,309465.51
14/08/2022,UPI/DR/042273235141/KARTHIK MENON/KKBK0045457/karthik938@paytm,TXN0254578,1250.00,,308215.51
14/08/2022,UPI/DR/6666259521/RAMESH PILLAI/KKBK0045457/ramesh703@okhdfc,TXN0254579,5200.00,,303015.51
14/08/2022,CHQ NO 472616 CLEARING,TXN0254580,1250.00,,301765.51
14/08/2022,NEFT/0336558212/SANTOSH KUMAR/KKBK0045457/16536778786269,TXN0254581,,4800.00,306565.51
14/08/2022,IMPS/P2P/33219955/SURESH BABU/7897500983,TXN0254582,,1200.00,307765.51
14/08/2022,UPI/CR/2393960658/KARTHIK MENON/KKBK0045457/karthik568@paytm,TXN0254583,,18500.00,326265.51
14/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254584,,32000.00,358265.51
15/08/2022,UPI/CR/57731704/GANESH KUMAR/KKBK0045457/ganesh444@paytm,TXN0254585,,4800.00,363065.51
15/08/2022,UPI/CR/434500245648/ROHIT SHARMA/KKBK0045457/rohit520@paytm,TXN0254586,,24000.00,387065.51
15/08/2022,NEFT/303986162656/ROHIT SHARMA/KKBK0045457/50306240230385,TXN0254587,,7600.00,394665.51
15/08/2022,UPI/DR/833056924320/NILESH KULKARNI/KKBK0045457/nilesh929@oksbi,TXN0254588,1680.00,,392985.51
16/08/2022,IMPS/P2P/28561351/RAMESH PILLAI/8895445431,TXN0254589,,11200.00,404185.51
16/08/2022,ATM/WDL/0421397072/CANARA ATM MYSURU,TXN0254590,999.00,,403186.51
16/08/2022,CHQ NO 275532 CLEARING,TXN0254591,2380.00,,400806.51
17/08/2022,UPI/DR/25727325/SURESH BABU/KKBK0045457/suresh639@ybl,TXN0254592,1250.00,,399556.51
17/08/2022,ATM/WDL/202753702230/HDFC ATM KORAMANGALA,TXN0254593,3499.00,,396057.51
17/08/2022,NEFT/751014135371/SUNIL YADAV/KKBK0045457/11881596475783,TXN0254594,3499.00,,392558.51
18/08/2022,UPI/DR/8223466949/CHANDAN SHARMA/KKBK0045457/chandan492@oksbi,TXN0254595,249.00,,392309.51
18/08/2022,UPI/DR/85782901/SUNIL YADAV/KKBK0045457/sunil727@oksbi,TXN0254596,999.00,,391310.51
18/08/2022,NEFT/97007907/ANITHA KRISHNAN/KKBK0045457/32997649982445,TXN0254597,,500.00,391810.51
19/08/2022,NEFT/373184599472/VINAY PATIL/KKBK0045457/79802646509730,TXN0254598,,24000.00,415810.51
19/08/2022,UPI/DR/691336735846/TARA SINGH/KKBK0045457/tara274@paytm,TXN0254599,2380.00,,413430.51
19/08/2022,IMPS/P2P/8654436440/AYESHA KHAN/7530070133,TXN0254600,,18500.00,431930.51
19/08/2022,CHQ NO 128273 CLEARING,TXN0254601,699.00,,431231.51
19/08/2022,NEFT/5300496417/RAVI KUMAR SHARMA/KKBK0045457/52086556355381,TXN0254602,310.00,,430921.51
19/08/2022,ATM/WDL/209657749405/CANARA ATM MYSURU,TXN0254603,1680.00,,429241.51
20/08/2022,CHQ NO 698426 CLEARING,TXN0254604,7800.00,,421441.51
20/08/2022,UPI/DR/8926239294/NADIA HUSSAIN/KKBK0045457/nadia826@okaxis,TXN0254605,3499.00,,417942.51
21/08/2022,IMPS/P2P/882187707593/ARUN SHARMA/9325327382,TXN0254606,,24000.00,441942.51
21/08/2022,ATM/WDL/132259329914/CANARA ATM MYSURU,TXN0254607,7800.00,,434142.51
21/08/2022,CHQ NO 597854 CLEARING,TXN0254608,5200.00,,428942.51
21/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254609,,32000.00,460942.51
21/08/2022,UPI/DR/529476856451/MALLIKA DAS/KKBK0045457/mallika606@okaxis,TXN0254610,5200.00,,455742.51
22/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254611,,24000.00,479742.51
22/08/2022,NEFT/4247948755/LATHA MURTHY/KKBK0045457/76327956303813,TXN0254612,310.00,,479432.51
22/08/2022,UPI/DR/6253980610/RANJIT SINGH/KKBK0045457/ranjit688@ybl,TXN0254613,699.00,,478733.51
22/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254614,,500.00,479233.51
22/08/2022,IMPS/P2P/4408957282/TARA SINGH/8419339939,TXN0254615,,7600.00,486833.51
22/08/2022,CHQ NO 973741 CLEARING,TXN0254616,699.00,,486134.51
22/08/2022,NEFT/977987412886/AYESHA KHAN/KKBK0045457/17120718598395,TXN0254617,,500.00,486634.51
22/08/2022,UPI/CR/491114278506/FATIMA SHEIKH/KKBK0045457/fatima261@paytm,TXN0254618,,4800.00,491434.51
23/08/2022,NEFT/117991362407/PADMA RAO/KKBK0045457/74414110170739,TXN0254619,,1200.00,492634.51
23/08/2022,UPI/DR/373650250225/SMITHA PILLAI/KKBK0045457/smitha54@paytm,TXN0254620,2380.00,,490254.51
23/08/2022,UPI/CR/7173814437/RAMESH GOWDA/KKBK0045457/ramesh118@okaxis,TXN0254621,,850.00,491104.51
23/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254622,,11200.00,502304.51
24/08/2022,NEFT/09369601/BINDHU NAIR/KKBK0045457/88942553799832,TXN0254623,449.00,,501855.51
24/08/2022,UPI/DR/59111627/KAVYA REDDY/KKBK0045457/kavya639@okaxis,TXN0254624,3499.00,,498356.51
24/08/2022,UPI/DR/371910033478/ARJUN MEHTA/KKBK0045457/arjun206@paytm,TXN0254625,79.00,,498277.51
24/08/2022,CHQ NO 208796 CLEARING,TXN0254626,850.00,,497427.51
24/08/2022,ATM/WDL/37137029/HDFC ATM KORAMANGALA,TXN0254627,850.00,,496577.51
24/08/2022,NEFT/931658367892/RANJIT SINGH/KKBK0045457/85844641290629,TXN0254628,,24000.00,520577.51
25/08/2022,UPI/DR/583949133883/POOJA SHARMA/KKBK0045457/pooja215@paytm,TXN0254629,1680.00,,518897.51
25/08/2022,NEFT/5562728327/SUSHMA RAO/KKBK0045457/64130451066361,TXN0254630,1680.00,,517217.51
25/08/2022,ATM/WDL/1503379628/CANARA ATM MYSURU,TXN0254631,310.00,,516907.51
25/08/2022,ATM/WDL/3460868604/HDFC ATM KORAMANGALA,TXN0254632,7800.00,,509107.51
26/08/2022,UPI/DR/9675606492/SURESH BABU/KKBK0045457/suresh905@okhdfc,TXN0254633,449.00,,508658.51
26/08/2022,UPI/DR/9434293977/PADMA RAO/KKBK0045457/padma909@ybl,TXN0254634,5200.00,,503458.51
26/08/2022,ATM/WDL/72719896/SBI ATM JAYANAGAR BLR,TXN0254635,249.00,,503209.51
27/08/2022,IMPS/P2P/5239775689/POOJA SHARMA/9485337856,TXN0254636,,1200.00,504409.51
27/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254637,,18500.00,522909.51
28/08/2022,ATM/WDL/30901508/SBI ATM JAYANAGAR BLR,TXN0254638,3499.00,,519410.51
28/08/2022,NEFT/3380799531/RAMESH PILLAI/KKBK0045457/62700934458553,TXN0254639,,500.00,519910.51
28/08/2022,CHQ NO 032255 CLEARING,TXN0254640,2380.00,,517530.51
28/08/2022,UPI/CR/740139614020/IMRAN KHAN/KKBK0045457/imran127@okhdfc,TXN0254641,,850.00,518380.51
28/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254642,,24000.00,542380.51
28/08/2022,NEFT/3311476627/MOHAMMED IRFAN/KKBK0045457/48685170579999,TXN0254643,699.00,,541681.51
28/08/2022,UPI/DR/61914316/ROHIT SHARMA/KKBK0045457/rohit724@ybl,TXN0254644,1250.00,,540431.51
28/08/2022,UPI/DR/2621592758/POOJA SHARMA/KKBK0045457/pooja667@ybl,TXN0254645,449.00,,539982.51
29/08/2022,UPI/DR/66286291/SANJANA HEGDE/KKBK0045457/sanjana136@oksbi,TXN0254646,1250.00,,538732.51
29/08/2022,UPI/DR/54166403/DEEPAK JOSHI/KKBK0045457/deepak935@okaxis,TXN0254647,120.00,,538612.51
29/08/2022,NEFT/5396973606/SUNITA DEVI/KKBK0045457/69998736820136,TXN0254648,449.00,,538163.51
29/08/2022,UPI/DR/961400456781/DIVYA MENON/KKBK0045457/divya174@paytm,TXN0254649,79.00,,538084.51
29/08/2022,NEFT/70765851/AYESHA KHAN/KKBK0045457/69403391340273,TXN0254650,,32000.00,570084.51
29/08/2022,UPI/DR/386010411217/LALITHA DEVI/KKBK0045457/lalitha18@okaxis,TXN0254651,5200.00,,564884.51
29/08/2022,UPI/DR/6771958855/MEERA PILLAI/KKBK0045457/meera775@okhdfc,TXN0254652,3499.00,,561385.51
30/08/2022,CHQ NO 027770 CLEARING,TXN0254653,5200.00,,556185.51
30/08/2022,NEFT/49329474/SMITHA PILLAI/KKBK0045457/39782309072203,TXN0254654,,500.00,556685.51
30/08/2022,UPI/DR/10981965/GOPAL VERMA/KKBK0045457/gopal253@okhdfc,TXN0254655,249.00,,556436.51
30/08/2022,UPI/DR/10741573/BINDHU NAIR/KKBK0045457/bindhu886@paytm,TXN0254656,120.00,,556316.51
30/08/2022,NEFT/5258157304/LALITHA DEVI/KKBK0045457/99549741309819,TXN0254657,699.00,,555617.51
30/08/2022,NEFT/5791894284/REKHA PILLAI/KKBK0045457/17538881884095,TXN0254658,,500.00,556117.51
31/08/2022,UPI/DR/37129436/RESHMA KHAN/KKBK0045457/reshma672@paytm,TXN0254659,120.00,,555997.51
31/08/2022,IMPS/P2P/08772691/RAMESH GOWDA/7987725370,TXN0254660,,11200.00,567197.51
31/08/2022,UPI/DR/13225997/NIKHIL GUPTA/KKBK0045457/nikhil31@ybl,TXN0254661,449.00,,566748.51
31/08/2022,NEFT/03082553/POOJA SHARMA/KKBK0045457/30597303525585,TXN0254662,,11200.00,577948.51
01/09/2022,UPI/DR/700113851779/SUSHMA RAO/KKBK0045457/sushma379@oksbi,TXN0254663,3499.00,,574449.51
01/09/2022,IMPS/P2P/1738457598/ARUN SHARMA/9823268632,TXN0254664,,2500.00,576949.51
01/09/2022,NEFT/7452473237/IMRAN KHAN/KKBK0045457/94137143342208,TXN0254665,,18500.00,595449.51
01/09/2022,UPI/CR/68414600/RAMESH GOWDA/KKBK0045457/ramesh690@paytm,TXN0254666,,850.00,596299.51
01/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254667,,500.00,596799.51
02/09/2022,UPI/DR/127219146230/RAMESH GOWDA/KKBK0045457/ramesh177@paytm,TXN0254668,699.00,,596100.51
02/09/2022,UPI/DR/391038608300/PRIYA NAIR/KKBK0045457/priya36@paytm,TXN0254669,1680.00,,594420.51
02/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254670,,24000.00,618420.51
03/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254671,,2500.00,620920.51
03/09/2022,IMPS/P2P/2872167313/RESHMA KHAN/9276615208,TXN0254672,,32000.00,652920.51
03/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254673,,18500.00,671420.51
03/09/2022,NEFT/411228708106/KIRAN REDDY/KKBK0045457/03195870854386,TXN0254674,999.00,,670421.51
04/09/2022,NEFT/0750188580/ARUN SHARMA/KKBK0045457/23247713915634,TXN0254675,3499.00,,666922.51
04/09/2022,UPI/CR/6392435024/KAVERI MENON/KKBK0045457/kaveri405@ybl,TXN0254676,,11200.00,678122.51
05/09/2022,NEFT/8616312737/SANTOSH KUMAR/KKBK0045457/88910511682999,TXN0254677,2380.00,,675742.51
05/09/2022,UPI/DR/284679732405/VINAY PATIL/KKBK0045457/vinay393@paytm,TXN0254678,310.00,,675432.51
05/09/2022,UPI/CR/79511200/SURESH BABU/KKBK0045457/suresh550@okaxis,TXN0254679,,18500.00,693932.51
05/09/2022,UPI/CR/7467416337/NAVEEN KUMAR/KKBK0045457/naveen599@okhdfc,TXN0254680,,500.00,694432.51
06/09/2022,CHQ NO 911381 CLEARING,TXN0254681,249.00,,694183.51
06/09/2022,ATM/WDL/74124720/CANARA ATM MYSURU,TXN0254682,7800.00,,686383.51
06/09/2022,ATM/WDL/57466487/CANARA ATM MYSURU,TXN0254683,699.00,,685684.51
06/09/2022,UPI/DR/759975038592/MOHAMMED IRFAN/KKBK0045457/mohammed190@okhdfc,TXN0254684,3499.00,,682185.51
06/09/2022,NEFT/87516327/NAVEEN KUMAR/KKBK0045457/61911530368687,TXN0254685,850.00,,681335.51
06/09/2022,NEFT/313757922717/ADITYA KUMAR/KKBK0045457/72085987319873,TXN0254686,,4800.00,686135.51
07/09/2022,UPI/DR/7696599597/RAJESH VERMA/KKBK0045457/rajesh334@ybl,TXN0254687,5200.00,,680935.51
07/09/2022,ATM/WDL/038536914077/CANARA ATM MYSURU,TXN0254688,1680.00,,679255.51
07/09/2022,UPI/DR/88781240/ARUN SHARMA/KKBK0045457/arun560@oksbi,TXN0254689,120.00,,679135.51
07/09/2022,NEFT/063827050640/SURESH NAIR/KKBK0045457/29441853471777,TXN0254690,,2500.00,681635.51
07/09/2022,UPI/DR/115733086570/HARISH MENON/KKBK0045457/harish99@okhdfc,TXN0254691,2380.00,,679255.51
07/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254692,,18500.00,697755.51
07/09/2022,UPI/DR/60585207/MEENA IYER/KKBK0045457/meena793@okaxis,TXN0254693,249.00,,697506.51
07/09/2022,ATM/WDL/4782387184/CANARA ATM MYSURU,TXN0254694,5200.00,,692306.51
07/09/2022,UPI/DR/97596687/LALITHA DEVI/KKBK0045457/lalitha772@paytm,TXN0254695,310.00,,691996.51
07/09/2022,ATM/WDL/211329879890/HDFC ATM KORAMANGALA,TXN0254696,449.00,,691547.51
07/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254697,,7600.00,699147.51
07/09/2022,UPI/DR/33111942/VIKRAM NAIR/KKBK0045457/vikram767@okaxis,TXN0254698,49.00,,699098.51
08/09/2022,NEFT/200323995528/DIVYA MENON/KKBK0045457/21894076989810,TXN0254699,,2500.00,701598.51
08/09/2022,UPI/CR/53613179/PADMA RAO/KKBK0045457/padma168@okaxis,TXN0254700,,18500.00,720098.51
08/09/2022,UPI/DR/701378731177/RAJENDRA PRASAD/KKBK0045457/rajendra724@okhdfc,TXN0254701,1250.00,,718848.51
08/09/2022,IMPS/P2P/5505682614/VINAY PATIL/8389339224,TXN0254702,,11200.00,730048.51
09/09/2022,UPI/DR/4446316967/TARA SINGH/KKBK0045457/tara411@okaxis,TXN0254703,1680.00,,728368.51
09/09/2022,IMPS/P2P/25500696/TARA SINGH/8285675344,TXN0254704,,500.00,728868.51
09/09/2022,UPI/DR/387755761114/RAMESH PILLAI/KKBK0045457/ramesh479@paytm,TXN0254705,999.00,,727869.51
10/09/2022,NEFT/36801540/CHANDAN SHARMA/KKBK0045457/90161775782232,TXN0254706,,24000.00,751869.51
10/09/2022,UPI/DR/677351796961/PREETHI IYER/KKBK0045457/preethi484@oksbi,TXN0254707,249.00,,751620.51
10/09/2022,NEFT/73936770/TANVI RAO/KKBK0045457/99142722037351,TXN0254708,2380.00,,749240.51
10/09/2022,UPI/CR/2043919938/GEETA DEVI/KKBK0045457/geeta687@ybl,TXN0254709,,1200.00,750440.51
10/09/2022,UPI/DR/0672832105/BINDHU NAIR/KKBK0045457/bindhu885@okaxis,TXN0254710,49.00,,750391.51
11/09/2022,IMPS/P2P/5613311262/VINAY PATIL/8414773936,TXN0254711,,2500.00,752891.51
11/09/2022,UPI/CR/502788914716/DIVYA MENON/KKBK0045457/divya95@paytm,TXN0254712,,24000.00,776891.51
11/09/2022,ATM/WDL/119788205190/SBI ATM JAYANAGAR BLR,TXN0254713,249.00,,776642.51
12/09/2022,NEFT/861176149777/KARTHIK MENON/KKBK0045457/18832546450454,TXN0254714,,4800.00,781442.51
12/09/2022,UPI/DR/82074981/PRIYA NAIR/KKBK0045457/priya36@ybl,TXN0254715,7800.00,,773642.51
12/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254716,,32000.00,805642.51
13/09/2022,NEFT/27276789/IMRAN KHAN/KKBK0045457/95600732578214,TXN0254717,3499.00,,802143.51
13/09/2022,UPI/DR/202920108461/VINAY PATIL/KKBK0045457/vinay892@okhdfc,TXN0254718,120.00,,802023.51
13/09/2022,NEFT/83461460/SHAHID KHAN/KKBK0045457/91103218612272,TXN0254719,5200.00,,796823.51
14/09/2022,UPI/DR/819585095701/RAVI KUMAR SHARMA/KKBK0045457/ravi74@ybl,TXN0254720,1250.00,,795573.51
14/09/2022,UPI/DR/8656459954/SANTOSH KUMAR/KKBK0045457/santosh944@ybl,TXN0254721,699.00,,794874.51
15/09/2022,UPI/DR/8956565274/PADMA RAO/KKBK0045457/padma112@okaxis,TXN0254722,699.00,,794175.51
15/09/2022,NEFT/261104655823/MEERA PILLAI/KKBK0045457/93139941976306,TXN0254723,310.00,,793865.51
15/09/2022,NEFT/99480558/ANAND KUMAR/KKBK0045457/69746782861654,TXN0254724,,850.00,794715.51
15/09/2022,IMPS/P2P/25970932/ROHIT SHARMA/8524133560,TXN0254725,,4800.00,799515.51
15/09/2022,NEFT/015582993681/MALLIKA DAS/KKBK0045457/42031958118939,TXN0254726,,4800.00,804315.51
15/09/2022,UPI/DR/106136194367/SURESH NAIR/KKBK0045457/suresh524@okhdfc,TXN0254727,999.00,,803316.51
16/09/2022,NEFT/670946936634/PREETHI IYER,TXN0254728,2500.00,,800816.51
16/09/2022,ATM/WDL/70251827/HDFC ATM KORAMANGALA,TXN0254729,2380.00,,798436.51
16/09/2022,UPI/DR/1545464451/LAKSHMI VENKAT/KKBK0045457/lakshmi674@okaxis,TXN0254730,49.00,,798387.51
16/09/2022,UPI/DR/19045495/SUNIL YADAV/KKBK0045457/sunil274@okaxis,TXN0254731,1250.00,,797137.51
16/09/2022,UPI/CR/977087665123/RESHMA KHAN/KKBK0045457/reshma876@okaxis,TXN0254732,,4800.00,801937.51
16/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254733,,18500.00,820437.51
16/09/2022,NEFT/414883390929/RAMESH GOWDA/KKBK0045457/34439341398546,TXN0254734,5200.00,,815237.51
17/09/2022,IMPS/P2P/98892282/SUSHMA RAO/9843371272,TXN0254735,,18500.00,833737.51
17/09/2022,NEFT/524237863331/RAMESH GOWDA/KKBK0045457/23932692381220,TXN0254736,249.00,,833488.51
17/09/2022,CHQ NO 968943 CLEARING,TXN0254737,2380.00,,831108.51
17/09/2022,NEFT/2366195858/NILESH KULKARNI/KKBK0045457/26391706547891,TXN0254738,,1200.00,832308.51
18/09/2022,CHQ NO 352750 CLEARING,TXN0254739,1680.00,,830628.51
18/09/2022,NEFT/73459537/SUSHMA RAO/KKBK0045457/51683757979123,TXN0254740,310.00,,830318.51
19/09/2022,UPI/CR/591517093265/NAVEEN KUMAR/KKBK0045457/naveen183@okhdfc,TXN0254741,,7600.00,837918.51
19/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254742,,18500.00,856418.51
19/09/2022,ATM/WDL/934166029983/SBI ATM JAYANAGAR BLR,TXN0254743,1250.00,,855168.51
19/09/2022,REVERSAL-NEFT/PENDING_REV_82462047,TXN0254744,,2500.00,857668.51
19/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254745,,7600.00,865268.51
19/09/2022,IMPS/P2P/27663883/MALLIKA DAS/8693831511,TXN0254746,,4800.00,870068.51
19/09/2022,NEFT/8555547007/KIRAN REDDY/KKBK0045457/49402581006488,TXN0254747,7800.00,,862268.51
