Txn Date,Value Date,Description,Debit Amount,Credit Amount,Balance
10/08/2022,10/08/2022,UPI/DR/66966146/AYESHA KHAN/ICIC0272108/ayesha989@paytm,120.00,,139244.89
10/08/2022,10/08/2022,CHQ NO 330212 CLEARING,3499.00,,135745.89
10/08/2022,10/08/2022,NEFT/15825253/SUNIL YADAV/ICIC0272108/51587643383802,310.00,,135435.89
10/08/2022,10/08/2022,UPI/CR/21338570/SAVITHA DEVI/ICIC0272108/savitha986@oksbi,,11200.00,146635.89
11/08/2022,11/08/2022,CHQ NO 691269 CLEARING,7800.00,,138835.89
11/08/2022,11/08/2022,NEFT/82433150/MOHAMMED IRFAN/ICIC0272108/76112871899886,,2500.00,141335.89
11/08/2022,11/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,146135.89
12/08/2022,12/08/2022,IMPS/P2P/761592001024/FARHAN KHAN/8127563724,,11200.00,157335.89
12/08/2022,12/08/2022,UPI/CR/835016309868/GANESH KUMAR/ICIC0272108/ganesh455@ybl,,11200.00,168535.89
13/08/2022,13/08/2022,UPI/CR/128085674822/ARCHANA PILLAI/ICIC0272108/archana266@okhdfc,,1200.00,169735.89
13/08/2022,13/08/2022,UPI/CR/4654264339/USHA RANI/ICIC0272108/usha604@okhdfc,,1200.00,170935.89
13/08/2022,14/08/2022,ATM/WDL/826499981981/HDFC ATM KORAMANGALA,999.00,,169936.89
14/08/2022,14/08/2022,CHQ NO 373431 CLEARING,310.00,,169626.89
15/08/2022,15/08/2022,CHQ NO 339692 CLEARING,3499.00,,166127.89
16/08/2022,16/08/2022,UPI/CR/1500059384/VENKAT RAO/ICIC0272108/venkat542@okaxis,,850.00,166977.89
16/08/2022,17/08/2022,IMPS/P2P/85403015/SHAHID KHAN/8340867651,,11200.00,178177.89
16/08/2022,16/08/2022,UPI/DR/2867475087/ADITYA KUMAR/ICIC0272108/aditya38@oksbi,5200.00,,172977.89
17/08/2022,18/08/2022,UPI/DR/02261764/ANAND KUMAR/ICIC0272108/anand345@okaxis,249.00,,172728.89
17/08/2022,17/08/2022,UPI/DR/8675531069/RAHUL SINGH/ICIC0272108/rahul702@okaxis,249.00,,172479.89
17/08/2022,18/08/2022,CHQ NO 264939 CLEARING,1680.00,,170799.89
17/08/2022,17/08/2022,UPI/DR/48271023/KIRAN REDDY/ICIC0272108/kiran957@oksbi,1680.00,,169119.89
17/08/2022,18/08/2022,CHQ NO 569018 CLEARING,449.00,,168670.89
17/08/2022,17/08/2022,NEFT/082907141211/GANESH KUMAR/ICIC0272108/35298640484742,999.00,,167671.89
17/08/2022,17/08/2022,UPI/CR/97912485/RANJIT SINGH/ICIC0272108/ranjit750@ybl,,850.00,168521.89
17/08/2022,18/08/2022,ATM/WDL/54216702/SBI ATM JAYANAGAR BLR,1250.00,,167271.89
18/08/2022,18/08/2022,UPI/DR/5203490872/SAVITHA DEVI/ICIC0272108/savitha613@paytm,49.00,,167222.89
18/08/2022,18/08/2022,IMPS/P2P/757317768604/CHANDAN SHARMA/8208067579,,500.00,167722.89
19/08/2022,19/08/2022,UPI/DR/8720345292/GOPAL VERMA/ICIC0272108/gopal118@okhdfc,3499.00,,164223.89
19/08/2022,19/08/2022,NEFT/8083938873/ADITYA KUMAR/ICIC0272108/83168759791726,3499.00,,160724.89
20/08/2022,20/08/2022,NEFT/989773914446/GANESH KUMAR/ICIC0272108/76889795201031,310.00,,160414.89
20/08/2022,20/08/2022,IMPS/P2P/499521335150/MEERA PILLAI/9690160810,,18500.00,178914.89
20/08/2022,20/08/2022,IMPS/P2P/538996392964/PADMA RAO/7364549872,,2500.00,181414.89
21/08/2022,21/08/2022,UPI/DR/56781666/HARISH MENON/ICIC0272108/harish355@ybl,1680.00,,179734.89
21/08/2022,21/08/2022,UPI/DR/092662805274/ANAND KUMAR/ICIC0272108/anand756@okaxis,49.00,,179685.89
21/08/2022,21/08/2022,UPI/DR/8399385375/ADITYA KUMAR/ICIC0272108/aditya994@paytm,3499.00,,176186.89
22/08/2022,22/08/2022,IMPS/P2P/4039433422/KARTHIK MENON/8541312901,,500.00,176686.89
24/08/2022,24/08/2022,UPI/DR/947189389796/MOHAN DAS/ICIC0272108/mohan208@oksbi,310.00,,176376.89
24/08/2022,24/08/2022,UPI/DR/5882864394/REKHA PILLAI/ICIC0272108/rekha196@okaxis,7800.00,,168576.89
24/08/2022,24/08/2022,NEFT/32992293/IMRAN KHAN/ICIC0272108/09551970642092,999.00,,167577.89
24/08/2022,25/08/2022,ATM/WDL/37947816/CANARA ATM MYSURU,1250.00,,166327.89
24/08/2022,24/08/2022,UPI/DR/57930720/DEEPA NAIR/ICIC0272108/deepa108@okhdfc,7800.00,,158527.89
25/08/2022,26/08/2022,ATM/WDL/510078778701/HDFC ATM KORAMANGALA,249.00,,158278.89
26/08/2022,26/08/2022,NEFT/799460920489/REKHA PILLAI/ICIC0272108/08491248094581,,32000.00,190278.89
26/08/2022,26/08/2022,NEFT/4932787204/ANITHA KRISHNAN/ICIC0272108/48873569256789,1250.00,,189028.89
26/08/2022,26/08/2022,CHQ NO 895343 CLEARING,249.00,,188779.89
27/08/2022,27/08/2022,UPI/CR/9347528407/ARUN SHARMA/ICIC0272108/arun266@okaxis,,2500.00,191279.89
27/08/2022,28/08/2022,NEFT/76129560/SANJANA HEGDE/ICIC0272108/87543451204482,699.00,,190580.89
28/08/2022,28/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,191080.89
28/08/2022,28/08/2022,IMPS/P2P/235355437779/NIKHIL GUPTA/9077048773,,500.00,191580.89
28/08/2022,29/08/2022,UPI/DR/8187402666/SANTOSH KUMAR/ICIC0272108/santosh993@ybl,120.00,,191460.89
28/08/2022,28/08/2022,CHQ NO 177976 CLEARING,7800.00,,183660.89
28/08/2022,28/08/2022,UPI/DR/203116501074/ARCHANA PILLAI/ICIC0272108/archana476@okaxis,699.00,,182961.89
29/08/2022,29/08/2022,UPI/DR/32085637/SURESH BABU/ICIC0272108/suresh212@okaxis,699.00,,182262.89
30/08/2022,30/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,200762.89
30/08/2022,31/08/2022,NEFT/93469958/ARCHANA PILLAI/ICIC0272108/77994748616029,310.00,,200452.89
30/08/2022,30/08/2022,UPI/DR/481651619548/RAHUL SINGH/ICIC0272108/rahul863@okaxis,3499.00,,196953.89
30/08/2022,30/08/2022,NEFT/71142739/RAVI KUMAR SHARMA/ICIC0272108/14806584656348,49.00,,196904.89
30/08/2022,30/08/2022,UPI/DR/07716983/TANVI RAO/ICIC0272108/tanvi151@paytm,49.00,,196855.89
31/08/2022,31/08/2022,UPI/DR/25197860/VINAY PATIL/ICIC0272108/vinay373@oksbi,5200.00,,191655.89
31/08/2022,01/09/2022,UPI/CR/037833684328/RAHUL SINGH/ICIC0272108/rahul839@okaxis,,24000.00,215655.89
31/08/2022,31/08/2022,UPI/DR/005073723136/KAVITHA RAO/ICIC0272108/kavitha584@okaxis,5200.00,,210455.89
31/08/2022,31/08/2022,UPI/DR/7012428696/KAVERI MENON/ICIC0272108/kaveri731@oksbi,3499.00,,206956.89
31/08/2022,31/08/2022,UPI/DR/34710964/BABU LAL/ICIC0272108/babu651@okhdfc,7800.00,,199156.89
31/08/2022,01/09/2022,NEFT/417268039507/SURESH BABU/ICIC0272108/57057087387076,699.00,,198457.89
01/09/2022,02/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,203257.89
01/09/2022,01/09/2022,NEFT/161604995364/MEENA IYER/ICIC0272108/91181228897735,,1200.00,204457.89
01/09/2022,02/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,222957.89
01/09/2022,01/09/2022,UPI/CR/384848446037/PRAKASH RAO/ICIC0272108/prakash338@okaxis,,11200.00,234157.89
01/09/2022,01/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,252657.89
02/09/2022,02/09/2022,ATM/WDL/359932415909/SBI ATM JAYANAGAR BLR,449.00,,252208.89
02/09/2022,02/09/2022,IMPS/P2P/06927407/KAVYA REDDY/7696463092,,4800.00,257008.89
02/09/2022,02/09/2022,UPI/CR/693455532101/VENKAT RAO/ICIC0272108/venkat870@okaxis,,32000.00,289008.89
02/09/2022,02/09/2022,UPI/CR/6388442582/FATIMA SHEIKH/ICIC0272108/fatima524@paytm,,1200.00,290208.89
03/09/2022,03/09/2022,NEFT/368508853526/CHANDAN SHARMA/ICIC0272108/59749197577981,,24000.00,314208.89
04/09/2022,04/09/2022,CHQ NO 486921 CLEARING,5200.00,,309008.89
05/09/2022,06/09/2022,NEFT/559825568292/SURESH NAIR/ICIC0272108/68088969722213,,2500.00,311508.89
06/09/2022,06/09/2022,UPI/CR/7396130816/GEETA DEVI/ICIC0272108/geeta226@ybl,,32000.00,343508.89
06/09/2022,06/09/2022,IMPS/P2P/666865491085/RAVI KUMAR SHARMA/8459248633,,24000.00,367508.89
06/09/2022,07/09/2022,NEFT/2491731556/FATIMA SHEIKH/ICIC0272108/22792254662913,,24000.00,391508.89
07/09/2022,08/09/2022,UPI/DR/74986448/SANJANA HEGDE/ICIC0272108/sanjana187@ybl,7800.00,,383708.89
07/09/2022,08/09/2022,UPI/CR/08169222/RAMESH PILLAI/ICIC0272108/ramesh603@ybl,,1200.00,384908.89
07/09/2022,07/09/2022,NEFT/31586320/ANAND KUMAR/ICIC0272108/62600696433391,,850.00,385758.89
07/09/2022,07/09/2022,UPI/CR/548741994687/VIKRAM NAIR/ICIC0272108/vikram408@oksbi,,32000.00,417758.89
07/09/2022,07/09/2022,CHQ NO 749546 CLEARING,49.00,,417709.89
07/09/2022,07/09/2022,IMPS/P2P/19519295/TARA SINGH/7422247240,,18500.00,436209.89
08/09/2022,08/09/2022,UPI/CR/371967385700/ROHIT SHARMA/ICIC0272108/rohit347@okaxis,,2500.00,438709.89
09/09/2022,09/09/2022,UPI/DR/53100031/GOPAL VERMA/ICIC0272108/gopal618@ybl,49.00,,438660.89
09/09/2022,09/09/2022,ATM/WDL/35821417/CANARA ATM MYSURU,79.00,,438581.89
09/09/2022,09/09/2022,NEFT/30107543/NILESH KULKARNI/ICIC0272108/86460297783033,249.00,,438332.89
10/09/2022,11/09/2022,IMPS/P2P/50995983/SUNIL YADAV/8459645494,,32000.00,470332.89
10/09/2022,11/09/2022,UPI/CR/54922615/LALITHA DEVI/ICIC0272108/lalitha176@okaxis,,4800.00,475132.89
10/09/2022,10/09/2022,IMPS/P2P/546455721617/RESHMA KHAN/9067660270,,32000.00,507132.89
11/09/2022,11/09/2022,UPI/DR/47095272/RAJENDRA PRASAD/ICIC0272108/rajendra212@okaxis,5200.00,,501932.89
11/09/2022,11/09/2022,ATM/WDL/7208495949/HDFC ATM KORAMANGALA,1680.00,,500252.89
11/09/2022,11/09/2022,IMPS/P2P/541489291191/PRAKASH RAO/8958472252,,18500.00,518752.89
11/09/2022,11/09/2022,CHQ NO 127651 CLEARING,7800.00,,510952.89
11/09/2022,11/09/2022,IMPS/P2P/056822204965/SANTOSH KUMAR/9669574159,,7600.00,518552.89
11/09/2022,11/09/2022,UPI/DR/121176845413/RAHUL SINGH/ICIC0272108/rahul318@okaxis,850.00,,517702.89
11/09/2022,11/09/2022,UPI/DR/600641827771/FATIMA SHEIKH/ICIC0272108/fatima230@okaxis,310.00,,517392.89
12/09/2022,12/09/2022,UPI/DR/810878984733/POOJA SHARMA/ICIC0272108/pooja201@paytm,699.00,,516693.89
12/09/2022,12/09/2022,UPI/DR/60425817/DIVYA MENON/ICIC0272108/divya634@okhdfc,7800.00,,508893.89
12/09/2022,12/09/2022,UPI/DR/955514804381/PRAKASH RAO/ICIC0272108/prakash602@okhdfc,5200.00,,503693.89
13/09/2022,14/09/2022,CHQ NO 426412 CLEARING,699.00,,502994.89
13/09/2022,14/09/2022,NEFT/401803763057/RAHUL SINGH/ICIC0272108/61052754871555,,11200.00,514194.89
13/09/2022,13/09/2022,IMPS/P2P/576040608843/ANITHA KRISHNAN/8234320617,,2500.00,516694.89
14/09/2022,14/09/2022,NEFT/20699845/ANAND KUMAR/ICIC0272108/10218527114387,,7600.00,524294.89
14/09/2022,15/09/2022,UPI/DR/344479907082/PREETHI IYER/ICIC0272108/preethi417@oksbi,449.00,,523845.89
15/09/2022,15/09/2022,NEFT/05338497/USHA RANI/ICIC0272108/99880315466523,999.00,,522846.89
16/09/2022,16/09/2022,UPI/DR/100361442358/RESHMA KHAN/ICIC0272108/reshma207@okhdfc,7800.00,,515046.89
16/09/2022,17/09/2022,UPI/DR/8174935958/RAVI KUMAR SHARMA/ICIC0272108/ravi444@paytm,2380.00,,512666.89
16/09/2022,16/09/2022,UPI/DR/4449576463/FARHAN KHAN/ICIC0272108/farhan897@paytm,449.00,,512217.89
16/09/2022,16/09/2022,IMPS/P2P/8977799273/SANTOSH KUMAR/7207305433,,18500.00,530717.89
16/09/2022,16/09/2022,IMPS/P2P/2721351900/DEEPAK JOSHI/8577695092,,24000.00,554717.89
16/09/2022,16/09/2022,UPI/DR/15228967/SNEHA PATIL/ICIC0272108/sneha715@okaxis,5200.00,,549517.89
17/09/2022,17/09/2022,CHQ NO 177101 CLEARING,449.00,,549068.89
17/09/2022,17/09/2022,CHQ NO 984916 CLEARING,850.00,,548218.89
18/09/2022,18/09/2022,NEFT/92279336/KAVYA REDDY/ICIC0272108/42029301210399,1680.00,,546538.89
18/09/2022,18/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,547038.89
18/09/2022,18/09/2022,UPI/DR/5656465437/FARHAN KHAN/ICIC0272108/farhan35@ybl,5200.00,,541838.89
18/09/2022,18/09/2022,NEFT/228011682879/RAMESH PILLAI/ICIC0272108/26864356813845,249.00,,541589.89
19/09/2022,19/09/2022,UPI/CR/415692261472/RAHUL SINGH/ICIC0272108/rahul980@okhdfc,,4800.00,546389.89
19/09/2022,19/09/2022,ATM/WDL/32412708/SBI ATM JAYANAGAR BLR,3499.00,,542890.89
19/09/2022,20/09/2022,UPI/DR/790162348212/NIKHIL GUPTA/ICIC0272108/nikhil287@ybl,1680.00,,541210.89
19/09/2022,20/09/2022,CHQ NO 529901 CLEARING,310.00,,540900.89
19/09/2022,19/09/2022,UPI/DR/649944341887/LAKSHMI VENKAT/ICIC0272108/lakshmi801@oksbi,2380.00,,538520.89
19/09/2022,19/09/2022,NEFT/20345694/SNEHA PATIL/ICIC0272108/20243891179365,,11200.00,549720.89
19/09/2022,19/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,573720.89
20/09/2022,20/09/2022,UPI/DR/068392493954/HARISH MENON/ICIC0272108/harish559@oksbi,1680.00,,572040.89
20/09/2022,20/09/2022,ATM/WDL/2655933919/CANARA ATM MYSURU,7800.00,,564240.89
20/09/2022,20/09/2022,UPI/CR/0406087391/GANESH KUMAR/ICIC0272108/ganesh508@oksbi,,850.00,565090.89
20/09/2022,20/09/2022,NEFT/24458851/DIVYA MENON/ICIC0272108/90729174628646,,850.00,565940.89
21/09/2022,21/09/2022,ATM/WDL/191414512295/CANARA ATM MYSURU,2380.00,,563560.89
21/09/2022,21/09/2022,ATM/WDL/5776558387/HDFC ATM KORAMANGALA,249.00,,563311.89
21/09/2022,22/09/2022,NEFT/28321533/LATHA MURTHY/ICIC0272108/33817999395873,,4800.00,568111.89
22/09/2022,23/09/2022,CHQ NO 319415 CLEARING,3499.00,,564612.89
22/09/2022,22/09/2022,UPI/DR/7639185809/VIKRAM NAIR/ICIC0272108/vikram404@paytm,5200.00,,559412.89
23/09/2022,24/09/2022,CHQ NO 723309 CLEARING,3499.00,,555913.89
23/09/2022,23/09/2022,NEFT/854480213754/ANITHA KRISHNAN/ICIC0272108/19499829625960,,18500.00,574413.89
23/09/2022,23/09/2022,CHQ NO 836446 CLEARING,999.00,,573414.89
24/09/2022,24/09/2022,ATM/WDL/156831695194/CANARA ATM MYSURU,120.00,,573294.89
24/09/2022,25/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,578094.89
24/09/2022,24/09/2022,CHQ NO 760935 CLEARING,310.00,,577784.89
24/09/2022,24/09/2022,IMPS/P2P/0136098958/KAVITHA RAO/8617045602,,4800.00,582584.89
25/09/2022,25/09/2022,NEFT/16903949/RAVI KUMAR SHARMA/ICIC0272108/32295823909202,449.00,,582135.89
25/09/2022,25/09/2022,IMPS/P2P/4670294667/KAVITHA RAO/9864399149,,24000.00,606135.89
25/09/2022,25/09/2022,UPI/DR/577333274464/SHAHID KHAN/ICIC0272108/shahid865@oksbi,999.00,,605136.89
25/09/2022,25/09/2022,UPI/DR/3436154677/RAJENDRA PRASAD/ICIC0272108/rajendra127@paytm,699.00,,604437.89
25/09/2022,25/09/2022,NEFT/722771678681/PREETHI IYER/ICIC0272108/69999491926528,249.00,,604188.89
26/09/2022,26/09/2022,UPI/DR/354520900329/FAILED/TimeOut/Deepak Joshi,500.00,,604188.89
26/09/2022,27/09/2022,NEFT/23300484/SANJANA HEGDE/ICIC0272108/22177657874360,310.00,,603878.89
26/09/2022,26/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,606378.89
27/09/2022,27/09/2022,UPI/CR/228348769315/RESHMA KHAN/ICIC0272108/reshma813@ybl,,1200.00,607578.89
27/09/2022,28/09/2022,NEFT/6131155392/ARJUN MEHTA/ICIC0272108/38437368795370,49.00,,607529.89
28/09/2022,29/09/2022,CHQ NO 351655 CLEARING,120.00,,607409.89
28/09/2022,28/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,639409.89
28/09/2022,29/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,671409.89
29/09/2022,29/09/2022,UPI/DR/248941545048/KAVERI MENON/ICIC0272108/kaveri181@paytm,1250.00,,670159.89
29/09/2022,29/09/2022,NEFT/979538206388/SAVITHA DEVI/ICIC0272108/84959750212694,,7600.00,677759.89
29/09/2022,30/09/2022,UPI/CR/0807093990/USHA RANI/ICIC0272108/usha620@okaxis,,2500.00,680259.89
29/09/2022,29/09/2022,UPI/DR/4802536294/VIKRAM NAIR/ICIC0272108/vikram959@ybl,5200.00,,675059.89
29/09/2022,29/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,675559.89
30/09/2022,30/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,680359.89
30/09/2022,01/10/2022,IMPS/P2P/4873423653/RANJIT SINGH/7925364008,,500.00,680859.89
30/09/2022,30/09/2022,UPI/CR/004116378410/MEERA PILLAI/ICIC0272108/meera682@okaxis,,11200.00,692059.89
30/09/2022,30/09/2022,ATM/WDL/22023848/CANARA ATM MYSURU,120.00,,691939.89
30/09/2022,30/09/2022,NEFT/011174126047/GOPAL VERMA/ICIC0272108/67222001310158,,4800.00,696739.89
01/10/2022,02/10/2022,NEFT/83825027/IMRAN KHAN/ICIC0272108/86678294484803,,7600.00,704339.89
01/10/2022,01/10/2022,UPI/CR/229536738653/GOPAL VERMA/ICIC0272108/gopal317@ybl,,500.00,704839.89
01/10/2022,01/10/2022,NEFT/2484188988/KARTHIK MENON/ICIC0272108/61125791801110,,7600.00,712439.89
01/10/2022,01/10/2022,UPI/CR/96801752/NADIA HUSSAIN/ICIC0272108/nadia76@ybl,,24000.00,736439.89
02/10/2022,03/10/2022,UPI/DR/48830654/RAJENDRA PRASAD/ICIC0272108/rajendra727@paytm,999.00,,735440.89
02/10/2022,02/10/2022,CHQ NO 843709 CLEARING,79.00,,735361.89
02/10/2022,02/10/2022,CHQ NO 587237 CLEARING,310.00,,735051.89
02/10/2022,02/10/2022,NEFT/7286547758/SUNIL YADAV/ICIC0272108/33275121752554,,7600.00,742651.89
02/10/2022,02/10/2022,UPI/DR/863976883793/RAHUL SINGH/ICIC0272108/rahul372@oksbi,449.00,,742202.89
03/10/2022,03/10/2022,UPI/DR/02879742/MEENA IYER/ICIC0272108/meena84@paytm,310.00,,741892.89
03/10/2022,03/10/2022,ATM/WDL/8772500558/SBI ATM JAYANAGAR BLR,310.00,,741582.89
03/10/2022,03/10/2022,NEFT/2665256631/BINDHU NAIR/ICIC0272108/49642980366309,5200.00,,736382.89
03/10/2022,04/10/2022,UPI/DR/7900884394/MOHAN DAS/ICIC0272108/mohan92@ybl,1680.00,,734702.89
03/10/2022,03/10/2022,ATM/WDL/6064769797/HDFC ATM KORAMANGALA,2380.00,,732322.89
03/10/2022,04/10/2022,IMPS/P2P/63944633/POOJA SHARMA/7092553977,,18500.00,750822.89
04/10/2022,05/10/2022,CHQ NO 192697 CLEARING,249.00,,750573.89
04/10/2022,04/10/2022,UPI/CR/6428065233/CHANDAN SHARMA/ICIC0272108/chandan541@ybl,,500.00,751073.89
04/10/2022,04/10/2022,NEFT/8855755304/VIKRAM NAIR/ICIC0272108/77081834278628,,18500.00,769573.89
05/10/2022,05/10/2022,NEFT/68560428/FATIMA SHEIKH/ICIC0272108/09420400145484,,7600.00,777173.89
05/10/2022,06/10/2022,NEFT/37222088/MEENA IYER/ICIC0272108/79742808974446,,1200.00,778373.89
06/10/2022,06/10/2022,NEFT/9945997719/SUNIL YADAV/ICIC0272108/29270591010999,,11200.00,789573.89
06/10/2022,06/10/2022,UPI/DR/72055268/DEEPAK JOSHI/ICIC0272108/deepak452@oksbi,310.00,,789263.89
06/10/2022,07/10/2022,UPI/DR/3956511208/VIKRAM NAIR/ICIC0272108/vikram379@ybl,249.00,,789014.89
06/10/2022,06/10/2022,NEFT/1286055966/POOJA SHARMA/ICIC0272108/82505789086305,7800.00,,781214.89
06/10/2022,06/10/2022,UPI/DR/3995276289/LALITHA DEVI/ICIC0272108/lalitha312@paytm,1250.00,,779964.89
07/10/2022,07/10/2022,UPI/CR/269874786490/SURESH NAIR/ICIC0272108/suresh893@ybl,,32000.00,811964.89
07/10/2022,07/10/2022,IMPS/P2P/9576616998/MALLIKA DAS/8815816194,,4800.00,816764.89
07/10/2022,08/10/2022,CHQ NO 339588 CLEARING,5200.00,,811564.89
07/10/2022,07/10/2022,UPI/DR/3212696032/USHA RANI/ICIC0272108/usha945@oksbi,249.00,,811315.89
07/10/2022,08/10/2022,IMPS/P2P/9690483772/PADMA RAO/8039006153,,18500.00,829815.89
07/10/2022,07/10/2022,IMPS/P2P/0915269019/POOJA SHARMA/8010081191,,7600.00,837415.89
07/10/2022,07/10/2022,UPI/DR/3543114254/IMRAN KHAN/ICIC0272108/imran443@okaxis,1250.00,,836165.89
08/10/2022,08/10/2022,CHQ NO 442607 CLEARING,310.00,,835855.89
08/10/2022,08/10/2022,UPI/DR/46894129/RANJIT SINGH/ICIC0272108/ranjit41@ybl,449.00,,835406.89
08/10/2022,08/10/2022,CHQ NO 631339 CLEARING,310.00,,835096.89
09/10/2022,09/10/2022,UPI/DR/830554772218/ROHIT SHARMA/ICIC0272108/rohit537@paytm,2380.00,,832716.89
09/10/2022,09/10/2022,UPI/DR/2909379436/IMRAN KHAN/ICIC0272108/imran476@okaxis,3499.00,,829217.89
10/10/2022,11/10/2022,ATM/WDL/94848734/HDFC ATM KORAMANGALA,999.00,,828218.89
10/10/2022,10/10/2022,UPI/DR/4991847208/SHEELA DEVI/ICIC0272108/sheela108@okhdfc,999.00,,827219.89
10/10/2022,10/10/2022,NEFT/028039220124/USHA RANI/ICIC0272108/33982540129683,,7600.00,834819.89
10/10/2022,11/10/2022,NEFT/3599872838/TARA SINGH/ICIC0272108/59013231812232,,32000.00,866819.89
10/10/2022,10/10/2022,NEFT/19671576/LAKSHMI VENKAT/ICIC0272108/75906532400923,449.00,,866370.89
11/10/2022,11/10/2022,UPI/DR/0542594060/MOHAN DAS/ICIC0272108/mohan849@okhdfc,1680.00,,864690.89
11/10/2022,11/10/2022,UPI/DR/7798055084/MALLIKA DAS/ICIC0272108/mallika874@oksbi,1680.00,,863010.89
11/10/2022,11/10/2022,NEFT/40330635/KIRAN REDDY/ICIC0272108/46000681616857,,500.00,863510.89
11/10/2022,12/10/2022,IMPS/P2P/8970470623/RESHMA KHAN/8650510263,,32000.00,895510.89
12/10/2022,12/10/2022,IMPS/P2P/7922147139/SANJANA HEGDE/7942221171,,18500.00,914010.89
12/10/2022,12/10/2022,NEFT/96737823/HARISH MENON/ICIC0272108/51812701557257,699.00,,913311.89
12/10/2022,12/10/2022,IMPS/P2P/074454041070/RANJIT SINGH/8762380377,,18500.00,931811.89
