Date,Particulars,Debit,Credit,Balance
01/09/2022,REVERSAL-NEFT/PENDING_REV_53034583,,4800.00,429641.29
01/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,432141.29
01/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,434641.29
03/09/2022,NEFT/6479367194/BINDHU NAIR/CNRB0226879/12459209978906,,11200.00,445841.29
03/09/2022,UPI/DR/614899795941/SANJANA HEGDE/CNRB0226879/sanjana69@oksbi,5200.00,,440641.29
03/09/2022,IMPS/P2P/7927848001/MEENA IYER/8519924261,,32000.00,472641.29
03/09/2022,NEFT/845189166021/RAJESH VERMA/CNRB0226879/51157207477223,449.00,,472192.29
03/09/2022,NEFT/1015630231/NADIA HUSSAIN/CNRB0226879/27822981135693,,18500.00,490692.29
04/09/2022,UPI/CR/5329980611/LALITHA DEVI/CNRB0226879/lalitha226@okhdfc,,850.00,491542.29
04/09/2022,UPI/DR/199193426766/MALLIKA DAS/CNRB0226879/mallika559@ybl,850.00,,490692.29
04/09/2022,CHQ NO 487537 CLEARING,7800.00,,482892.29
04/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,484092.29
04/09/2022,UPI/CR/0837515226/SMITHA PILLAI/CNRB0226879/smitha277@okaxis,,4800.00,488892.29
04/09/2022,UPI/DR/806779762646/RAMESH GOWDA/CNRB0226879/ramesh12@paytm,79.00,,488813.29
05/09/2022,UPI/DR/5612773646/LATHA MURTHY/CNRB0226879/latha587@okhdfc,79.00,,488734.29
05/09/2022,ATM/WDL/2248305347/HDFC ATM KORAMANGALA,999.00,,487735.29
05/09/2022,UPI/CR/83754560/FATIMA SHEIKH/CNRB0226879/fatima665@paytm,,11200.00,498935.29
06/09/2022,NEFT/8616907462/BABU LAL/CNRB0226879/64352368758654,,18500.00,517435.29
06/09/2022,CHQ NO 115615 CLEARING,249.00,,517186.29
06/09/2022,CHQ NO 049618 CLEARING,49.00,,517137.29
06/09/2022,CHQ NO 969164 CLEARING,2380.00,,514757.29
06/09/2022,NEFT/102422300473/BINDHU NAIR/CNRB0226879/89886624075446,,24000.00,538757.29
07/09/2022,NEFT/183006024903/SURESH BABU/CNRB0226879/26929873237948,3499.00,,535258.29
08/09/2022,ATM/WDL/7093374528/HDFC ATM KORAMANGALA,999.00,,534259.29
08/09/2022,UPI/DR/309351898389/RANJIT SINGH/CNRB0226879/ranjit272@oksbi,249.00,,534010.29
08/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,534510.29
08/09/2022,IMPS/P2P/888327953296/SNEHA PATIL/9054135525,,500.00,535010.29
09/09/2022,NEFT/134650243538/PRAKASH RAO/CNRB0226879/34671805146369,1250.00,,533760.29
09/09/2022,ATM/WDL/231564908039/CANARA ATM MYSURU,7800.00,,525960.29
09/09/2022,ATM/WDL/28634671/HDFC ATM KORAMANGALA,5200.00,,520760.29
09/09/2022,CHQ NO 399853 CLEARING,2380.00,,518380.29
09/09/2022,UPI/DR/82356617/TANVI RAO/CNRB0226879/tanvi806@okaxis,1680.00,,516700.29
09/09/2022,UPI/CR/75908452/REKHA PILLAI/CNRB0226879/rekha297@oksbi,,1200.00,517900.29
10/09/2022,NEFT/31992693/POOJA SHARMA/CNRB0226879/36798719719897,,32000.00,549900.29
10/09/2022,CHQ NO 847135 CLEARING,7800.00,,542100.29
11/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,560600.29
11/09/2022,ATM/WDL/909083443156/CANARA ATM MYSURU,49.00,,560551.29
12/09/2022,NEFT/530081281417/SURESH BABU/CNRB0226879/28885995506786,5200.00,,555351.29
12/09/2022,UPI/DR/44060201/SUNITA DEVI/CNRB0226879/sunita77@paytm,49.00,,555302.29
13/09/2022,NEFT/39203804/RAJENDRA PRASAD/CNRB0226879/80211691037170,,7600.00,562902.29
13/09/2022,NEFT/339684844096/RAVI KUMAR SHARMA/CNRB0226879/04030755515605,3499.00,,559403.29
13/09/2022,UPI/DR/34249639/DEEPA NAIR/CNRB0226879/deepa547@okaxis,449.00,,558954.29
14/09/2022,UPI/DR/110728512278/KIRAN REDDY/CNRB0226879/kiran40@paytm,79.00,,558875.29
15/09/2022,IMPS/P2P/6231849042/MALLIKA DAS/7418504544,,4800.00,563675.29
15/09/2022,CHQ NO 924468 CLEARING,79.00,,563596.29
16/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,595596.29
16/09/2022,CHQ NO 956499 CLEARING,7800.00,,587796.29
16/09/2022,NEFT/289736671182/ANAND KUMAR/CNRB0226879/81752162753126,449.00,,587347.29
16/09/2022,ATM/WDL/043089621650/SBI ATM JAYANAGAR BLR,5200.00,,582147.29
16/09/2022,UPI/DR/988064437636/ANAND KUMAR/CNRB0226879/anand340@paytm,5200.00,,576947.29
17/09/2022,CHQ NO 189477 CLEARING,49.00,,576898.29
17/09/2022,ATM/WDL/28575747/SBI ATM JAYANAGAR BLR,449.00,,576449.29
17/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,584049.29
17/09/2022,UPI/DR/461994671085/SNEHA PATIL/CNRB0226879/sneha15@okaxis,1250.00,,582799.29
17/09/2022,IMPS/P2P/23462867/AYESHA KHAN/8677092930,,18500.00,601299.29
17/09/2022,IMPS/P2P/34032954/SUSHMA RAO/9828387257,,850.00,602149.29
18/09/2022,UPI/DR/96727379/ARCHANA PILLAI/CNRB0226879/archana415@ybl,850.00,,601299.29
18/09/2022,UPI/DR/94434126/SHAHID KHAN/CNRB0226879/shahid246@ybl,7800.00,,593499.29
18/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,595999.29
19/09/2022,ATM/WDL/9879499974/HDFC ATM KORAMANGALA,850.00,,595149.29
19/09/2022,UPI/DR/0374403908/VIKRAM NAIR/CNRB0226879/vikram947@paytm,999.00,,594150.29
19/09/2022,UPI/DR/967700301597/ROHIT SHARMA/CNRB0226879/rohit267@oksbi,249.00,,593901.29
19/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,625901.29
19/09/2022,UPI/DR/74135447/RAJENDRA PRASAD/CNRB0226879/rajendra545@paytm,1250.00,,624651.29
20/09/2022,UPI/DR/4549754462/FATIMA SHEIKH/CNRB0226879/fatima501@oksbi,310.00,,624341.29
20/09/2022,UPI/CR/969871614022/NILESH KULKARNI/CNRB0226879/nilesh133@okhdfc,,4800.00,629141.29
20/09/2022,IMPS/P2P/06117487/CHANDAN SHARMA/9785860755,,24000.00,653141.29
20/09/2022,IMPS/P2P/30566825/REKHA PILLAI/9347524479,,850.00,653991.29
20/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,654491.29
21/09/2022,NEFT/14168719/LATHA MURTHY/CNRB0226879/21607382421703,850.00,,653641.29
21/09/2022,ATM/WDL/81101890/HDFC ATM KORAMANGALA,999.00,,652642.29
23/09/2022,NEFT/77019672/RAVI KUMAR SHARMA/CNRB0226879/20878663771962,,24000.00,676642.29
23/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,679142.29
24/09/2022,UPI/DR/05885383/MEERA PILLAI/CNRB0226879/meera541@oksbi,1680.00,,677462.29
24/09/2022,UPI/DR/95974165/ARCHANA PILLAI/CNRB0226879/archana157@okaxis,79.00,,677383.29
24/09/2022,NEFT/2001939936/ARUN SHARMA/CNRB0226879/20955819065624,,18500.00,695883.29
24/09/2022,UPI/DR/203153841101/SNEHA PATIL/CNRB0226879/sneha803@okhdfc,79.00,,695804.29
25/09/2022,UPI/DR/3833350814/VINAY PATIL/CNRB0226879/vinay345@okhdfc,3499.00,,692305.29
25/09/2022,CHQ NO 785248 CLEARING,79.00,,692226.29
25/09/2022,IMPS/P2P/531785528942/BABU LAL/7708478662,,1200.00,693426.29
25/09/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,725426.29
25/09/2022,IMPS/P2P/679022293960/BINDHU NAIR/8648015117,,2500.00,727926.29
26/09/2022,ATM/WDL/0296494122/CANARA ATM MYSURU,49.00,,727877.29
26/09/2022,UPI/DR/7375893963/DEEPAK JOSHI/CNRB0226879/deepak948@oksbi,120.00,,727757.29
26/09/2022,IMPS/P2P/4383744313/DEEPA NAIR/8052987864,,32000.00,759757.29
26/09/2022,UPI/DR/260435065828/SUNIL YADAV/CNRB0226879/sunil719@okaxis,2380.00,,757377.29
27/09/2022,UPI/DR/69092200/NADIA HUSSAIN/CNRB0226879/nadia795@ybl,79.00,,757298.29
27/09/2022,NEFT/0174850626/SUSHMA RAO/CNRB0226879/44332431243051,699.00,,756599.29
27/09/2022,UPI/CR/8373619166/RAHUL SINGH/CNRB0226879/rahul643@ybl,,7600.00,764199.29
28/09/2022,UPI/DR/56288964/DIVYA MENON/CNRB0226879/divya858@oksbi,5200.00,,758999.29
28/09/2022,CHQ NO 453391 CLEARING,249.00,,758750.29
29/09/2022,IMPS/P2P/96699441/MALLIKA DAS/9741579335,,1200.00,759950.29
29/09/2022,NEFT/209669063084/GOPAL VERMA/CNRB0226879/69931285936617,,1200.00,761150.29
29/09/2022,UPI/DR/9284591503/NAVEEN KUMAR/CNRB0226879/naveen462@oksbi,5200.00,,755950.29
30/09/2022,IMPS/P2P/73685734/DIVYA MENON/8956619855,,850.00,756800.29
30/09/2022,UPI/DR/072441718522/LALITHA DEVI/CNRB0226879/lalitha416@okhdfc,310.00,,756490.29
01/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,774990.29
01/10/2022,NEFT/578317399124/MALLIKA DAS/CNRB0226879/99808353249610,7800.00,,767190.29
01/10/2022,IMPS/P2P/06741452/RAHUL SINGH/9475947028,,1200.00,768390.29
02/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,770890.29
02/10/2022,NEFT/9678024779/GEETA DEVI/CNRB0226879/22607633506386,,11200.00,782090.29
03/10/2022,CHQ NO 371529 CLEARING,699.00,,781391.29
03/10/2022,CHQ NO 977237 CLEARING,79.00,,781312.29
03/10/2022,NEFT/3229187137/DEEPA NAIR/CNRB0226879/55365877368438,,32000.00,813312.29
03/10/2022,UPI/DR/435037816620/VIKRAM NAIR/CNRB0226879/vikram250@okaxis,310.00,,813002.29
03/10/2022,CHQ NO 762031 CLEARING,2380.00,,810622.29
04/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,818222.29
04/10/2022,ATM/WDL/31226955/HDFC ATM KORAMANGALA,5200.00,,813022.29
04/10/2022,CHQ NO 207132 CLEARING,850.00,,812172.29
04/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,4800.00,816972.29
05/10/2022,CHQ NO 894715 CLEARING,79.00,,816893.29
05/10/2022,NEFT/02531669/ANITHA KRISHNAN/CNRB0226879/44813714563633,999.00,,815894.29
06/10/2022,ATM/WDL/46520964/HDFC ATM KORAMANGALA,120.00,,815774.29
06/10/2022,IMPS/P2P/754333509224/ADITYA KUMAR/7408357680,,4800.00,820574.29
06/10/2022,IMPS/P2P/980141483400/MEENA IYER/7616888184,,18500.00,839074.29
07/10/2022,NEFT/6535743999/RAVI KUMAR SHARMA/CNRB0226879/39568133176100,,7600.00,846674.29
07/10/2022,UPI/DR/057456855336/POOJA SHARMA/CNRB0226879/pooja374@ybl,1680.00,,844994.29
07/10/2022,UPI/DR/21476071/SANTOSH KUMAR/CNRB0226879/santosh843@okhdfc,449.00,,844545.29
07/10/2022,UPI/DR/008560735216/POOJA SHARMA/CNRB0226879/pooja595@ybl,2380.00,,842165.29
07/10/2022,UPI/DR/414416574680/KARTHIK MENON/CNRB0226879/karthik714@oksbi,249.00,,841916.29
09/10/2022,UPI/DR/1243845382/VINAY PATIL/CNRB0226879/vinay365@ybl,449.00,,841467.29
09/10/2022,UPI/CR/5676315821/LALITHA DEVI/CNRB0226879/lalitha102@okaxis,,850.00,842317.29
09/10/2022,UPI/DR/763981056800/LAKSHMI VENKAT/CNRB0226879/lakshmi999@paytm,999.00,,841318.29
10/10/2022,UPI/DR/8888329758/USHA RANI/CNRB0226879/usha566@okhdfc,7800.00,,833518.29
11/10/2022,UPI/DR/638386717342/ARUN SHARMA/CNRB0226879/arun623@ybl,5200.00,,828318.29
11/10/2022,IMPS/P2P/9815801699/KAVERI MENON/7441083040,,1200.00,829518.29
11/10/2022,NEFT/872639490164/DEEPA NAIR/CNRB0226879/02752831775053,,500.00,830018.29
11/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,862018.29
12/10/2022,ATM/WDL/653018702637/HDFC ATM KORAMANGALA,249.00,,861769.29
12/10/2022,ATM/WDL/922471622133/SBI ATM JAYANAGAR BLR,2380.00,,859389.29
12/10/2022,NEFT/913505530723/FATIMA SHEIKH/CNRB0226879/97159635340619,,4800.00,864189.29
13/10/2022,UPI/DR/32296360/DEEPAK JOSHI/CNRB0226879/deepak273@okaxis,850.00,,863339.29
13/10/2022,UPI/DR/070992211867/PREETHI IYER/CNRB0226879/preethi329@ybl,249.00,,863090.29
14/10/2022,UPI/DR/77036788/ROHIT SHARMA/CNRB0226879/rohit514@paytm,249.00,,862841.29
14/10/2022,IMPS/P2P/3015281476/RAHUL SINGH/7357769316,,24000.00,886841.29
14/10/2022,UPI/DR/5605955474/RAJESH VERMA/CNRB0226879/rajesh229@ybl,120.00,,886721.29
15/10/2022,CHQ NO 955760 CLEARING,699.00,,886022.29
15/10/2022,IMPS/P2P/52590534/RAMESH GOWDA/8311126299,,1200.00,887222.29
16/10/2022,IMPS/P2P/949047117991/IMRAN KHAN/7934164238,,32000.00,919222.29
16/10/2022,UPI/DR/869194079216/VIKRAM NAIR/CNRB0226879/vikram824@okhdfc,999.00,,918223.29
17/10/2022,NEFT/4112000581/SUNIL YADAV/CNRB0226879/07175236806266,,18500.00,936723.29
17/10/2022,UPI/DR/4529634902/SUNITA DEVI/CNRB0226879/sunita138@okaxis,1250.00,,935473.29
17/10/2022,NEFT/18367849/RAMESH GOWDA/CNRB0226879/35160871689535,,7600.00,943073.29
18/10/2022,UPI/DR/3793516447/VINAY PATIL/CNRB0226879/vinay628@okhdfc,7800.00,,935273.29
19/10/2022,NEFT/47955950/GANESH KUMAR/CNRB0226879/67717289927190,,4800.00,940073.29
19/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,940573.29
20/10/2022,NEFT/59429937/BINDHU NAIR/CNRB0226879/71591879953520,,32000.00,972573.29
20/10/2022,UPI/DR/363867618474/RAMESH PILLAI/CNRB0226879/ramesh232@okhdfc,120.00,,972453.29
20/10/2022,IMPS/P2P/6994923427/LAKSHMI VENKAT/8187742897,,500.00,972953.29
21/10/2022,UPI/DR/421105601566/USHA RANI/CNRB0226879/usha48@ybl,699.00,,972254.29
21/10/2022,NEFT/14708991/USHA RANI/CNRB0226879/13788801809115,,7600.00,979854.29
21/10/2022,UPI/DR/48987139/ARCHANA PILLAI/CNRB0226879/archana206@okhdfc,49.00,,979805.29
21/10/2022,UPI/DR/1341748161/NADIA HUSSAIN/CNRB0226879/nadia275@okhdfc,5200.00,,974605.29
23/10/2022,UPI/DR/71693568/POOJA SHARMA/CNRB0226879/pooja675@paytm,310.00,,974295.29
23/10/2022,NEFT/605190005465/MEERA PILLAI/CNRB0226879/43229675720651,449.00,,973846.29
23/10/2022,IMPS/P2P/4076267398/SHEELA DEVI/8900717813,,7600.00,981446.29
24/10/2022,UPI/CR/4684025669/NAVEEN KUMAR/CNRB0226879/naveen168@ybl,,850.00,982296.29
24/10/2022,UPI/DR/70439819/BINDHU NAIR/CNRB0226879/bindhu447@okaxis,850.00,,981446.29
24/10/2022,UPI/DR/827425515068/HARISH MENON/CNRB0226879/harish752@okaxis,120.00,,981326.29
24/10/2022,IMPS/P2P/3633281103/VENKAT RAO/9461775146,,7600.00,988926.29
25/10/2022,UPI/DR/38338613/ADITYA KUMAR/CNRB0226879/aditya467@okaxis,1250.00,,987676.29
25/10/2022,UPI/DR/6751441354/LALITHA DEVI/CNRB0226879/lalitha934@okaxis,2380.00,,985296.29
25/10/2022,UPI/DR/493445878727/SANJANA HEGDE/CNRB0226879/sanjana55@okhdfc,79.00,,985217.29
26/10/2022,ATM/WDL/176516211806/SBI ATM JAYANAGAR BLR,310.00,,984907.29
26/10/2022,CHQ NO 352054 CLEARING,79.00,,984828.29
26/10/2022,NEFT/71792216/GANESH KUMAR/CNRB0226879/40539599535315,5200.00,,979628.29
26/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1003628.29
27/10/2022,UPI/DR/602896100366/FATIMA SHEIKH/CNRB0226879/fatima641@okaxis,699.00,,1002929.29
27/10/2022,ATM/WDL/056635629373/CANARA ATM MYSURU,1680.00,,1001249.29
28/10/2022,IMPS/P2P/2268410192/MOHAN DAS/8458188837,,850.00,1002099.29
28/10/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,1020599.29
29/10/2022,UPI/CR/24299714/SAVITHA DEVI/CNRB0226879/savitha777@ybl,,1200.00,1021799.29
29/10/2022,UPI/CR/42274857/GANESH KUMAR/CNRB0226879/ganesh97@paytm,,850.00,1022649.29
30/10/2022,IMPS/P2P/153192651586/ROHIT SHARMA/9547045622,,18500.00,1041149.29
31/10/2022,ATM/WDL/11576442/CANARA ATM MYSURU,79.00,,1041070.29
31/10/2022,UPI/DR/2143903259/SURESH BABU/CNRB0226879/suresh812@ybl,7800.00,,1033270.29
31/10/2022,UPI/DR/23401692/PRAKASH RAO/CNRB0226879/prakash876@oksbi,1250.00,,1032020.29
01/11/2022,CHQ NO 878698 CLEARING,7800.00,,1024220.29
01/11/2022,NEFT/2363356358/RAVI KUMAR SHARMA/CNRB0226879/40498378300424,,4800.00,1029020.29
02/11/2022,UPI/DR/954966863267/RAVI KUMAR SHARMA/CNRB0226879/ravi536@okaxis,120.00,,1028900.29
04/11/2022,NEFT/901361441696/LATHA MURTHY/CNRB0226879/39374561490552,2380.00,,1026520.29
04/11/2022,UPI/DR/2939846070/KIRAN REDDY/CNRB0226879/kiran230@ybl,120.00,,1026400.29
05/11/2022,NEFT/30051633/USHA RANI/CNRB0226879/88201554909047,1250.00,,1025150.29
05/11/2022,ATM/WDL/55866040/CANARA ATM MYSURU,3499.00,,1021651.29
05/11/2022,UPI/CR/4646000076/SHAHID KHAN/CNRB0226879/shahid137@okaxis,,24000.00,1045651.29
05/11/2022,UPI/DR/8658770671/MALLIKA DAS/CNRB0226879/mallika304@oksbi,699.00,,1044952.29
05/11/2022,CHQ NO 358669 CLEARING,79.00,,1044873.29
06/11/2022,ATM/WDL/5132070275/CANARA ATM MYSURU,699.00,,1044174.29
06/11/2022,CHQ NO 912160 CLEARING,5200.00,,1038974.29
07/11/2022,NEFT/102940567539/SHAHID KHAN/CNRB0226879/14558779955899,999.00,,1037975.29
07/11/2022,ATM/WDL/1530451498/CANARA ATM MYSURU,5200.00,,1032775.29
07/11/2022,ATM/WDL/1548635665/SBI ATM JAYANAGAR BLR,699.00,,1032076.29
07/11/2022,UPI/DR/941224876177/GOPAL VERMA/CNRB0226879/gopal116@okaxis,999.00,,1031077.29
08/11/2022,UPI/DR/30108195/KAVYA REDDY/CNRB0226879/kavya393@oksbi,5200.00,,1025877.29
08/11/2022,IMPS/P2P/32798856/VIKRAM NAIR/7318590765,,11200.00,1037077.29
10/11/2022,UPI/CR/2042926217/VENKAT RAO/CNRB0226879/venkat101@oksbi,,1200.00,1038277.29
10/11/2022,UPI/DR/5645184778/CHANDAN SHARMA/CNRB0226879/chandan265@okaxis,699.00,,1037578.29
11/11/2022,IMPS/P2P/2865721634/GOPAL VERMA/9779275068,,4800.00,1042378.29
11/11/2022,NEFT/7447463107/KAVYA REDDY/CNRB0226879/79634144752839,5200.00,,1037178.29
11/11/2022,ATM/WDL/977892524896/SBI ATM JAYANAGAR BLR,850.00,,1036328.29
11/11/2022,UPI/DR/4307934210/ROHIT SHARMA/CNRB0226879/rohit668@okhdfc,999.00,,1035329.29
11/11/2022,UPI/DR/511976950188/LAKSHMI VENKAT/CNRB0226879/lakshmi22@ybl,120.00,,1035209.29
12/11/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,11200.00,1046409.29
12/11/2022,IMPS/P2P/669537283569/ANITHA KRISHNAN/8147827491,,1200.00,1047609.29
