Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
14/08/2022,14/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258192,,11200.00,234614.00
14/08/2022,14/08/2022,UPI/DR/6140614873/DIVYA MENON/SBIN0684317/divya628@okaxis,TXN0258193,249.00,,234365.00
14/08/2022,14/08/2022,CHQ NO 147932 CLEARING,TXN0258194,850.00,,233515.00
14/08/2022,14/08/2022,IMPS/P2P/848405077131/ARUN SHARMA/7829997007,TXN0258195,,2500.00,236015.00
14/08/2022,14/08/2022,UPI/CR/5698204514/FATIMA SHEIKH/SBIN0684317/fatima953@okaxis,TXN0258196,,1200.00,237215.00
14/08/2022,14/08/2022,NEFT/87180183/PRIYA NAIR/SBIN0684317/88410700955412,TXN0258197,449.00,,236766.00
15/08/2022,16/08/2022,NEFT/085595887754/IMRAN KHAN/SBIN0684317/76633273680259,TXN0258198,1680.00,,235086.00
15/08/2022,15/08/2022,UPI/DR/6322552453/SURESH NAIR/SBIN0684317/suresh790@oksbi,TXN0258199,120.00,,234966.00
15/08/2022,15/08/2022,ATM/WDL/774639155905/CANARA ATM MYSURU,TXN0258200,1250.00,,233716.00
15/08/2022,15/08/2022,UPI/DR/003839725022/KAVYA REDDY/SBIN0684317/kavya39@okhdfc,TXN0258201,850.00,,232866.00
16/08/2022,16/08/2022,IMPS/P2P/5961324746/ANITHA KRISHNAN/8130479805,TXN0258202,,4800.00,237666.00
16/08/2022,17/08/2022,IMPS/P2P/1055643683/KAVERI MENON/8889613098,TXN0258203,,18500.00,256166.00
17/08/2022,18/08/2022,NEFT/68494722/SANJANA HEGDE/SBIN0684317/63498152109344,TXN0258204,,4800.00,260966.00
17/08/2022,18/08/2022,NEFT/681947431554/SHEELA DEVI/SBIN0684317/64790787978863,TXN0258205,49.00,,260917.00
17/08/2022,17/08/2022,NEFT/8891551912/POOJA SHARMA/SBIN0684317/26298931935262,TXN0258206,310.00,,260607.00
17/08/2022,17/08/2022,UPI/DR/51282948/ARCHANA PILLAI/SBIN0684317/archana505@ybl,TXN0258207,449.00,,260158.00
17/08/2022,17/08/2022,NEFT/24844991/SURESH NAIR/SBIN0684317/24785735057282,TXN0258208,,7600.00,267758.00
17/08/2022,17/08/2022,UPI/DR/948318130180/ARJUN MEHTA/SBIN0684317/arjun581@okaxis,TXN0258209,5200.00,,262558.00
18/08/2022,19/08/2022,NEFT/2423711582/KAVITHA RAO/SBIN0684317/97500118399724,TXN0258210,2380.00,,260178.00
18/08/2022,18/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258211,,32000.00,292178.00
19/08/2022,20/08/2022,UPI/DR/376905335420/VENKAT RAO/SBIN0684317/venkat908@oksbi,TXN0258212,120.00,,292058.00
19/08/2022,20/08/2022,UPI/DR/153950847156/GOPAL VERMA/SBIN0684317/gopal39@ybl,TXN0258213,3499.00,,288559.00
19/08/2022,19/08/2022,UPI/DR/945645148864/RAHUL SINGH/SBIN0684317/rahul67@okaxis,TXN0258214,2380.00,,286179.00
19/08/2022,20/08/2022,IMPS/P2P/381779077612/NAVEEN KUMAR/8505886990,TXN0258215,,850.00,287029.00
19/08/2022,20/08/2022,NEFT/596743888489/SUNITA DEVI/SBIN0684317/51962844500794,TXN0258216,,1200.00,288229.00
19/08/2022,19/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258217,,24000.00,312229.00
19/08/2022,19/08/2022,ATM/WDL/7823409262/CANARA ATM MYSURU,TXN0258218,850.00,,311379.00
20/08/2022,21/08/2022,ATM/WDL/5165146603/CANARA ATM MYSURU,TXN0258219,49.00,,311330.00
20/08/2022,20/08/2022,ATM/WDL/265823869802/SBI ATM JAYANAGAR BLR,TXN0258220,3499.00,,307831.00
20/08/2022,20/08/2022,NEFT/69700770/BABU LAL/SBIN0684317/47107370695973,TXN0258221,999.00,,306832.00
20/08/2022,20/08/2022,IMPS/P2P/4071517430/GOPAL VERMA/8744447316,TXN0258222,,4800.00,311632.00
20/08/2022,21/08/2022,CHQ NO 560430 CLEARING,TXN0258223,7800.00,,303832.00
20/08/2022,20/08/2022,IMPS/P2P/99267624/USHA RANI/7270834950,TXN0258224,,1200.00,305032.00
21/08/2022,21/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258225,,32000.00,337032.00
21/08/2022,22/08/2022,CHQ NO 295906 CLEARING,TXN0258226,999.00,,336033.00
21/08/2022,21/08/2022,IMPS/P2P/113106045410/IMRAN KHAN/8106494683,TXN0258227,,18500.00,354533.00
21/08/2022,21/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258228,,24000.00,378533.00
21/08/2022,21/08/2022,NEFT/16509192/RANJIT SINGH/SBIN0684317/00120239603641,TXN0258229,999.00,,377534.00
21/08/2022,21/08/2022,UPI/DR/18947894/ARJUN MEHTA/SBIN0684317/arjun813@paytm,TXN0258230,79.00,,377455.00
21/08/2022,21/08/2022,NEFT/96338372/NAVEEN KUMAR/SBIN0684317/97473668410726,TXN0258231,,850.00,378305.00
21/08/2022,22/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258232,,18500.00,396805.00
21/08/2022,22/08/2022,UPI/DR/723145115316/MOHAMMED IRFAN/SBIN0684317/mohammed878@ybl,TXN0258233,2380.00,,394425.00
21/08/2022,22/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258234,,11200.00,405625.00
21/08/2022,22/08/2022,CHQ NO 277020 CLEARING,TXN0258235,850.00,,404775.00
21/08/2022,22/08/2022,UPI/CR/7446024486/REKHA PILLAI/SBIN0684317/rekha865@okaxis,TXN0258236,,500.00,405275.00
22/08/2022,22/08/2022,NEFT/8950604214/SHAHID KHAN/SBIN0684317/65013894840698,TXN0258237,,7600.00,412875.00
22/08/2022,22/08/2022,UPI/CR/13055402/KARTHIK MENON/SBIN0684317/karthik533@oksbi,TXN0258238,,1200.00,414075.00
22/08/2022,22/08/2022,UPI/DR/72038374/ADITYA KUMAR/SBIN0684317/aditya589@paytm,TXN0258239,249.00,,413826.00
22/08/2022,22/08/2022,CHQ NO 762175 CLEARING,TXN0258240,7800.00,,406026.00
23/08/2022,23/08/2022,NEFT/7527006481/KIRAN REDDY/SBIN0684317/54245854982526,TXN0258241,2380.00,,403646.00
23/08/2022,23/08/2022,CHQ NO 865608 CLEARING,TXN0258242,5200.00,,398446.00
23/08/2022,24/08/2022,ATM/WDL/18811095/CANARA ATM MYSURU,TXN0258243,850.00,,397596.00
23/08/2022,24/08/2022,CHQ NO 826418 CLEARING,TXN0258244,2380.00,,395216.00
23/08/2022,23/08/2022,NEFT/248227899781/MALLIKA DAS/SBIN0684317/90184702245134,TXN0258245,,1200.00,396416.00
23/08/2022,23/08/2022,CHQ NO 000332 CLEARING,TXN0258246,1250.00,,395166.00
23/08/2022,23/08/2022,NEFT/23310407/NIKHIL GUPTA/SBIN0684317/02944276506624,TXN0258247,1250.00,,393916.00
23/08/2022,23/08/2022,UPI/DR/1568960731/POOJA SHARMA/SBIN0684317/pooja322@oksbi,TXN0258248,449.00,,393467.00
24/08/2022,24/08/2022,UPI/CR/703836035147/SHEELA DEVI/SBIN0684317/sheela710@okaxis,TXN0258249,,850.00,394317.00
24/08/2022,24/08/2022,NEFT/3954923186/SANTOSH KUMAR/SBIN0684317/25586747943192,TXN0258250,449.00,,393868.00
24/08/2022,24/08/2022,IMPS/P2P/882313265466/GEETA DEVI/8065383434,TXN0258251,,2500.00,396368.00
25/08/2022,26/08/2022,UPI/DR/8796651623/AYESHA KHAN/SBIN0684317/ayesha148@okaxis,TXN0258252,2380.00,,393988.00
25/08/2022,26/08/2022,NEFT/20620718/GOPAL VERMA/SBIN0684317/42181506335777,TXN0258253,,7600.00,401588.00
25/08/2022,25/08/2022,ATM/WDL/94644694/SBI ATM JAYANAGAR BLR,TXN0258254,79.00,,401509.00
26/08/2022,27/08/2022,UPI/CR/629185464449/SUSHMA RAO/SBIN0684317/sushma132@oksbi,TXN0258255,,11200.00,412709.00
26/08/2022,26/08/2022,UPI/DR/9643182838/VIKRAM NAIR/SBIN0684317/vikram884@okhdfc,TXN0258256,5200.00,,407509.00
26/08/2022,26/08/2022,NEFT/30508025/REKHA PILLAI/SBIN0684317/14971560099613,TXN0258257,,7600.00,415109.00
26/08/2022,27/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258258,,24000.00,439109.00
26/08/2022,26/08/2022,UPI/DR/93214143/RAJESH VERMA/SBIN0684317/rajesh221@oksbi,TXN0258259,49.00,,439060.00
26/08/2022,27/08/2022,IMPS/P2P/243073363925/ARJUN MEHTA/9444822448,TXN0258260,,7600.00,446660.00
26/08/2022,27/08/2022,IMPS/P2P/62214820/GOPAL VERMA/9500926527,TXN0258261,,32000.00,478660.00
26/08/2022,26/08/2022,CHQ NO 364788 CLEARING,TXN0258262,5200.00,,473460.00
26/08/2022,27/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258263,,32000.00,505460.00
26/08/2022,26/08/2022,ATM/WDL/99573026/SBI ATM JAYANAGAR BLR,TXN0258264,449.00,,505011.00
27/08/2022,27/08/2022,NEFT/90704867/VENKAT RAO/SBIN0684317/85130417844365,TXN0258265,1680.00,,503331.00
27/08/2022,27/08/2022,CHQ NO 931259 CLEARING,TXN0258266,3499.00,,499832.00
27/08/2022,28/08/2022,IMPS/P2P/172441684340/AYESHA KHAN/8135407360,TXN0258267,,4800.00,504632.00
27/08/2022,28/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258268,,32000.00,536632.00
27/08/2022,27/08/2022,ATM/WDL/951323911665/SBI ATM JAYANAGAR BLR,TXN0258269,1250.00,,535382.00
28/08/2022,29/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258270,,11200.00,546582.00
28/08/2022,28/08/2022,UPI/DR/14609274/MALLIKA DAS/SBIN0684317/mallika292@okaxis,TXN0258271,699.00,,545883.00
28/08/2022,28/08/2022,ATM/WDL/687506189551/CANARA ATM MYSURU,TXN0258272,1250.00,,544633.00
28/08/2022,28/08/2022,ATM/WDL/682890017625/SBI ATM JAYANAGAR BLR,TXN0258273,1680.00,,542953.00
29/08/2022,29/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258274,,850.00,543803.00
29/08/2022,30/08/2022,UPI/DR/225749160122/PADMA RAO/SBIN0684317/padma639@okhdfc,TXN0258275,249.00,,543554.00
29/08/2022,30/08/2022,UPI/DR/549961140898/KAVERI MENON/SBIN0684317/kaveri86@paytm,TXN0258276,999.00,,542555.00
29/08/2022,29/08/2022,NEFT/61120248/SURESH NAIR/SBIN0684317/46405497273557,TXN0258277,,2500.00,545055.00
29/08/2022,29/08/2022,UPI/DR/595940337493/KARTHIK MENON/SBIN0684317/karthik844@okhdfc,TXN0258278,49.00,,545006.00
29/08/2022,30/08/2022,ATM/WDL/2977062078/SBI ATM JAYANAGAR BLR,TXN0258279,49.00,,544957.00
30/08/2022,31/08/2022,UPI/DR/45663236/HARISH MENON/SBIN0684317/harish390@okhdfc,TXN0258280,1680.00,,543277.00
30/08/2022,30/08/2022,NEFT/6010973856/RAJENDRA PRASAD/SBIN0684317/54856799649184,TXN0258281,,11200.00,554477.00
30/08/2022,31/08/2022,UPI/DR/4434626895/KARTHIK MENON/SBIN0684317/karthik541@okhdfc,TXN0258282,699.00,,553778.00
30/08/2022,30/08/2022,UPI/CR/5433877330/ARJUN MEHTA/SBIN0684317/arjun341@ybl,TXN0258283,,24000.00,577778.00
30/08/2022,30/08/2022,CHQ NO 706716 CLEARING,TXN0258284,449.00,,577329.00
30/08/2022,30/08/2022,UPI/DR/29821395/KAVYA REDDY/SBIN0684317/kavya505@okhdfc,TXN0258285,699.00,,576630.00
30/08/2022,31/08/2022,CHQ NO 028529 CLEARING,TXN0258286,1680.00,,574950.00
31/08/2022,31/08/2022,IMPS/P2P/894261957566/FARHAN KHAN/7839493234,TXN0258287,,4800.00,579750.00
31/08/2022,31/08/2022,UPI/DR/57308609/KIRAN REDDY/SBIN0684317/kiran61@okaxis,TXN0258288,1680.00,,578070.00
31/08/2022,31/08/2022,CHQ NO 270092 CLEARING,TXN0258289,699.00,,577371.00
31/08/2022,31/08/2022,UPI/CR/2679002466/KARTHIK MENON/SBIN0684317/karthik807@ybl,TXN0258290,,11200.00,588571.00
31/08/2022,31/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258291,,11200.00,599771.00
31/08/2022,31/08/2022,UPI/DR/605234663963/ARJUN MEHTA/SBIN0684317/arjun151@oksbi,TXN0258292,3499.00,,596272.00
01/09/2022,02/09/2022,UPI/DR/7284425092/LAKSHMI VENKAT/SBIN0684317/lakshmi437@okhdfc,TXN0258293,7800.00,,588472.00
01/09/2022,01/09/2022,UPI/CR/54303047/FATIMA SHEIKH/SBIN0684317/fatima228@okaxis,TXN0258294,,850.00,589322.00
01/09/2022,01/09/2022,NEFT/05755963/GANESH KUMAR/SBIN0684317/78028673448250,TXN0258295,,7600.00,596922.00
01/09/2022,01/09/2022,ATM/WDL/840118490123/SBI ATM JAYANAGAR BLR,TXN0258296,7800.00,,589122.00
01/09/2022,02/09/2022,UPI/DR/86775834/POOJA SHARMA/SBIN0684317/pooja265@okhdfc,TXN0258297,999.00,,588123.00
02/09/2022,02/09/2022,NEFT/650980159122/AYESHA KHAN/SBIN0684317/68973246088575,TXN0258298,,32000.00,620123.00
02/09/2022,03/09/2022,NEFT/038581104484/VINAY PATIL/SBIN0684317/03817808001988,TXN0258299,,32000.00,652123.00
02/09/2022,03/09/2022,UPI/DR/421090495044/BABU LAL/SBIN0684317/babu471@okaxis,TXN0258300,49.00,,652074.00
02/09/2022,03/09/2022,NEFT/885593975577/SAVITHA DEVI/SBIN0684317/92035060027576,TXN0258301,3499.00,,648575.00
02/09/2022,02/09/2022,UPI/CR/98228550/IMRAN KHAN/SBIN0684317/imran932@okhdfc,TXN0258302,,4800.00,653375.00
02/09/2022,02/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258303,,11200.00,664575.00
03/09/2022,03/09/2022,NEFT/75870153/VIKRAM NAIR/SBIN0684317/36076583052338,TXN0258304,249.00,,664326.00
03/09/2022,03/09/2022,ATM/WDL/54135240/CANARA ATM MYSURU,TXN0258305,850.00,,663476.00
04/09/2022,04/09/2022,UPI/DR/0302161505/FATIMA SHEIKH/SBIN0684317/fatima620@okhdfc,TXN0258306,1680.00,,661796.00
04/09/2022,04/09/2022,IMPS/P2P/55907802/RESHMA KHAN/7427294167,TXN0258307,,7600.00,669396.00
04/09/2022,04/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258308,,7600.00,676996.00
04/09/2022,05/09/2022,NEFT/9319128485/DIVYA MENON/SBIN0684317/14694291896625,TXN0258309,1250.00,,675746.00
04/09/2022,04/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258310,,11200.00,686946.00
05/09/2022,05/09/2022,IMPS/P2P/5945456687/DEEPAK JOSHI/7561588648,TXN0258311,,18500.00,705446.00
05/09/2022,05/09/2022,IMPS/P2P/8153493628/KAVERI MENON/9327072566,TXN0258312,,2500.00,707946.00
05/09/2022,06/09/2022,NEFT/816798232929/SHEELA DEVI/SBIN0684317/70400761653580,TXN0258313,1680.00,,706266.00
05/09/2022,06/09/2022,CHQ NO 572713 CLEARING,TXN0258314,2380.00,,703886.00
06/09/2022,06/09/2022,UPI/DR/40029348/BABU LAL/SBIN0684317/babu195@ybl,TXN0258315,5200.00,,698686.00
06/09/2022,06/09/2022,UPI/DR/1506991359/RAHUL SINGH/SBIN0684317/rahul709@okaxis,TXN0258316,7800.00,,690886.00
06/09/2022,07/09/2022,ATM/WDL/0028439700/SBI ATM JAYANAGAR BLR,TXN0258317,449.00,,690437.00
06/09/2022,06/09/2022,NEFT/150600096767/MOHAN DAS/SBIN0684317/73868911321178,TXN0258318,,2500.00,692937.00
06/09/2022,06/09/2022,ATM/WDL/4108026492/CANARA ATM MYSURU,TXN0258319,699.00,,692238.00
07/09/2022,07/09/2022,ATM/WDL/4257603214/CANARA ATM MYSURU,TXN0258320,1680.00,,690558.00
07/09/2022,07/09/2022,NEFT/376909999098/AYESHA KHAN/SBIN0684317/78885094635878,TXN0258321,,500.00,691058.00
08/09/2022,09/09/2022,UPI/DR/4298991139/IMRAN KHAN/SBIN0684317/imran630@oksbi,TXN0258322,7800.00,,683258.00
08/09/2022,08/09/2022,UPI/DR/37574742/RAVI KUMAR SHARMA/SBIN0684317/ravi478@paytm,TXN0258323,5200.00,,678058.00
08/09/2022,08/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258324,,4800.00,682858.00
08/09/2022,09/09/2022,NEFT/3618633123/POOJA SHARMA/SBIN0684317/38178800761236,TXN0258325,,1200.00,684058.00
08/09/2022,08/09/2022,IMPS/P2P/7075224779/GANESH KUMAR/8920872780,TXN0258326,,2500.00,686558.00
08/09/2022,08/09/2022,CHQ NO 301995 CLEARING,TXN0258327,5200.00,,681358.00
08/09/2022,08/09/2022,IMPS/P2P/4003565418/ADITYA KUMAR/8993111501,TXN0258328,,500.00,681858.00
09/09/2022,09/09/2022,NEFT/53371991/SHAHID KHAN/SBIN0684317/83366500275069,TXN0258329,5200.00,,676658.00
09/09/2022,09/09/2022,CHQ NO 413194 CLEARING,TXN0258330,3499.00,,673159.00
09/09/2022,09/09/2022,UPI/DR/6860716508/PRAKASH RAO/SBIN0684317/prakash222@oksbi,TXN0258331,999.00,,672160.00
09/09/2022,10/09/2022,ATM/WDL/281866793423/SBI ATM JAYANAGAR BLR,TXN0258332,1680.00,,670480.00
09/09/2022,09/09/2022,NEFT/74258773/DEEPAK JOSHI/SBIN0684317/36734721396353,TXN0258333,850.00,,669630.00
10/09/2022,11/09/2022,NEFT/4099640382/VINAY PATIL/SBIN0684317/84013725306245,TXN0258334,1250.00,,668380.00
10/09/2022,10/09/2022,ATM/WDL/1794109193/SBI ATM JAYANAGAR BLR,TXN0258335,3499.00,,664881.00
10/09/2022,10/09/2022,CHQ NO 812100 CLEARING,TXN0258336,3499.00,,661382.00
10/09/2022,10/09/2022,IMPS/P2P/2843081883/HARISH MENON/7716811511,TXN0258337,,24000.00,685382.00
10/09/2022,10/09/2022,ATM/WDL/015883991436/SBI ATM JAYANAGAR BLR,TXN0258338,999.00,,684383.00
10/09/2022,10/09/2022,UPI/DR/550233692831/PREETHI IYER/SBIN0684317/preethi741@okhdfc,TXN0258339,699.00,,683684.00
11/09/2022,11/09/2022,UPI/DR/81034150/PRIYA NAIR/SBIN0684317/priya720@okhdfc,TXN0258340,999.00,,682685.00
11/09/2022,11/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258341,,500.00,683185.00
11/09/2022,12/09/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258342,,18500.00,701685.00
