Transaction Date,Particulars,Chq/Ref No,Debit,Credit,Balance
11/08/2022,UPI/DR/36061718/LALITHA DEVI/PUNB0368283/lalitha23@okaxis,TXN0271588,3499.00,,79429.52
11/08/2022,NEFT/140835838171/SUSHMA RAO/PUNB0368283/87372843708845,TXN0271589,,11200.00,90629.52
11/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271590,,32000.00,122629.52
11/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271591,,7600.00,130229.52
11/08/2022,UPI/DR/035977476837/PRIYA NAIR/PUNB0368283/priya366@okhdfc,TXN0271592,1250.00,,128979.52
12/08/2022,NEFT/8488238392/ANITHA KRISHNAN/PUNB0368283/77164592312272,TXN0271593,,500.00,129479.52
14/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271594,,11200.00,140679.52
14/08/2022,UPI/DR/694146757096/GOPAL VERMA/PUNB0368283/gopal685@paytm,TXN0271595,850.00,,139829.52
15/08/2022,NEFT/4170144331/LALITHA DEVI/PUNB0368283/45438754177498,TXN0271596,7800.00,,132029.52
16/08/2022,UPI/DR/4515471651/USHA RANI/PUNB0368283/usha31@paytm,TXN0271597,249.00,,131780.52
16/08/2022,ATM/WDL/2898770612/CANARA ATM MYSURU,TXN0271598,2380.00,,129400.52
18/08/2022,UPI/DR/33769541/MOHAMMED IRFAN/PUNB0368283/mohammed266@okaxis,TXN0271599,79.00,,129321.52
18/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271600,,18500.00,147821.52
18/08/2022,IMPS/P2P/20660650/SANJANA HEGDE/8460375501,TXN0271601,,24000.00,171821.52
19/08/2022,IMPS/P2P/4031019221/MEERA PILLAI/9566540322,TXN0271602,,7600.00,179421.52
20/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271603,,7600.00,187021.52
20/08/2022,CHQ NO 473360 CLEARING,TXN0271604,999.00,,186022.52
20/08/2022,NEFT/0594683690/PRAKASH RAO/PUNB0368283/45403450075912,TXN0271605,999.00,,185023.52
21/08/2022,ATM/WDL/1241259559/CANARA ATM MYSURU,TXN0271606,850.00,,184173.52
21/08/2022,IMPS/P2P/764570635113/SURESH NAIR/9045870960,TXN0271607,,24000.00,208173.52
21/08/2022,NEFT/528578989694/FATIMA SHEIKH/PUNB0368283/14314430107919,TXN0271608,310.00,,207863.52
22/08/2022,CHQ NO 826846 CLEARING,TXN0271609,850.00,,207013.52
22/08/2022,ATM/WDL/613328062493/CANARA ATM MYSURU,TXN0271610,120.00,,206893.52
23/08/2022,UPI/DR/6272618561/ANAND KUMAR/PUNB0368283/anand834@oksbi,TXN0271611,310.00,,206583.52
23/08/2022,UPI/CR/4940063200/IMRAN KHAN/PUNB0368283/imran845@okaxis,TXN0271612,,7600.00,214183.52
23/08/2022,NEFT/639603181518/RAHUL SINGH/PUNB0368283/99170198498677,TXN0271613,,24000.00,238183.52
23/08/2022,NEFT/1834683089/RAHUL SINGH/PUNB0368283/60108452064469,TXN0271614,,18500.00,256683.52
23/08/2022,UPI/CR/32027759/RAHUL SINGH/PUNB0368283/rahul656@oksbi,TXN0271615,,2500.00,259183.52
24/08/2022,NEFT/185454050981/VINAY PATIL/PUNB0368283/87785807344739,TXN0271616,,32000.00,291183.52
24/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271617,,850.00,292033.52
24/08/2022,UPI/DR/250215204136/DIVYA MENON/PUNB0368283/divya933@okhdfc,TXN0271618,7800.00,,284233.52
24/08/2022,IMPS/P2P/265249065931/NAVEEN KUMAR/7586172825,TXN0271619,,11200.00,295433.52
25/08/2022,UPI/DR/680453119395/RAMESH GOWDA/PUNB0368283/ramesh90@okaxis,TXN0271620,310.00,,295123.52
25/08/2022,CHQ NO 538607 CLEARING,TXN0271621,1680.00,,293443.52
25/08/2022,UPI/DR/632278759299/GOPAL VERMA/PUNB0368283/gopal959@okhdfc,TXN0271622,5200.00,,288243.52
26/08/2022,UPI/CR/63348886/SHEELA DEVI/PUNB0368283/sheela518@ybl,TXN0271623,,2500.00,290743.52
26/08/2022,UPI/DR/7777353029/DEEPAK JOSHI/PUNB0368283/deepak690@okhdfc,TXN0271624,1250.00,,289493.52
27/08/2022,UPI/DR/73188109/SHEELA DEVI/PUNB0368283/sheela372@ybl,TXN0271625,79.00,,289414.52
27/08/2022,UPI/DR/8357126370/FARHAN KHAN/PUNB0368283/farhan668@paytm,TXN0271626,1250.00,,288164.52
27/08/2022,ATM/WDL/4694729549/SBI ATM JAYANAGAR BLR,TXN0271627,310.00,,287854.52
28/08/2022,ATM/WDL/00264726/SBI ATM JAYANAGAR BLR,TXN0271628,699.00,,287155.52
28/08/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271629,,850.00,288005.52
28/08/2022,UPI/DR/39346542/SUSHMA RAO/PUNB0368283/sushma726@okhdfc,TXN0271630,699.00,,287306.52
28/08/2022,UPI/DR/0668878788/ANAND KUMAR/PUNB0368283/anand598@okhdfc,TXN0271631,3499.00,,283807.52
29/08/2022,CHQ NO 474830 CLEARING,TXN0271632,2380.00,,281427.52
29/08/2022,UPI/CR/38429775/SUNITA DEVI/PUNB0368283/sunita376@oksbi,TXN0271633,,4800.00,286227.52
29/08/2022,ATM/WDL/7460443383/SBI ATM JAYANAGAR BLR,TXN0271634,2380.00,,283847.52
30/08/2022,IMPS/P2P/716456159960/KAVITHA RAO/8036297949,TXN0271635,,32000.00,315847.52
30/08/2022,NEFT/44407543/NAVEEN KUMAR/PUNB0368283/26231808755424,TXN0271636,,850.00,316697.52
31/08/2022,UPI/DR/36902334/RAVI KUMAR SHARMA/PUNB0368283/ravi650@oksbi,TXN0271637,120.00,,316577.52
31/08/2022,UPI/DR/90357745/RAJESH VERMA/PUNB0368283/rajesh163@paytm,TXN0271638,5200.00,,311377.52
31/08/2022,UPI/CR/321459320191/TARA SINGH/PUNB0368283/tara891@paytm,TXN0271639,,4800.00,316177.52
31/08/2022,IMPS/P2P/090123403075/USHA RANI/8429482646,TXN0271640,,4800.00,320977.52
31/08/2022,CHQ NO 211545 CLEARING,TXN0271641,120.00,,320857.52
01/09/2022,UPI/DR/57788242/NIKHIL GUPTA/PUNB0368283/nikhil234@okhdfc,TXN0271642,449.00,,320408.52
01/09/2022,NEFT/8613001917/DEEPA NAIR/PUNB0368283/48035612846491,TXN0271643,1680.00,,318728.52
01/09/2022,UPI/DR/60833173/DEEPAK JOSHI/PUNB0368283/deepak86@ybl,TXN0271644,449.00,,318279.52
02/09/2022,UPI/DR/525223672285/SURESH BABU/PUNB0368283/suresh950@okaxis,TXN0271645,7800.00,,310479.52
02/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271646,,11200.00,321679.52
04/09/2022,UPI/CR/0653685020/KARTHIK MENON/PUNB0368283/karthik14@okhdfc,TXN0271647,,4800.00,326479.52
04/09/2022,UPI/CR/58853285/ARCHANA PILLAI/PUNB0368283/archana677@okaxis,TXN0271648,,4800.00,331279.52
04/09/2022,UPI/CR/85913545/SHAHID KHAN/PUNB0368283/shahid167@okhdfc,TXN0271649,,4800.00,336079.52
04/09/2022,UPI/CR/9475480878/RAJENDRA PRASAD/PUNB0368283/rajendra306@paytm,TXN0271650,,18500.00,354579.52
04/09/2022,UPI/DR/1936871108/REKHA PILLAI/PUNB0368283/rekha559@okhdfc,TXN0271651,249.00,,354330.52
04/09/2022,UPI/DR/42140648/AYESHA KHAN/PUNB0368283/ayesha368@paytm,TXN0271652,3499.00,,350831.52
05/09/2022,ATM/WDL/0896679509/SBI ATM JAYANAGAR BLR,TXN0271653,449.00,,350382.52
05/09/2022,CHQ NO 039552 CLEARING,TXN0271654,2380.00,,348002.52
05/09/2022,NEFT/9342729595/ANITHA KRISHNAN/PUNB0368283/83294518603865,TXN0271655,79.00,,347923.52
05/09/2022,NEFT/51784053/SMITHA PILLAI/PUNB0368283/03783292245905,TXN0271656,1250.00,,346673.52
06/09/2022,UPI/CR/8998632570/MOHAN DAS/PUNB0368283/mohan991@paytm,TXN0271657,,11200.00,357873.52
07/09/2022,UPI/DR/86162176/KAVITHA RAO/PUNB0368283/kavitha399@okhdfc,TXN0271658,249.00,,357624.52
09/09/2022,NEFT/84118603/DIVYA MENON/PUNB0368283/70425878551619,TXN0271659,,32000.00,389624.52
09/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271660,,11200.00,400824.52
09/09/2022,ATM/WDL/56709913/SBI ATM JAYANAGAR BLR,TXN0271661,310.00,,400514.52
10/09/2022,ATM/WDL/8365080403/HDFC ATM KORAMANGALA,TXN0271662,49.00,,400465.52
11/09/2022,NEFT/9426033700/VENKAT RAO/PUNB0368283/53961943643311,TXN0271663,,2500.00,402965.52
11/09/2022,UPI/CR/97260897/NIKHIL GUPTA/PUNB0368283/nikhil689@okhdfc,TXN0271664,,2500.00,405465.52
11/09/2022,NEFT/03471503/VIKRAM NAIR/PUNB0368283/91058133197213,TXN0271665,1250.00,,404215.52
12/09/2022,IMPS/P2P/543571744757/RAMESH PILLAI/8541682364,TXN0271666,,18500.00,422715.52
12/09/2022,UPI/DR/51868925/FATIMA SHEIKH/PUNB0368283/fatima190@okaxis,TXN0271667,120.00,,422595.52
12/09/2022,IMPS/P2P/57633227/DEEPA NAIR/8047102039,TXN0271668,,500.00,423095.52
12/09/2022,CHQ NO 347002 CLEARING,TXN0271669,2380.00,,420715.52
14/09/2022,NEFT/070841180452/BABU LAL/PUNB0368283/57066429790113,TXN0271670,120.00,,420595.52
14/09/2022,UPI/DR/08470550/KIRAN REDDY/PUNB0368283/kiran716@oksbi,TXN0271671,120.00,,420475.52
15/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271672,,32000.00,452475.52
15/09/2022,ATM/WDL/75244356/HDFC ATM KORAMANGALA,TXN0271673,850.00,,451625.52
15/09/2022,IMPS/P2P/089915691014/KAVITHA RAO/7351504671,TXN0271674,,1200.00,452825.52
17/09/2022,UPI/DR/2004947975/RANJIT SINGH/PUNB0368283/ranjit105@okhdfc,TXN0271675,79.00,,452746.52
18/09/2022,CHQ NO 381002 CLEARING,TXN0271676,79.00,,452667.52
19/09/2022,IMPS/P2P/36546765/HARISH MENON/8715685082,TXN0271677,,850.00,453517.52
19/09/2022,IMPS/P2P/15428469/TANVI RAO/7214288838,TXN0271678,,4800.00,458317.52
19/09/2022,CHQ NO 039090 CLEARING,TXN0271679,120.00,,458197.52
19/09/2022,UPI/DR/0555439879/DIVYA MENON/PUNB0368283/divya709@paytm,TXN0271680,1250.00,,456947.52
20/09/2022,NEFT/79694365/MEENA IYER/PUNB0368283/51297907621288,TXN0271681,,11200.00,468147.52
20/09/2022,UPI/CR/7302200236/MALLIKA DAS/PUNB0368283/mallika144@oksbi,TXN0271682,,500.00,468647.52
20/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271683,,4800.00,473447.52
21/09/2022,UPI/DR/243706870811/VINAY PATIL/PUNB0368283/vinay55@oksbi,TXN0271684,2380.00,,471067.52
21/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271685,,1200.00,472267.52
21/09/2022,UPI/DR/264287016503/SURESH NAIR/PUNB0368283/suresh657@okaxis,TXN0271686,3499.00,,468768.52
21/09/2022,UPI/DR/43670629/KIRAN REDDY/PUNB0368283/kiran999@paytm,TXN0271687,449.00,,468319.52
22/09/2022,NEFT/9793309225/IMRAN KHAN/PUNB0368283/97992168893420,TXN0271688,1250.00,,467069.52
22/09/2022,UPI/DR/70337138/SUSHMA RAO/PUNB0368283/sushma672@paytm,TXN0271689,5200.00,,461869.52
22/09/2022,UPI/DR/45391188/POOJA SHARMA/PUNB0368283/pooja895@oksbi,TXN0271690,449.00,,461420.52
23/09/2022,UPI/DR/745321682558/SURESH BABU/PUNB0368283/suresh703@okhdfc,TXN0271691,850.00,,460570.52
23/09/2022,UPI/DR/177213309844/DIVYA MENON/PUNB0368283/divya547@oksbi,TXN0271692,49.00,,460521.52
23/09/2022,UPI/CR/7132104801/PADMA RAO/PUNB0368283/padma411@ybl,TXN0271693,,2500.00,463021.52
23/09/2022,UPI/CR/24043850/LALITHA DEVI/PUNB0368283/lalitha895@okaxis,TXN0271694,,32000.00,495021.52
23/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271695,,2500.00,497521.52
23/09/2022,UPI/DR/7164129313/BABU LAL/PUNB0368283/babu552@okhdfc,TXN0271696,699.00,,496822.52
23/09/2022,UPI/DR/81018649/ROHIT SHARMA/PUNB0368283/rohit923@okaxis,TXN0271697,850.00,,495972.52
24/09/2022,NEFT/6475927345/LALITHA DEVI/PUNB0368283/97950009494246,TXN0271698,,500.00,496472.52
24/09/2022,UPI/CR/3613582949/SMITHA PILLAI/PUNB0368283/smitha674@oksbi,TXN0271699,,24000.00,520472.52
24/09/2022,UPI/CR/734161652807/VIKRAM NAIR/PUNB0368283/vikram527@oksbi,TXN0271700,,18500.00,538972.52
25/09/2022,UPI/DR/452290617130/KAVITHA RAO/PUNB0368283/kavitha992@paytm,TXN0271701,7800.00,,531172.52
25/09/2022,UPI/CR/42766013/SUNITA DEVI/PUNB0368283/sunita304@paytm,TXN0271702,,11200.00,542372.52
25/09/2022,CHQ NO 176605 CLEARING,TXN0271703,2380.00,,539992.52
25/09/2022,UPI/CR/302800365483/SUNITA DEVI/PUNB0368283/sunita456@okhdfc,TXN0271704,,2500.00,542492.52
26/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271705,,11200.00,553692.52
26/09/2022,UPI/DR/08012069/NADIA HUSSAIN/PUNB0368283/nadia710@okaxis,TXN0271706,2380.00,,551312.52
26/09/2022,UPI/CR/1188507658/GOPAL VERMA/PUNB0368283/gopal263@okaxis,TXN0271707,,18500.00,569812.52
27/09/2022,UPI/DR/6039163387/FATIMA SHEIKH/PUNB0368283/fatima705@okaxis,TXN0271708,120.00,,569692.52
27/09/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271709,,2500.00,572192.52
27/09/2022,NEFT/61137084/PRAKASH RAO/PUNB0368283/92202227923594,TXN0271710,,24000.00,596192.52
27/09/2022,UPI/DR/5004885048/TARA SINGH/PUNB0368283/tara331@oksbi,TXN0271711,5200.00,,590992.52
27/09/2022,CHQ NO 798944 CLEARING,TXN0271712,249.00,,590743.52
28/09/2022,UPI/DR/884973740108/FAILED/TimeOut/Nikhil Gupta,TXN0271713,5000.00,,590743.52
28/09/2022,NEFT/5773470453/ARUN SHARMA/PUNB0368283/84431713530132,TXN0271714,,32000.00,622743.52
29/09/2022,CHQ NO 820309 CLEARING,TXN0271715,2380.00,,620363.52
29/09/2022,UPI/DR/9336979936/VIKRAM NAIR/PUNB0368283/vikram566@okhdfc,TXN0271716,999.00,,619364.52
29/09/2022,NEFT/47340868/ROHIT SHARMA/PUNB0368283/10331691904821,TXN0271717,79.00,,619285.52
30/09/2022,UPI/CR/78734179/MALLIKA DAS/PUNB0368283/mallika799@okhdfc,TXN0271718,,850.00,620135.52
30/09/2022,NEFT/445889116436/RAHUL SINGH/PUNB0368283/64438242077611,TXN0271719,7800.00,,612335.52
30/09/2022,IMPS/P2P/856509817155/DIVYA MENON/9704220280,TXN0271720,,4800.00,617135.52
30/09/2022,CHQ NO 645514 CLEARING,TXN0271721,999.00,,616136.52
01/10/2022,CHQ NO 304999 CLEARING,TXN0271722,850.00,,615286.52
01/10/2022,UPI/DR/928252464947/POOJA SHARMA/PUNB0368283/pooja945@paytm,TXN0271723,1250.00,,614036.52
02/10/2022,UPI/CR/0325016619/MOHAMMED IRFAN/PUNB0368283/mohammed668@okhdfc,TXN0271724,,11200.00,625236.52
02/10/2022,NEFT/33696166/RAJENDRA PRASAD/PUNB0368283/01114164567286,TXN0271725,5200.00,,620036.52
02/10/2022,UPI/DR/93534211/DEEPAK JOSHI/PUNB0368283/deepak171@paytm,TXN0271726,699.00,,619337.52
03/10/2022,IMPS/P2P/96393912/SUSHMA RAO/7603612270,TXN0271727,,11200.00,630537.52
03/10/2022,CHQ NO 914426 CLEARING,TXN0271728,1250.00,,629287.52
03/10/2022,CHQ NO 879745 CLEARING,TXN0271729,999.00,,628288.52
03/10/2022,NEFT/419213270401/SHEELA DEVI/PUNB0368283/10685139512871,TXN0271730,,11200.00,639488.52
04/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271731,,500.00,639988.52
04/10/2022,UPI/DR/5671355445/RAVI KUMAR SHARMA/PUNB0368283/ravi897@paytm,TXN0271732,7800.00,,632188.52
05/10/2022,NEFT/911963070966/GOPAL VERMA/PUNB0368283/93640226495696,TXN0271733,999.00,,631189.52
05/10/2022,UPI/DR/48292645/KAVYA REDDY/PUNB0368283/kavya31@paytm,TXN0271734,3499.00,,627690.52
05/10/2022,NEFT/44715768/KIRAN REDDY/PUNB0368283/94787618605773,TXN0271735,,18500.00,646190.52
06/10/2022,NEFT/742240897872/ARJUN MEHTA/PUNB0368283/86524618301364,TXN0271736,699.00,,645491.52
06/10/2022,UPI/DR/529418975817/PRAKASH RAO/PUNB0368283/prakash482@oksbi,TXN0271737,1680.00,,643811.52
06/10/2022,UPI/DR/874716317474/ROHIT SHARMA/PUNB0368283/rohit597@okaxis,TXN0271738,79.00,,643732.52
07/10/2022,IMPS/P2P/725342194876/PRIYA NAIR/8029098757,TXN0271739,,2500.00,646232.52
07/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271740,,32000.00,678232.52
07/10/2022,UPI/CR/9967471630/PADMA RAO/PUNB0368283/padma336@ybl,TXN0271741,,2500.00,680732.52
07/10/2022,ATM/WDL/07625419/SBI ATM JAYANAGAR BLR,TXN0271742,79.00,,680653.52
07/10/2022,UPI/DR/60520031/SUNITA DEVI/PUNB0368283/sunita396@oksbi,TXN0271743,249.00,,680404.52
07/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271744,,7600.00,688004.52
08/10/2022,UPI/DR/53168339/SANJANA HEGDE/PUNB0368283/sanjana139@ybl,TXN0271745,1250.00,,686754.52
08/10/2022,UPI/DR/40289922/ANAND KUMAR/PUNB0368283/anand638@paytm,TXN0271746,49.00,,686705.52
08/10/2022,IMPS/P2P/56013146/HARISH MENON/9281031785,TXN0271747,,4800.00,691505.52
09/10/2022,ATM/WDL/0036877573/CANARA ATM MYSURU,TXN0271748,999.00,,690506.52
09/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271749,,500.00,691006.52
10/10/2022,UPI/DR/39748755/SUNITA DEVI/PUNB0368283/sunita473@okaxis,TXN0271750,79.00,,690927.52
11/10/2022,IMPS/P2P/25826623/KIRAN REDDY/7266282521,TXN0271751,,1200.00,692127.52
11/10/2022,UPI/DR/6875322443/MOHAMMED IRFAN/PUNB0368283/mohammed253@oksbi,TXN0271752,7800.00,,684327.52
11/10/2022,UPI/DR/629617464065/LAKSHMI VENKAT/PUNB0368283/lakshmi922@oksbi,TXN0271753,5200.00,,679127.52
11/10/2022,ATM/WDL/31167146/HDFC ATM KORAMANGALA,TXN0271754,249.00,,678878.52
12/10/2022,CHQ NO 916737 CLEARING,TXN0271755,699.00,,678179.52
12/10/2022,NEFT/06014171/ANAND KUMAR/PUNB0368283/01675300767840,TXN0271756,,500.00,678679.52
12/10/2022,NEFT/1533216814/HARISH MENON/PUNB0368283/13460778820656,TXN0271757,,4800.00,683479.52
12/10/2022,CHQ NO 956072 CLEARING,TXN0271758,999.00,,682480.52
13/10/2022,IMPS/P2P/41467000/NAVEEN KUMAR/9415910963,TXN0271759,,2500.00,684980.52
14/10/2022,NEFT/86124976/RANJIT SINGH/PUNB0368283/33396732013507,TXN0271760,,32000.00,716980.52
14/10/2022,UPI/CR/7244566878/FARHAN KHAN/PUNB0368283/farhan188@ybl,TXN0271761,,1200.00,718180.52
16/10/2022,UPI/DR/88347462/RAJENDRA PRASAD/PUNB0368283/rajendra880@ybl,TXN0271762,2380.00,,715800.52
17/10/2022,ATM/WDL/730337842107/HDFC ATM KORAMANGALA,TXN0271763,1680.00,,714120.52
17/10/2022,UPI/DR/27955084/MOHAMMED IRFAN/PUNB0368283/mohammed330@okhdfc,TXN0271764,249.00,,713871.52
17/10/2022,NEFT/455280124357/IMRAN KHAN/PUNB0368283/29831098801438,TXN0271765,310.00,,713561.52
18/10/2022,UPI/CR/69411697/MEENA IYER/PUNB0368283/meena644@okhdfc,TXN0271766,,11200.00,724761.52
18/10/2022,IMPS/P2P/1903849008/KAVERI MENON/7574371149,TXN0271767,,11200.00,735961.52
19/10/2022,NEFT/29616720/FARHAN KHAN/PUNB0368283/92196531509904,TXN0271768,,11200.00,747161.52
20/10/2022,UPI/DR/18052620/SAVITHA DEVI/PUNB0368283/savitha808@okaxis,TXN0271769,850.00,,746311.52
20/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271770,,18500.00,764811.52
20/10/2022,UPI/CR/5924966720/VENKAT RAO/PUNB0368283/venkat10@okhdfc,TXN0271771,,18500.00,783311.52
20/10/2022,NEFT/0760694720/DEEPAK JOSHI/PUNB0368283/42939873124918,TXN0271772,,850.00,784161.52
22/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271773,,7600.00,791761.52
22/10/2022,UPI/DR/355529720713/USHA RANI/PUNB0368283/usha758@oksbi,TXN0271774,699.00,,791062.52
22/10/2022,UPI/DR/38295910/REKHA PILLAI/PUNB0368283/rekha852@okaxis,TXN0271775,1680.00,,789382.52
22/10/2022,UPI/CR/0597213199/SNEHA PATIL/PUNB0368283/sneha15@paytm,TXN0271776,,32000.00,821382.52
22/10/2022,NEFT/68582314/MOHAMMED IRFAN/PUNB0368283/85677091588022,TXN0271777,5200.00,,816182.52
22/10/2022,UPI/DR/65866412/ROHIT SHARMA/PUNB0368283/rohit982@paytm,TXN0271778,7800.00,,808382.52
23/10/2022,ATM/WDL/9625790267/CANARA ATM MYSURU,TXN0271779,249.00,,808133.52
23/10/2022,IMPS/P2P/03355457/HARISH MENON/9019699060,TXN0271780,,850.00,808983.52
23/10/2022,NEFT/94208222/RANJIT SINGH/PUNB0368283/54721616396229,TXN0271781,,24000.00,832983.52
23/10/2022,NEFT/05579196/MEENA IYER/PUNB0368283/19349476936053,TXN0271782,,1200.00,834183.52
23/10/2022,CHQ NO 115062 CLEARING,TXN0271783,999.00,,833184.52
23/10/2022,CHQ NO 250344 CLEARING,TXN0271784,1680.00,,831504.52
24/10/2022,UPI/CR/307295562606/RAMESH PILLAI/PUNB0368283/ramesh535@oksbi,TXN0271785,,500.00,832004.52
25/10/2022,NEFT/74379139/GOPAL VERMA/PUNB0368283/06777329385662,TXN0271786,,1200.00,833204.52
25/10/2022,UPI/CR/8860226894/GEETA DEVI/PUNB0368283/geeta921@okaxis,TXN0271787,,11200.00,844404.52
25/10/2022,UPI/DR/756252091777/LALITHA DEVI/PUNB0368283/lalitha44@okhdfc,TXN0271788,120.00,,844284.52
26/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271789,,24000.00,868284.52
26/10/2022,IMPS/P2P/281193083221/ROHIT SHARMA/8093817724,TXN0271790,,500.00,868784.52
27/10/2022,UPI/CR/86615932/RAHUL SINGH/PUNB0368283/rahul570@okhdfc,TXN0271791,,850.00,869634.52
27/10/2022,UPI/DR/808711529325/ARUN SHARMA/PUNB0368283/arun437@paytm,TXN0271792,1680.00,,867954.52
28/10/2022,UPI/DR/7430813557/USHA RANI/PUNB0368283/usha575@paytm,TXN0271793,1250.00,,866704.52
28/10/2022,UPI/DR/9913254459/DEEPAK JOSHI/PUNB0368283/deepak426@ybl,TXN0271794,79.00,,866625.52
28/10/2022,CHQ NO 994389 CLEARING,TXN0271795,699.00,,865926.52
28/10/2022,IMPS/P2P/50204994/SMITHA PILLAI/7440621479,TXN0271796,,500.00,866426.52
28/10/2022,NEFT/21603674/RESHMA KHAN/PUNB0368283/41402824837882,TXN0271797,,7600.00,874026.52
29/10/2022,IMPS/P2P/700665333196/FARHAN KHAN/7109806928,TXN0271798,,1200.00,875226.52
29/10/2022,ATM/WDL/73438867/HDFC ATM KORAMANGALA,TXN0271799,449.00,,874777.52
29/10/2022,ATM/WDL/88813915/HDFC ATM KORAMANGALA,TXN0271800,49.00,,874728.52
31/10/2022,UPI/CR/25489785/ADITYA KUMAR/PUNB0368283/aditya948@oksbi,TXN0271801,,500.00,875228.52
31/10/2022,UPI/DR/48947131/ARJUN MEHTA/PUNB0368283/arjun26@ybl,TXN0271802,449.00,,874779.52
31/10/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271803,,1200.00,875979.52
31/10/2022,CHQ NO 327228 CLEARING,TXN0271804,7800.00,,868179.52
31/10/2022,NEFT/8198158349/SMITHA PILLAI/PUNB0368283/48103848039159,TXN0271805,,4800.00,872979.52
