Value Date,Transaction Date,Description,Withdrawal Amt (INR Dr),Deposit Amt (INR Cr),Closing Balance
06/08/2022,06/08/2022,UPI/DR/8368771554/IMRAN KHAN/HDFC0722665/imran652@paytm,449.00,,301078.21
06/08/2022,06/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,302278.21
06/08/2022,06/08/2022,UPI/DR/819375254919/NADIA HUSSAIN/HDFC0722665/nadia634@okaxis,79.00,,302199.21
06/08/2022,06/08/2022,UPI/CR/237695183410/ADITYA KUMAR/HDFC0722665/aditya651@oksbi,,11200.00,313399.21
06/08/2022,06/08/2022,UPI/DR/09977784/USHA RANI/HDFC0722665/usha856@ybl,449.00,,312950.21
07/08/2022,07/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,336950.21
08/08/2022,07/08/2022,UPI/DR/54455688/REKHA PILLAI/HDFC0722665/rekha842@oksbi,310.00,,336640.21
08/08/2022,08/08/2022,IMPS/P2P/320360589800/ARUN SHARMA/7275649002,,1200.00,337840.21
09/08/2022,08/08/2022,NEFT/8799195161/VENKAT RAO/HDFC0722665/61060490518785,1680.00,,336160.21
08/08/2022,08/08/2022,UPI/DR/1298787965/MOHAN DAS/HDFC0722665/mohan813@paytm,999.00,,335161.21
08/08/2022,08/08/2022,CHQ NO 447902 CLEARING,699.00,,334462.21
09/08/2022,08/08/2022,NEFT/2316800232/KIRAN REDDY/HDFC0722665/91711424811620,,1200.00,335662.21
09/08/2022,09/08/2022,UPI/DR/5567632836/HARISH MENON/HDFC0722665/harish262@oksbi,120.00,,335542.21
10/08/2022,09/08/2022,NEFT/44290775/FATIMA SHEIKH/HDFC0722665/47774494971157,,500.00,336042.21
10/08/2022,09/08/2022,ATM/WDL/1948532002/HDFC ATM KORAMANGALA,449.00,,335593.21
10/08/2022,09/08/2022,NEFT/680982681394/ADITYA KUMAR/HDFC0722665/14541908405119,1250.00,,334343.21
10/08/2022,10/08/2022,UPI/DR/1746435291/ARCHANA PILLAI/HDFC0722665/archana888@okhdfc,1680.00,,332663.21
10/08/2022,10/08/2022,UPI/DR/003068156309/LATHA MURTHY/HDFC0722665/latha600@oksbi,7800.00,,324863.21
11/08/2022,10/08/2022,IMPS/P2P/6621799938/TANVI RAO/8041740074,,24000.00,348863.21
10/08/2022,10/08/2022,UPI/CR/73498030/RAMESH PILLAI/HDFC0722665/ramesh320@okaxis,,24000.00,372863.21
12/08/2022,11/08/2022,UPI/DR/762882414313/MOHAMMED IRFAN/HDFC0722665/mohammed973@ybl,449.00,,372414.21
12/08/2022,11/08/2022,IMPS/P2P/3480204812/RESHMA KHAN/9880055484,,500.00,372914.21
11/08/2022,11/08/2022,IMPS/P2P/05367288/HARISH MENON/8580370598,,1200.00,374114.21
11/08/2022,11/08/2022,UPI/DR/3801831241/KAVERI MENON/HDFC0722665/kaveri515@okhdfc,249.00,,373865.21
12/08/2022,12/08/2022,ATM/WDL/72800691/CANARA ATM MYSURU,5200.00,,368665.21
13/08/2022,12/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,387165.21
12/08/2022,12/08/2022,UPI/DR/1643083435/USHA RANI/HDFC0722665/usha754@paytm,850.00,,386315.21
12/08/2022,12/08/2022,NEFT/38364643/VIKRAM NAIR/HDFC0722665/19090012291613,,1200.00,387515.21
14/08/2022,13/08/2022,UPI/DR/990246367087/MOHAMMED IRFAN/HDFC0722665/mohammed319@paytm,49.00,,387466.21
13/08/2022,13/08/2022,NEFT/725068557937/SHAHID KHAN/HDFC0722665/47733133065565,,7600.00,395066.21
13/08/2022,13/08/2022,ATM/WDL/804905890917/CANARA ATM MYSURU,1680.00,,393386.21
14/08/2022,14/08/2022,ATM/WDL/468689378894/CANARA ATM MYSURU,999.00,,392387.21
14/08/2022,14/08/2022,UPI/DR/37577934/RAJENDRA PRASAD/HDFC0722665/rajendra840@okaxis,850.00,,391537.21
14/08/2022,14/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,392737.21
14/08/2022,14/08/2022,ATM/WDL/829525670427/CANARA ATM MYSURU,79.00,,392658.21
16/08/2022,15/08/2022,UPI/CR/09140726/PADMA RAO/HDFC0722665/padma214@okaxis,,500.00,393158.21
15/08/2022,15/08/2022,UPI/DR/415366596573/RESHMA KHAN/HDFC0722665/reshma500@ybl,1680.00,,391478.21
15/08/2022,15/08/2022,UPI/DR/59263159/VIKRAM NAIR/HDFC0722665/vikram408@okaxis,999.00,,390479.21
16/08/2022,15/08/2022,UPI/DR/8822070388/VENKAT RAO/HDFC0722665/venkat957@okhdfc,850.00,,389629.21
15/08/2022,15/08/2022,UPI/CR/5912137593/GOPAL VERMA/HDFC0722665/gopal791@paytm,,18500.00,408129.21
17/08/2022,16/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,426629.21
17/08/2022,16/08/2022,UPI/DR/83501988/RESHMA KHAN/HDFC0722665/reshma592@ybl,49.00,,426580.21
16/08/2022,16/08/2022,NEFT/019024005727/MOHAMMED IRFAN/HDFC0722665/81111606766425,449.00,,426131.21
16/08/2022,16/08/2022,ATM/WDL/79400999/SBI ATM JAYANAGAR BLR,1680.00,,424451.21
17/08/2022,17/08/2022,UPI/DR/409585168702/SANTOSH KUMAR/HDFC0722665/santosh918@ybl,249.00,,424202.21
17/08/2022,17/08/2022,CHQ NO 960320 CLEARING,2380.00,,421822.21
17/08/2022,17/08/2022,NEFT/13028694/SHEELA DEVI/HDFC0722665/96720339037932,,2500.00,424322.21
18/08/2022,18/08/2022,IMPS/P2P/1906283465/SANJANA HEGDE/9490933070,,4800.00,429122.21
19/08/2022,18/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,461122.21
19/08/2022,18/08/2022,UPI/DR/53206856/SHAHID KHAN/HDFC0722665/shahid222@okaxis,249.00,,460873.21
18/08/2022,18/08/2022,IMPS/P2P/0439001271/KAVITHA RAO/9004525212,,4800.00,465673.21
19/08/2022,18/08/2022,ATM/WDL/025079206556/CANARA ATM MYSURU,5200.00,,460473.21
18/08/2022,18/08/2022,NEFT/48627471/KAVERI MENON/HDFC0722665/61515381415023,49.00,,460424.21
18/08/2022,18/08/2022,UPI/DR/65356295/AYESHA KHAN/HDFC0722665/ayesha549@paytm,999.00,,459425.21
18/08/2022,18/08/2022,ATM/WDL/955719312991/SBI ATM JAYANAGAR BLR,310.00,,459115.21
20/08/2022,19/08/2022,UPI/DR/06405354/SANJANA HEGDE/HDFC0722665/sanjana371@ybl,3499.00,,455616.21
19/08/2022,19/08/2022,IMPS/P2P/398876843573/GEETA DEVI/9875117692,,32000.00,487616.21
20/08/2022,19/08/2022,UPI/CR/506571994904/KAVITHA RAO/HDFC0722665/kavitha432@ybl,,4800.00,492416.21
20/08/2022,19/08/2022,IMPS/P2P/879877309447/POOJA SHARMA/7451594216,,7600.00,500016.21
19/08/2022,19/08/2022,UPI/DR/47620386/FATIMA SHEIKH/HDFC0722665/fatima501@oksbi,2380.00,,497636.21
20/08/2022,19/08/2022,CHQ NO 118617 CLEARING,449.00,,497187.21
19/08/2022,19/08/2022,CHQ NO 823644 CLEARING,2380.00,,494807.21
21/08/2022,20/08/2022,NEFT/484397906086/ANAND KUMAR/HDFC0722665/28975894646424,,500.00,495307.21
20/08/2022,20/08/2022,UPI/DR/0156717418/FARHAN KHAN/HDFC0722665/farhan287@ybl,1680.00,,493627.21
20/08/2022,20/08/2022,IMPS/P2P/039222528649/REKHA PILLAI/9616436686,,2500.00,496127.21
21/08/2022,20/08/2022,UPI/CR/59872543/BINDHU NAIR/HDFC0722665/bindhu207@ybl,,4800.00,500927.21
20/08/2022,20/08/2022,UPI/CR/348918175085/POOJA SHARMA/HDFC0722665/pooja818@ybl,,1200.00,502127.21
20/08/2022,20/08/2022,UPI/DR/145167569251/FARHAN KHAN/HDFC0722665/farhan155@okaxis,120.00,,502007.21
20/08/2022,20/08/2022,UPI/DR/922375962752/AYESHA KHAN/HDFC0722665/ayesha205@oksbi,120.00,,501887.21
20/08/2022,20/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,502737.21
20/08/2022,20/08/2022,NEFT/7546521569/LALITHA DEVI/HDFC0722665/53243225304114,699.00,,502038.21
21/08/2022,21/08/2022,UPI/DR/795798932127/SNEHA PATIL/HDFC0722665/sneha607@okaxis,1680.00,,500358.21
21/08/2022,21/08/2022,UPI/DR/894870974724/NAVEEN KUMAR/HDFC0722665/naveen864@paytm,79.00,,500279.21
22/08/2022,21/08/2022,NEFT/009233992247/PRAKASH RAO/HDFC0722665/22394763800260,,500.00,500779.21
21/08/2022,21/08/2022,ATM/WDL/9233529729/HDFC ATM KORAMANGALA,699.00,,500080.21
21/08/2022,21/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,501280.21
21/08/2022,21/08/2022,IMPS/P2P/9213455086/POOJA SHARMA/7392263628,,1200.00,502480.21
21/08/2022,21/08/2022,UPI/DR/3111686084/SURESH NAIR/HDFC0722665/suresh251@okaxis,120.00,,502360.21
21/08/2022,21/08/2022,IMPS/P2P/93021560/SMITHA PILLAI/9420824283,,850.00,503210.21
22/08/2022,21/08/2022,ATM/WDL/122095417584/HDFC ATM KORAMANGALA,79.00,,503131.21
23/08/2022,22/08/2022,UPI/CR/011657498617/BINDHU NAIR/HDFC0722665/bindhu699@paytm,,24000.00,527131.21
22/08/2022,22/08/2022,UPI/CR/79432055/KAVERI MENON/HDFC0722665/kaveri531@oksbi,,1200.00,528331.21
22/08/2022,22/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,539531.21
22/08/2022,22/08/2022,CHQ NO 017754 CLEARING,1680.00,,537851.21
22/08/2022,22/08/2022,UPI/DR/053321642753/SHAHID KHAN/HDFC0722665/shahid603@okaxis,3499.00,,534352.21
23/08/2022,23/08/2022,NEFT/626925403159/MOHAN DAS/HDFC0722665/44723400612896,,1200.00,535552.21
24/08/2022,23/08/2022,NEFT/2930057445/RAJESH VERMA/HDFC0722665/35708135731635,7800.00,,527752.21
23/08/2022,23/08/2022,UPI/DR/6497246847/PADMA RAO/HDFC0722665/padma438@okaxis,7800.00,,519952.21
23/08/2022,23/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,524752.21
23/08/2022,23/08/2022,NEFT/67504644/SHEELA DEVI/HDFC0722665/14108999567296,,1200.00,525952.21
23/08/2022,23/08/2022,UPI/DR/3466406823/NILESH KULKARNI/HDFC0722665/nilesh599@paytm,1250.00,,524702.21
25/08/2022,24/08/2022,UPI/CR/5456526288/VENKAT RAO/HDFC0722665/venkat300@oksbi,,2500.00,527202.21
24/08/2022,24/08/2022,NEFT/8711113558/FARHAN KHAN/HDFC0722665/06562595924235,120.00,,527082.21
25/08/2022,24/08/2022,NEFT/396055079688/USHA RANI/HDFC0722665/03420390049545,310.00,,526772.21
25/08/2022,24/08/2022,UPI/CR/2792123020/SANTOSH KUMAR/HDFC0722665/santosh862@okhdfc,,4800.00,531572.21
24/08/2022,24/08/2022,UPI/DR/647223011231/TARA SINGH/HDFC0722665/tara158@oksbi,1250.00,,530322.21
25/08/2022,24/08/2022,ATM/WDL/700579986754/SBI ATM JAYANAGAR BLR,5200.00,,525122.21
25/08/2022,25/08/2022,UPI/DR/7720993228/ROHIT SHARMA/HDFC0722665/rohit498@oksbi,1250.00,,523872.21
25/08/2022,25/08/2022,CHQ NO 857242 CLEARING,310.00,,523562.21
25/08/2022,25/08/2022,IMPS/P2P/231931044033/SUNITA DEVI/8675146486,,32000.00,555562.21
25/08/2022,25/08/2022,UPI/DR/7859432628/LAKSHMI VENKAT/HDFC0722665/lakshmi252@okhdfc,49.00,,555513.21
25/08/2022,25/08/2022,UPI/DR/04349866/TARA SINGH/HDFC0722665/tara380@paytm,5200.00,,550313.21
25/08/2022,25/08/2022,NEFT/3217581995/REKHA PILLAI/HDFC0722665/58347853098215,,11200.00,561513.21
26/08/2022,26/08/2022,UPI/CR/539462022285/DEEPA NAIR/HDFC0722665/deepa581@ybl,,11200.00,572713.21
27/08/2022,26/08/2022,CHQ NO 829947 CLEARING,7800.00,,564913.21
26/08/2022,26/08/2022,UPI/DR/519767302132/BINDHU NAIR/HDFC0722665/bindhu751@okhdfc,1680.00,,563233.21
26/08/2022,26/08/2022,UPI/CR/2398786260/SANTOSH KUMAR/HDFC0722665/santosh667@okaxis,,24000.00,587233.21
27/08/2022,27/08/2022,UPI/CR/124437490973/SHAHID KHAN/HDFC0722665/shahid955@okhdfc,,7600.00,594833.21
27/08/2022,27/08/2022,UPI/DR/660108088681/MALLIKA DAS/HDFC0722665/mallika482@oksbi,999.00,,593834.21
27/08/2022,27/08/2022,UPI/DR/5350010069/GOPAL VERMA/HDFC0722665/gopal506@okaxis,850.00,,592984.21
27/08/2022,27/08/2022,NEFT/8146152785/NAVEEN KUMAR/HDFC0722665/03746194249051,,2500.00,595484.21
27/08/2022,27/08/2022,CHQ NO 087080 CLEARING,310.00,,595174.21
27/08/2022,27/08/2022,UPI/DR/52051066/SUSHMA RAO/HDFC0722665/sushma446@paytm,1250.00,,593924.21
28/08/2022,28/08/2022,NEFT/08217437/SUNIL YADAV/HDFC0722665/18567184881860,1250.00,,592674.21
28/08/2022,28/08/2022,NEFT/49437809/SAVITHA DEVI/HDFC0722665/46102046661127,2380.00,,590294.21
29/08/2022,28/08/2022,NEFT/78010425/HARISH MENON/HDFC0722665/74789462320482,,18500.00,608794.21
28/08/2022,28/08/2022,NEFT/7615173706/DEEPA NAIR/HDFC0722665/40861766289076,449.00,,608345.21
28/08/2022,28/08/2022,CHQ NO 011057 CLEARING,79.00,,608266.21
28/08/2022,28/08/2022,UPI/DR/768668703624/GANESH KUMAR/HDFC0722665/ganesh719@oksbi,7800.00,,600466.21
29/08/2022,29/08/2022,NEFT/4949800933/SAVITHA DEVI/HDFC0722665/25291113107145,249.00,,600217.21
29/08/2022,29/08/2022,ATM/WDL/347240708881/CANARA ATM MYSURU,999.00,,599218.21
29/08/2022,29/08/2022,CHQ NO 261203 CLEARING,249.00,,598969.21
30/08/2022,29/08/2022,IMPS/P2P/69944470/PREETHI IYER/9867670598,,4800.00,603769.21
31/08/2022,30/08/2022,NEFT/91727358/DEEPAK JOSHI/HDFC0722665/82158826116846,699.00,,603070.21
30/08/2022,30/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,605570.21
30/08/2022,30/08/2022,CHQ NO 115668 CLEARING,1680.00,,603890.21
30/08/2022,30/08/2022,UPI/DR/6573947482/TARA SINGH/HDFC0722665/tara860@okhdfc,79.00,,603811.21
31/08/2022,30/08/2022,UPI/DR/24008494/NAVEEN KUMAR/HDFC0722665/naveen204@okaxis,2380.00,,601431.21
31/08/2022,31/08/2022,UPI/DR/42206846/SURESH NAIR/HDFC0722665/suresh407@okaxis,5200.00,,596231.21
31/08/2022,31/08/2022,UPI/DR/652620357292/KAVYA REDDY/HDFC0722665/kavya34@okaxis,7800.00,,588431.21
31/08/2022,31/08/2022,UPI/DR/1399805293/SURESH BABU/HDFC0722665/suresh49@okhdfc,699.00,,587732.21
01/09/2022,01/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,606232.21
01/09/2022,01/09/2022,UPI/CR/34806529/KAVERI MENON/HDFC0722665/kaveri754@oksbi,,4800.00,611032.21
01/09/2022,01/09/2022,UPI/DR/37394542/SURESH BABU/HDFC0722665/suresh559@paytm,449.00,,610583.21
02/09/2022,01/09/2022,NEFT/380226339561/MALLIKA DAS/HDFC0722665/80172229988168,,1200.00,611783.21
01/09/2022,01/09/2022,CHQ NO 554615 CLEARING,120.00,,611663.21
03/09/2022,02/09/2022,NEFT/9920518979/MOHAMMED IRFAN/HDFC0722665/09147963984508,3499.00,,608164.21
03/09/2022,02/09/2022,NEFT/753648454114/MEERA PILLAI/HDFC0722665/37206023018807,,11200.00,619364.21
02/09/2022,02/09/2022,UPI/DR/9529652132/PRIYA NAIR/HDFC0722665/priya357@okhdfc,850.00,,618514.21
02/09/2022,02/09/2022,CHQ NO 243687 CLEARING,999.00,,617515.21
02/09/2022,02/09/2022,NEFT/23260326/DEEPA NAIR/HDFC0722665/25875232163405,5200.00,,612315.21
03/09/2022,02/09/2022,UPI/DR/3896741216/BINDHU NAIR/HDFC0722665/bindhu671@paytm,310.00,,612005.21
02/09/2022,02/09/2022,IMPS/P2P/829497549545/GEETA DEVI/8580385820,,11200.00,623205.21
02/09/2022,02/09/2022,UPI/CR/902773607144/BINDHU NAIR/HDFC0722665/bindhu340@paytm,,24000.00,647205.21
02/09/2022,02/09/2022,CHQ NO 322953 CLEARING,79.00,,647126.21
03/09/2022,03/09/2022,UPI/CR/486421228174/REKHA PILLAI/HDFC0722665/rekha806@okaxis,,2500.00,649626.21
03/09/2022,03/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,657226.21
03/09/2022,03/09/2022,UPI/DR/33819123/KIRAN REDDY/HDFC0722665/kiran174@okhdfc,5200.00,,652026.21
03/09/2022,03/09/2022,UPI/DR/6772553646/ROHIT SHARMA/HDFC0722665/rohit237@paytm,1680.00,,650346.21
05/09/2022,04/09/2022,NEFT/433151399314/VIKRAM NAIR/HDFC0722665/35514919969829,2380.00,,647966.21
04/09/2022,04/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,652766.21
04/09/2022,04/09/2022,UPI/CR/1489831197/ARCHANA PILLAI/HDFC0722665/archana742@okhdfc,,850.00,653616.21
04/09/2022,04/09/2022,ATM/WDL/34346866/HDFC ATM KORAMANGALA,249.00,,653367.21
04/09/2022,04/09/2022,CHQ NO 952606 CLEARING,699.00,,652668.21
04/09/2022,04/09/2022,UPI/CR/564438952368/IMRAN KHAN/HDFC0722665/imran759@okaxis,,7600.00,660268.21
05/09/2022,04/09/2022,NEFT/18526195/SANTOSH KUMAR/HDFC0722665/52735789953896,999.00,,659269.21
05/09/2022,05/09/2022,UPI/DR/5711478663/BINDHU NAIR/HDFC0722665/bindhu617@okaxis,850.00,,658419.21
05/09/2022,05/09/2022,NEFT/79651984/KAVERI MENON/HDFC0722665/82089694700136,49.00,,658370.21
05/09/2022,05/09/2022,IMPS/P2P/2999413505/KAVITHA RAO/8158761019,,2500.00,660870.21
05/09/2022,05/09/2022,CHQ NO 531093 CLEARING,120.00,,660750.21
05/09/2022,05/09/2022,UPI/DR/655126627087/SUNIL YADAV/HDFC0722665/sunil355@paytm,1680.00,,659070.21
05/09/2022,05/09/2022,CHQ NO 839041 CLEARING,249.00,,658821.21
07/09/2022,06/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,659671.21
07/09/2022,06/09/2022,NEFT/2860767280/SANJANA HEGDE/HDFC0722665/74805894672104,,500.00,660171.21
07/09/2022,06/09/2022,UPI/CR/862302102752/SURESH NAIR/HDFC0722665/suresh14@paytm,,4800.00,664971.21
06/09/2022,06/09/2022,UPI/DR/584368734890/PRAKASH RAO/HDFC0722665/prakash631@oksbi,1250.00,,663721.21
06/09/2022,06/09/2022,NEFT/94196049/NIKHIL GUPTA/HDFC0722665/14043802334619,,1200.00,664921.21
06/09/2022,06/09/2022,NEFT/7159807542/GEETA DEVI/HDFC0722665/85659118019490,5200.00,,659721.21
06/09/2022,06/09/2022,UPI/CR/3577899706/KAVERI MENON/HDFC0722665/kaveri227@okhdfc,,500.00,660221.21
06/09/2022,06/09/2022,UPI/DR/80467309/USHA RANI/HDFC0722665/usha280@oksbi,449.00,,659772.21
06/09/2022,06/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,670972.21
07/09/2022,07/09/2022,UPI/DR/246496111698/RAJENDRA PRASAD/HDFC0722665/rajendra543@okaxis,1680.00,,669292.21
07/09/2022,07/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,669792.21
07/09/2022,07/09/2022,CHQ NO 897962 CLEARING,79.00,,669713.21
08/09/2022,07/09/2022,NEFT/01314783/ARUN SHARMA/HDFC0722665/15702131982052,120.00,,669593.21
07/09/2022,07/09/2022,NEFT/633319253168/PRAKASH RAO/HDFC0722665/35056174444022,,500.00,670093.21
08/09/2022,08/09/2022,UPI/DR/396433158117/KAVYA REDDY/HDFC0722665/kavya506@ybl,1680.00,,668413.21
08/09/2022,08/09/2022,UPI/DR/6025609223/USHA RANI/HDFC0722665/usha551@ybl,49.00,,668364.21
09/09/2022,09/09/2022,UPI/CR/506178094468/SURESH NAIR/HDFC0722665/suresh207@okhdfc,,18500.00,686864.21
10/09/2022,09/09/2022,UPI/DR/8653557222/SUSHMA RAO/HDFC0722665/sushma566@paytm,850.00,,686014.21
09/09/2022,09/09/2022,NEFT/292839271082/SAVITHA DEVI/HDFC0722665/74672752047748,7800.00,,678214.21
09/09/2022,09/09/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,702214.21
10/09/2022,10/09/2022,UPI/DR/853287964158/RESHMA KHAN/HDFC0722665/reshma625@okaxis,1250.00,,700964.21
10/09/2022,10/09/2022,IMPS/P2P/717670382715/ROHIT SHARMA/7048189808,,850.00,701814.21
10/09/2022,10/09/2022,UPI/CR/1084465651/GOPAL VERMA/HDFC0722665/gopal691@okaxis,,24000.00,725814.21
10/09/2022,10/09/2022,UPI/CR/2219135247/SANTOSH KUMAR/HDFC0722665/santosh188@okaxis,,24000.00,749814.21
11/09/2022,11/09/2022,UPI/DR/7938918811/PREETHI IYER/HDFC0722665/preethi210@okhdfc,249.00,,749565.21
11/09/2022,11/09/2022,UPI/CR/25531605/SUSHMA RAO/HDFC0722665/sushma475@okaxis,,18500.00,768065.21
12/09/2022,11/09/2022,CHQ NO 424260 CLEARING,79.00,,767986.21
11/09/2022,11/09/2022,NEFT/291421580367/NILESH KULKARNI/HDFC0722665/27916585922990,,500.00,768486.21
11/09/2022,11/09/2022,UPI/DR/8749413185/SMITHA PILLAI/HDFC0722665/smitha397@paytm,850.00,,767636.21
12/09/2022,11/09/2022,ATM/WDL/81295455/SBI ATM JAYANAGAR BLR,1680.00,,765956.21
11/09/2022,11/09/2022,UPI/DR/6755387591/KAVYA REDDY/HDFC0722665/kavya17@paytm,310.00,,765646.21
13/09/2022,12/09/2022,UPI/CR/1644845390/LAKSHMI VENKAT/HDFC0722665/lakshmi470@okhdfc,,2500.00,768146.21
12/09/2022,12/09/2022,NEFT/289557703740/MEENA IYER/HDFC0722665/34165853919416,,4800.00,772946.21
12/09/2022,12/09/2022,ATM/WDL/5372677932/CANARA ATM MYSURU,79.00,,772867.21
12/09/2022,12/09/2022,UPI/DR/779583189722/PRAKASH RAO/HDFC0722665/prakash883@okhdfc,2380.00,,770487.21
14/09/2022,13/09/2022,UPI/CR/20785751/FATIMA SHEIKH/HDFC0722665/fatima960@okaxis,,32000.00,802487.21
13/09/2022,13/09/2022,ATM/WDL/68078859/CANARA ATM MYSURU,120.00,,802367.21
13/09/2022,13/09/2022,IMPS/P2P/1184607447/GANESH KUMAR/7933276117,,18500.00,820867.21
13/09/2022,13/09/2022,NEFT/3901364044/MOHAMMED IRFAN/HDFC0722665/57703664901667,5200.00,,815667.21
13/09/2022,13/09/2022,CHQ NO 788669 CLEARING,5200.00,,810467.21
14/09/2022,14/09/2022,NEFT/8344158114/SAVITHA DEVI/HDFC0722665/63189669023608,49.00,,810418.21
14/09/2022,14/09/2022,UPI/DR/2714199831/RAJESH VERMA/HDFC0722665/rajesh78@paytm,120.00,,810298.21
14/09/2022,14/09/2022,NEFT/1441383318/RESHMA KHAN/HDFC0722665/29699185098678,7800.00,,802498.21
16/09/2022,15/09/2022,NEFT/435872147088/RAHUL SINGH/HDFC0722665/72466319262107,310.00,,802188.21
16/09/2022,15/09/2022,IMPS/P2P/13566945/VIKRAM NAIR/8643992923,,7600.00,809788.21
16/09/2022,15/09/2022,UPI/CR/9042832635/ADITYA KUMAR/HDFC0722665/aditya493@oksbi,,850.00,810638.21
